ID,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,resource.range,species.specificity.index,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.generality,proportional.similarity,d
MO-AS003,18,0.233766234,0.080485263,-0.051084152,0.97080292,0.9375,0.776315789,0.248064841,0.007216751,1.00729927,0.003676471,0,0.007220694,0.001194214,38.15705148,2.773852209,16.02022856,0.231493907,0.264385268,0.13373142
MO-CS019,18,0.233766234,0.087779324,-0.050678926,0.97810219,0.912280702,0.776315789,0.232110397,0.007122658,1.00729927,0.003676471,0,0.007220694,0.00114916,38.15705148,2.811375957,16.63278849,0.24034546,0.26465779,0.129512534
MO-CS025,23,0.298701299,0.090967621,-0.039523147,0.948905109,0.938596491,0.710526316,0.256361425,0.006467399,1,0.007352941,0,0.007247143,0.001814876,31.22000621,2.876549253,17.75290657,0.256531278,0.359690104,0.131222695
MO-CS085,26,0.337662338,0.131372446,-0.033408752,0.919708029,0.958133971,0.671052632,0.277232798,0.013478737,1,0.007352941,0,0.007247143,0.002485222,24.76101387,2.889601605,17.98614259,0.259901562,0.403137896,0.183509745
ZW-S001,55,0.714285714,0.550595581,-0.008170989,0.350364964,0.959767206,0.289473684,0.267262664,0.033600208,1,0.007352941,0.000167126,0.007247143,0.009250411,24.17614725,3.247407529,25.72356581,0.371708102,0.499089256,0.179007314
ZW-S002,40,0.519480519,2.235807688,0.030895192,0.664233577,0.900898079,0.486842105,0.212848137,0.118043148,1,0.007352941,0.028160775,0.007247143,0.041993022,8.188433064,3.168915267,23.7816736,0.343647566,0.495406166,0.25062641
ZW-S006,47,0.61038961,0.745461605,-0.005415711,0.554744526,0.994765655,0.394736842,0.713011029,0.297005392,1,0.007352941,0.001086321,0.007247143,0.017704927,14.07223058,1.606264446,4.984157816,0.07202158,0.292063379,0.527606077
ZW-S007,43,0.558441558,0.325017787,-0.015697261,0.613138686,0.938365651,0.447368421,0.205149486,0.016881027,1,0.007352941,0,0.007247143,0.004637468,26.44269187,3.385619657,29.53628943,0.426802341,0.531106439,0.155198671
ZW-S008,38,0.493506494,0.219975785,-0.020526953,0.722627737,0.847368421,0.513157895,0.162507274,0.01019674,1,0.007352941,0,0.007247143,0.002934676,40.5002418,3.444663037,31.33272371,0.452760996,0.512875274,0.141084971
ZW-S009,50,0.649350649,0.453992692,-0.010920146,0.496350365,0.869736842,0.355263158,0.142073274,0.0204564,1,0.007352941,0,0.007247143,0.004539595,35.75795198,3.665145015,39.06180029,0.564446927,0.543563873,0.137751674
