"BE-S001" "BE-S003" "BE-S004" "BE-S005" "BE-S006" "BE-S007" "BE-S008" "BE-S009" "BE-S010" "BE-S011" "BE-S012" "BE-S014" "BE-S016" "BE-S017" "BE-S018" "BE-S019" "BE-S020" "BE-S021" "BE-S023" "BE-S024" "BE-S025" "BE-S031" "BE-S032" "BE-S033" "GH-S004a" "GH-S006a" "GH-S007a" "GH-S008a" "GH-S011b" "GH-S012a" "GH-S013a" "GH-S014a" "GH-S015a" "GH-S019a" "GH-S023a" "GH-S025a" "GH-S026a" "GH-S027a" "GH-S030a" "GH-S031a" "GH-S034a" "GH-S035a" "GH-S039a" "GH-S041a" "GH-S103" "GH-S104" "GH-S105" "GH-S110" "GH-S113" "GH-S119" "GH-S122" "GH-S123" "GH-S130" "GH-S143a" "GH-S149a" "GH-S156a" "NI-S002" "NI-S003" "NI-S004" "NI-S005" "NI-S006" "NI-S007" "NI-S008" "NI-S010" "NI-S029" "NI-S030" "NI-S032" "NI-S033" "NI-S034" "NI-S035" "NI-S036" "NI-S037" "NI-S038" "NI-S039" "NI-S040" "NI-S041" "NI-S042" "NI-S043" "NI-S044" "NI-S045" "NI-S046" "NI-S047" "NI-S048" "NI-S049" "NI-S050" "NI-S051" "NI-S052" "NI-S053" "NI-S054" "NI-S055" "NI-S056" "NI-S057" "NI-S058" "NI-S059" "NI-S060" "NI-S061" "NI-S062" "NI-S063" "NI-S064" "NI-S065" "NI-S066" "NI-S067" "NI-S068" "NI-S069" "NI-S070" "NI-S071" "NI-S072" "NI-S073" "NI-S074" "NI-S075" "NI-S076" "NI-S077" "NI-S079" "NI-S080" "NI-S081" "NI-S082" "NI-S083" "NI-S084" "NI-S086" "NI-S087" "NI-S088" "NI-S089" "NI-S090" "NI-S092" "NI-S093" "NI-S094" "NI-S095" "NI-S096" "NI-S097" "NI-S098" "NI-S100" "NI-S101" "NI-S102" "NI-S103" "NI-S104" "NI-S105" "NI-S106" "NI-S107"
"SCBV" 1 1 0 5 0 16 0 2 4 0 3 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 3 0 0 0 0 1 2 0 1 0 0 2 0 0 0 0 2 0 0 0 0 1 0 0 2 1 2 1 2 1 0 5 0 0 3 0 0 1 3 1 5 307 0 0 1 0 4 0 0 1 0 6 0 1 0 0 1 0 0 0 4 11 0 0 4 0 9 0 0 1 0 9 0 0 0 2 0 39 0 5 0 81 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 2 0 1 7 2 0 0 0
"SCMV" 0 0 0 0 0 0 0 0 4 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 1 3 0 0 0 1 3 0 0 0 1 2 0 1 1 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 1 0 0 0 0 18 0 0 0 0 9 0 0 0 1 8 1 0 0 5 4 0 1 0 0 0 1 1 0 1 0 0 0 0 1 9 0 0 1 0 3 0 0 0 0 4 0 0 1 0 0 1 0 0 0 4 1 0 0 0 18 0 0 0 0 0 0 0 0 0 1 0 1 10 0 4 0 0 0 0
"SPBgV" 0 1 0 3 19 17 0 1 4 1 2 0 0 1 1 0 1 2 0 0 1 1 9 4 0 0 0 0 1 0 1 1 0 2 0 0 0 0 2 0 0 0 0 8 0 1 1 0 3 1 7 1 1 0 0 0 0 1 1 3 0 0 2 7 0 3 0 3 20 0 2 1 3 4 2 1 1 0 3 3 0 2 1 2 1 1 1 0 8 5 1 1 2 9 1 0 1 1 9 17 5 1 1 14 1 0 0 2 18 1 0 1 55 10 4 0 2 0 22 5 0 0 2 0 0 0 17 0 11 1 0 2 0 24 1 1 1 0
"SPC6V" 0 0 0 2 22 8 0 3 5 1 1 0 0 2 1 0 1 11 0 0 1 0 2 8 0 1 0 0 1 0 1 3 0 2 0 0 0 0 8 0 0 1 0 3 0 2 0 0 1 1 0 1 1 1 0 0 0 2 5 2 0 0 0 11 0 6 5 5 0 0 6 1 1 2 5 0 8 15 4 1 2 5 0 12 1 3 0 0 4 8 1 1 3 19 5 0 6 1 12 8 10 0 4 6 1 0 0 1 25 2 8 9 8 9 5 19 2 8 3 14 2 28 5 43 0 5 51 3 48 2 1 23 1 12 1 4 1 1
"SPCFV" 0 1 1 2 0 2 3 1 8 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 3 1 0 1 0 3 0 2 0 0 1 0 0 0 0 2 0 0 0 1 1 0 0 0 1 6 0 0 1 6 10 0 17 3 9 14 1 2 2 4 12 2 2 6 2 28 5 3 1 0 13 1 1 0 2 13 43 5 11 3 35 2 4 3 3 7 4 12 1 4 7 2 3 2 1 42 2 15 2 6 33 11 4 77 8 4 2 4 35 1 244 13 1 32 2 26 1 2 19 0 16 1 1 13 0
"SPCSV" 5 6 1 8 5 5 3 10 2 1 1 2 8 7 3 29 1 19 93 1 14 47 2 54 0 0 1 0 2 1 0 4 0 3 1 1 0 1 1 0 0 1 0 2 0 0 0 0 3 0 0 0 0 1 0 0 1 2 5 1 1 0 2 6 0 6 3 23 14 0 4 4 2 47 5 2 2 1 14 4 4 1 2 16 5 1 1 1 15 20 6 10 2 12 1 8 2 7 6 6 3 2 1 9 2 20 3 2 95 5 5 33 7 11 6 4 86 2 30 8 3 28 4 183 4 3 35 1 36 0 1 16 0 6 3 1 5 0
"SPCV" 3 4 6 2 8 2 0 2 4 0 3 1 1 67 4 32 3 3 40 1 0 36 1 40 0 0 1 0 3 1 2 1 0 1 1 0 0 1 2 0 0 0 1 2 0 0 0 0 4 0 0 0 1 1 0 0 0 1 3 2 1 0 6 6 0 9 6 12 51 1 2 1 1 28 4 3 1 5 18 24 2 4 1 22 2 2 0 1 5 9 8 4 4 8 2 2 2 2 7 5 20 0 3 14 3 9 54 3 36 3 6 30 1 60 17 4 66 9 24 3 7 35 1 246 2 2 39 1 14 1 2 5 0 1 6 1 10 1
"SPFMV" 7 1 1 6 3 6 1 4 3 0 3 15 1 27 3 5 2 2 233 4 7 61 3 109 0 2 1 0 1 0 0 3 0 1 0 0 0 1 3 0 0 0 0 5 0 0 0 0 3 0 1 0 0 1 0 0 0 3 3 1 1 1 3 20 0 5 3 5 29 1 3 1 6 35 24 2 6 3 25 9 3 2 1 7 1 2 0 1 4 17 2 6 1 10 2 13 2 5 11 9 8 21 4 5 2 11 44 1 188 11 5 22 7 44 7 10 82 2 29 2 4 39 1 88 3 3 23 1 3 2 1 17 1 4 4 3 3 1
"SPGVaV" 4 1 2 3 0 5 3 0 3 0 0 2 0 19 11 1 20 0 0 2 2 0 2 0 0 0 2 0 0 1 0 0 0 1 0 0 0 0 2 0 0 0 0 3 0 1 0 0 1 1 1 0 1 0 0 0 1 1 6 1 0 0 0 23 0 7 1 10 49 7 3 6 2 19 6 1 1 1 11 3 3 7 1 7 2 0 0 0 4 13 3 7 2 17 6 8 33 13 5 13 10 20 0 24 5 3 58 1 180 3 13 45 2 47 3 6 28 2 9 1 10 12 1 18 14 2 31 3 2 1 6 1 0 3 1 0 1 0
"SPLCV" 19 3 0 3 2 1 2 1 8 2 1 25 1 99 13 72 2 5 23 3 1 27 8 153 0 0 0 0 1 0 0 1 0 4 0 0 0 1 3 0 0 0 0 2 0 0 0 0 1 0 0 1 0 2 0 0 0 1 5 1 1 0 5 14 1 6 9 20 41 1 2 2 2 4 5 5 1 4 5 11 1 1 1 6 1 4 0 1 4 38 13 81 5 5 2 18 31 1 19 19 7 8 3 17 2 19 116 1 165 2 4 21 1 16 9 8 50 2 1 4 1 45 2 52 2 5 10 1 2 0 1 5 1 4 1 1 3 0
"SPLV" 0 0 0 0 0 0 0 0 0 0 6 0 0 4 3 0 1 0 0 0 0 0 2 25 0 0 0 0 1 0 0 0 0 5 0 0 0 0 2 0 0 0 0 0 0 0 0 0 4 1 0 0 0 0 1 0 0 1 14 0 0 1 0 0 0 18 0 0 6 0 1 0 11 0 4 0 0 0 3 1 0 0 1 6 0 3 0 0 2 5 1 0 0 4 0 0 11 2 5 10 0 0 0 8 0 0 3 0 3 10 0 0 0 7 0 0 1 0 0 0 1 1 1 0 0 0 1 0 0 0 0 3 0 1 1 0 0 0
"SPMMV" 7 3 0 6 0 9 4 1 2 1 0 0 1 8 23 0 1 25 0 0 0 0 2 2 0 0 0 0 1 0 0 0 0 2 0 0 0 1 1 0 0 0 0 8 0 0 0 0 3 0 1 0 1 1 1 0 0 3 14 8 1 0 0 5 1 0 2 5 7 1 0 1 1 2 3 5 12 1 5 4 0 10 1 9 1 1 6 0 4 27 1 10 0 6 1 0 32 1 13 2 0 8 6 4 1 0 4 1 5 14 90 344 2 6 0 199 7 0 1 0 0 0 1 0 28 1 63 0 9 2 0 2 1 1 1 0 1 11
"SPMV" 11 2 0 2 4 1 2 2 2 2 1 14 18 7 2 3 2 3 229 0 12 29 9 6 0 1 0 0 0 0 0 1 0 2 0 0 0 0 10 0 0 0 0 6 0 0 0 0 4 3 0 1 1 2 0 0 0 2 4 2 1 0 15 5 1 3 5 1 14 1 6 1 2 2 12 1 11 7 7 7 8 14 0 22 8 1 6 1 6 19 32 11 1 30 1 2 30 1 7 5 39 7 1 1 9 7 8 6 13 7 75 21 2 4 1 9 50 2 1 4 4 16 1 54 11 0 28 0 0 1 0 5 1 2 1 1 1 0
"SPPV" 1 5 1 3 5 1 1 3 4 1 0 5 4 50 1 7 1 8 125 1 10 9 3 50 0 0 0 0 1 0 0 2 0 5 1 0 0 0 3 0 0 0 1 5 1 0 0 0 6 1 0 0 1 1 0 0 0 2 3 3 0 0 2 6 0 15 2 16 23 2 3 19 4 8 8 3 23 1 22 27 3 11 1 15 2 5 3 0 13 11 9 79 1 12 2 15 16 2 2 17 10 20 2 6 4 67 16 2 20 1 10 22 2 15 4 10 51 3 6 5 1 17 1 12 3 0 54 4 4 1 0 15 2 11 3 0 2 1
"SPSMV-1" 3 1 1 6 5 0 1 1 5 0 1 4 5 45 3 18 1 3 81 3 3 10 8 53 0 0 1 0 3 0 0 1 0 3 0 0 0 1 4 1 0 1 0 8 0 0 0 0 2 0 0 0 1 0 0 0 0 1 3 2 1 0 4 10 1 6 44 23 9 2 3 17 1 44 26 3 17 3 17 10 9 14 0 19 1 3 4 0 5 21 15 45 1 3 5 7 29 4 5 12 62 6 2 3 0 18 33 1 46 2 14 17 2 13 11 1 41 3 1 3 1 54 5 28 7 1 35 4 24 1 1 5 1 0 4 1 4 1
"SPV2" 0 2 0 7 0 1 1 1 3 0 1 1 0 7 9 0 1 0 26 3 1 0 2 17 0 0 0 0 1 0 0 0 0 3 2 0 0 1 7 1 0 0 0 2 0 0 0 0 2 1 0 0 0 1 0 0 0 2 3 5 1 5 25 2 0 5 24 0 85 9 4 8 14 1 6 1 8 0 10 9 2 8 1 7 1 2 5 1 1 15 36 19 2 11 6 11 6 7 5 1 38 52 1 7 2 34 3 0 13 15 8 52 1 2 14 2 145 8 1 1 1 18 3 162 1 0 13 0 2 1 1 20 1 1 0 1 2 0
"SPVC" 7 1 0 6 2 4 1 1 3 1 1 1 12 46 1 9 1 6 339 3 6 0 1 10 0 0 0 1 2 2 0 2 0 5 1 0 0 0 2 0 0 0 1 2 0 0 0 0 2 1 1 0 1 1 0 0 5 3 2 3 1 5 1 19 2 7 29 22 35 2 7 16 1 41 5 4 24 1 8 9 8 9 0 2 4 2 4 1 3 33 44 26 2 3 0 11 20 3 5 5 24 10 1 6 4 3 21 1 9 3 2 41 10 7 14 2 83 13 19 3 3 11 4 6 5 1 17 2 2 0 1 12 1 0 1 0 8 0
"SPVCV" 10 1 0 4 9 1 1 2 2 1 1 10 3 97 9 2 1 2 100 2 1 7 10 150 1 0 1 0 3 1 0 1 0 2 0 0 0 1 2 0 0 0 0 2 0 1 0 0 3 1 0 3 1 0 0 0 4 0 9 10 1 4 2 14 1 18 36 7 44 1 4 18 1 16 10 7 14 1 2 21 4 16 1 4 3 12 1 1 1 4 12 57 2 8 1 18 15 2 5 12 2 9 1 1 2 2 65 5 22 8 3 28 11 37 7 4 28 9 0 5 4 17 2 12 1 2 28 2 1 0 0 16 0 1 1 1 7 1
"SPVE" 2 6 0 2 0 1 2 1 11 1 1 0 8 8 25 0 0 9 0 0 0 0 2 193 1 0 1 0 1 0 0 0 0 1 1 0 0 0 2 0 0 0 0 3 0 0 1 0 1 1 0 3 0 1 1 0 4 2 7 4 2 5 2 18 0 10 44 7 17 1 7 10 1 2 20 3 26 2 5 16 25 5 1 2 0 3 3 1 3 13 17 42 1 7 4 2 12 3 1 6 3 27 6 3 6 6 42 5 117 4 5 9 7 1 10 5 39 5 1 1 6 28 2 5 2 1 38 1 2 0 1 12 1 3 1 0 5 2
"SPVF" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 1 0 0 1 0 10 6 0 0 5 0 0 0 7 0 8 2 0 1 0 9 0 0 0 0 0 5 0 41 0 0 0 1 1 0 1 0 0 9 0 4 1 15 0 0 6 0 0 0 0 1 0 0 14 0 3 0 0 48 0 17 15 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 2 0 0 0 0
"SPVG" 4 1 0 7 4 2 0 4 6 4 0 3 2 178 10 11 1 5 134 1 7 5 11 75 0 0 0 0 1 1 0 0 0 2 1 0 2 1 1 0 0 2 0 7 1 0 1 0 4 1 1 2 0 2 0 0 5 1 3 3 1 3 2 2 1 8 42 13 10 3 20 6 2 5 2 5 17 1 5 6 9 9 0 5 3 1 2 1 1 18 2 106 6 4 5 4 25 11 13 7 8 6 4 1 4 13 20 2 10 1 11 21 4 1 4 3 89 2 2 1 3 29 1 38 1 1 19 3 2 0 1 7 1 1 3 0 13 1
"SPVY" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 1 7 1 4 4 4 1 51 14 18 3 0 5 15 2 16 6 3 5 0 7 22 0 6 1 1 3 1 8 2 1 30 6 13 5 17 2 9 6 2 0 8 17 3 2 1 1 14 55 1 1 2 6 45 2 2 2 5 98 4 7 1 2 26 3 14 2 1 11 2 4 1 1 27 1 1 1 0 1 0
"SPYMV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 13 0 4 3 0 1 1 6 1 0 2 0 6 0 0 1 0 1 0 0 2 0 0 1 0 5 1 2 6 4 2 4 2 0 13 32 9 13 1 8 11 1 6 16 1 12 1 1 7 1 16 1 2 3 1 3 2 9 21 1 27 4 1 4 9 11 5 1 3 21 5 2 1 1 7 53 1 12 1 7 24 3 10 2 2 40 7 2 1 4 18 2 19 4 0 66 0 2 0 0 16 1 1 1 1 12 4
"ToBlV1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 2 0 5 0 4 1 0 1 0 5 0 0 2 0 3 0 0 1 0 0 2 0 3 1 0 0 1 2 1 1 1 1 4 2 3 1 19 13 3 7 3 0 4 1 0 4 2 11 2 6 20 1 11 3 10 3 1 1 1 0 16 21 72 2 1 1 3 34 1 0 4 7 7 1 2 1 12 7 3 46 1 6 35 3 6 1 8 80 2 1 6 1 120 3 0 0 0 78 0 2 0 1 4 3 1 1 0 1 6
"ToLCPaV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 5 0 0 0 0 0 4 0 2 0 0 0 14 0 0 0 14 0 9 4 0 2 0 0 0 0 2 1 0 3 2 9 0 0 1 0 23 1 0 2 0 0 0 3 0 0 4 0 1 0 0 494 3 3 0 28 0 0 0 0 0 0 0 0 0 0 416 0 5 0 0 1 0 0 1 0 0 2
"TuMV" 0 0 0 3 0 1 0 1 2 0 0 0 0 0 0 0 28 0 0 4 0 0 0 0 0 0 2 0 3 0 0 3 0 1 0 0 1 0 0 2 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 2 0 0 3 0 0 0 0 0 0 0 1 0 0 0 5 0 0 1 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 21 0 1
"WMV" 3 0 1 0 0 0 5 0 4 1 1 0 0 22 0 0 17 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 2 4 0 1 0 0 0 0 1 0 2 0 0 1 0 6 4 0 0 0 0 0 0 0 1 0 0 0 5 1 3 0 0 0 0 0 1 1 5 0 0 0 1 19 0 0 0 1 3 0 0 0 6 1 0 1 0 0 0 2 0 2 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 27 2 2 0 0 0 0 0 0 0 0 0 0 0 1 24 0 0 0 0 0 0 1 1 0 0 0
"YMV" 1 27 1 6 0 7 5 1 3 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 0 0 0 0 3 0 1 1 0 1 0 1 1 0 1 0 0 0 0 2 0 1 4 0 3 2 1 0 0 2 3 0 2 0 1 0 1 0 0 35 0 0 1 2 18 0 0 2 1 3 0 2 0 0 20 1 1 1 3 0 2 1 11 1 0 2 1 1 0 16 1 2 1 0 16 4 1 14 0 12 1 0 0 0 3 2 2 1 6 0 17 0 1 0 48 3 0 0 11 5 4 0 5 2 1 1 1 6 0 1 3
"ZTMV" 0 0 0 23 0 0 0 0 6 0 4 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 3 0 0 3 0 0 0 5 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 3 0
