"TZ152" "TZ154" "TZ155" "TZ156" "TZ158" "TZ159" "TZ160" "TZ164" "TZ170" "TZ171" "TZ173" "TZ178" "TZ179" "TZ181" "TZ184" "TZ188" "TZ189" "TZ191" "TZ194" "TZ195" "TZ196" "TZ198" "TZ201" "TZ208" "TZ211" "TZ214" "TZ216" "TZ217" "TZ218" "TZ220" "TZ222" "TZ224" "TZ226" "TZ227" "TZ228" "TZ229" "TZ230" "TZ231" "TZ232" "TZ233" "TZ234" "TZ235" "TZ236" "TZ237" "TZ239" "TZ240" "TZ241" "TZ242" "TZ243" "TZ244" "TZ245" "TZ246" "TZ247" "TZ253" "TZ256" "TZ257" "TZ258" "TZ259" "TZ260" "TZ261" "TZ262" "TZ263" "TZ266" "TZ268" "TZ269" "TZ270" "UG101" "UG102" "UG103" "UG104" "UG105" "UG107" "UG110" "UG112" "UG114" "UG116" "UG117" "UG118" "UG119" "UG122" "UG123" "UG124" "UG125" "UG126" "UG127" "UG128" "UG129" "UG13" "UG134" "UG135" "UG136" "UG137" "UG139" "UG140" "UG141" "UG143" "UG144" "UG145" "UG146" "UG147" "UG148" "UG149" "UG15" "UG150" "UG155" "UG158" "UG161" "UG162" "UG164" "UG165" "UG166" "UG168" "UG171" "UG172" "UG173" "UG174" "UG176" "UG177" "UG178" "UG179" "UG180" "UG181" "UG182" "UG183" "UG184" "UG185" "UG186" "UG187" "UG188" "UG189" "UG190" "UG191" "UG192" "UG193" "UG194" "UG195" "UG196" "UG197" "UG198" "UG20" "UG200" "UG22" "UG25" "UG30" "UG31" "UG34" "UG36" "UG40" "UG42" "UG45" "UG49" "UG5" "UG55" "UG65" "UG68" "UG73" "UG77" "UG81" "UG84" "UG89" "UG92" "UG94" "UG97" "UG99"
"FreMV" 1 0 1 0 0 0 1 0 3 0 10 0 0 0 0 0 1 0 0 0 0 4 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 1 0 0 0 0 0 0 0 0 4 0 0 3 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 3 0 0 0 0 0 0 0 10 0 0 0
"GLRaV-1" 0 1 1 8 2 0 0 3 0 7 3 1 1 7 0 2 2 21 0 0 2 0 1 0 0 2 1 1 3 7 3 0 0 0 1 0 1 0 3 8 3 0 0 0 0 0 1 0 0 0 0 6 1 13 1 3 3 3 2 4 0 0 2 2 1 1 2 0 1 0 10 2 3 1 0 1 0 1 0 2 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 3 1 0 0 0 1 0 0 1 0 0 0 14 36 1 0 0 0 0 0 1 0 2 16 2 0 0 3 2 0 0 1 3 0 2 1 3 2 1 1 29 47 13 0 4 2 0 3 0 0 6 0 8 16 4 1 0 7 0 2 11 0 0 1 0 7
"GLRaV-10" 0 4 1 0 3 0 9 2 6 0 5 2 0 0 0 1 7 0 0 0 4 2 22 0 3 0 0 1 0 0 0 0 14 0 0 2 5 5 0 0 0 3 0 0 0 9 0 0 0 0 0 0 3 3 0 0 0 2 1 0 0 17 0 0 1 0 0 1 0 0 0 0 0 2 0 1 0 2 2 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 1 0 4 0 2 1 0 2 3 0 23 0 0 2 3 0 0 0 0 0 0 2 0 1 0 9 18 0 1 0 0 0 0 0 0 0 0 4 0 0 1 0 2 0
"HarMV" 0 3 1 1 0 0 1 0 1 42 0 0 0 1 0 0 2 7 1 0 0 1 0 5 5 0 0 0 0 3 0 0 0 0 0 3 1 0 8 11 1 0 0 0 0 0 0 0 0 9 1 0 1 2 1 0 1 1 3 3 0 0 3 1 2 2 0 1 1 0 0 7 0 0 0 0 0 1 2 16 0 3 0 0 0 0 1 0 2 4 0 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 2 15 9 0 0 4 0 2 0 0 0 2 0 0 0 9 1 0 3 0 0 0 0 1 1 1 2 0 3 0 1 0 2 0 3 0 0 0 1 0 0 0 1 0 4 0 2 8 2 2 0 4 11 0 1 7 1 5
"HBV-GD1" 0 2 0 1 0 0 1 0 1 0 1 2 1 2 0 4 6 0 0 0 0 0 3 0 2 3 2 0 0 0 0 0 1 2 4 0 0 1 9 0 3 2 5 1 0 0 1 0 2 0 0 1 1 3 0 1 1 0 1 4 0 0 0 5 2 2 2 0 1 1 0 0 0 0 0 6 0 0 1 34 0 6 0 0 0 1 2 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 3 0 1 1 3 0 8 1 0 16 1 0 2 1 0 0 0 1 0 3 0 0 4 1 0 3 0 1 1 1 0 2 6 6 0 1 4 0 0 0 0 0 0 8 1 0 0 0 0 8 1 6 0 6 0 2 0 0 0 0 1 8
"IYVV" 1 2 1 1 1 0 4 3 2 5 1 6 1 1 1 2 1 22 1 5 3 5 1 8 12 2 3 0 1 3 8 1 3 4 6 6 19 2 11 3 11 1 1 1 1 5 1 2 2 10 3 1 3 15 1 2 2 2 7 2 2 6 15 2 2 6 1 1 0 0 2 10 0 0 1 6 1 7 2 25 0 12 0 0 1 0 4 0 3 33 1 1 0 1 1 0 1 1 1 2 0 1 2 3 0 1 2 7 10 0 5 11 1 1 0 2 14 6 3 1 1 5 4 1 0 1 1 1 1 2 3 4 2 1 6 9 2 2 2 4 12 0 11 4 2 3 3 2 1 2 1 0 2 2 4 3 1 4 44 2 2 12 0 12
"LMV" 0 1 2 1 1 1 1 0 1 3 21 1 1 0 1 1 1 12 0 1 0 2 0 2 1 2 0 0 0 0 6 0 0 2 1 0 13 3 6 2 6 0 0 1 0 2 0 8 0 4 0 5 0 2 3 11 2 1 0 2 0 0 10 7 1 2 0 0 0 0 0 8 0 0 0 4 0 2 2 5 0 3 0 1 0 2 1 21 4 0 0 0 1 0 1 0 2 1 1 1 0 0 0 7 1 0 1 5 6 0 2 8 1 0 0 0 12 0 6 1 1 0 2 0 2 2 1 1 4 4 1 3 1 0 2 0 3 3 0 0 10 0 1 1 1 4 2 0 0 0 0 0 1 3 0 2 2 2 0 1 3 0 2 2
"LPV" 0 0 3 2 1 0 1 0 0 3 13 0 0 0 1 2 1 11 0 0 4 0 0 2 1 0 2 0 0 1 9 0 2 2 0 8 0 5 6 1 2 0 1 6 4 0 2 2 0 0 1 29 0 2 1 0 2 5 2 2 0 0 0 0 2 0 0 0 0 0 0 6 0 0 0 1 2 2 1 59 1 2 1 0 9 0 2 0 8 5 0 0 1 0 0 0 3 1 3 1 0 0 2 1 0 0 0 2 0 0 0 1 0 1 0 6 1 0 5 3 0 0 2 12 0 0 0 0 0 2 0 1 0 6 0 0 0 6 0 0 0 0 0 2 0 1 1 0 1 0 3 0 0 1 2 1 0 0 0 1 0 4 0 10
"MeLCV" 2 1 1 2 0 0 3 2 0 8 7 0 1 4 1 4 2 6 1 0 0 0 0 0 2 2 7 0 1 1 7 1 6 2 59 2 2 1 2 7 2 4 0 0 1 4 1 3 0 1 2 8 0 6 1 1 2 2 1 6 0 1 1 2 0 2 1 1 0 0 0 4 0 0 1 5 0 6 1 6 1 3 1 0 0 0 1 0 6 8 0 1 4 0 2 1 1 1 1 0 1 0 0 0 0 0 1 6 11 1 5 2 1 1 1 0 11 1 1 0 0 11 1 2 0 1 1 0 1 5 1 1 2 10 0 10 3 1 2 3 2 1 3 0 0 2 0 1 2 1 2 1 0 2 3 4 1 3 12 1 1 1 1 3
"MWMV" 0 0 1 0 2 0 1 0 1 2 1 1 0 0 1 5 0 6 0 2 0 0 0 0 0 0 0 8 0 0 0 0 0 2 4 0 1 3 0 1 1 1 0 0 0 2 2 3 0 4 2 3 2 1 0 0 1 6 0 0 1 0 3 6 2 12 0 0 0 0 0 0 0 0 1 1 1 0 1 3 0 1 0 1 0 0 1 1 2 1 1 0 1 0 1 0 0 5 3 0 1 1 0 0 0 2 1 0 0 0 1 2 0 0 0 0 16 1 0 0 0 8 0 0 6 0 1 0 2 11 0 0 0 0 4 0 1 0 2 0 0 0 19 1 0 2 7 1 1 0 11 1 1 3 3 2 0 6 23 0 1 6 1 1
