"TZ152" "TZ154" "TZ155" "TZ156" "TZ158" "TZ159" "TZ160" "TZ164" "TZ170" "TZ171" "TZ173" "TZ178" "TZ179" "TZ181" "TZ184" "TZ188" "TZ189" "TZ191" "TZ194" "TZ195" "TZ196" "TZ198" "TZ201" "TZ208" "TZ211" "TZ214" "TZ216" "TZ217" "TZ218" "TZ220" "TZ222" "TZ224" "TZ226" "TZ227" "TZ228" "TZ229" "TZ230" "TZ231" "TZ232" "TZ233" "TZ234" "TZ235" "TZ236" "TZ237" "TZ239" "TZ240" "TZ241" "TZ242" "TZ243" "TZ244" "TZ245" "TZ246" "TZ247" "TZ253" "TZ256" "TZ257" "TZ258" "TZ259" "TZ260" "TZ261" "TZ262" "TZ263" "TZ266" "TZ268" "TZ269" "TZ270" "UG101" "UG102" "UG103" "UG104" "UG105" "UG107" "UG110" "UG112" "UG114" "UG116" "UG117" "UG118" "UG119" "UG122" "UG123" "UG124" "UG125" "UG126" "UG127" "UG128" "UG129" "UG13" "UG134" "UG135" "UG136" "UG137" "UG139" "UG140" "UG141" "UG143" "UG144" "UG145" "UG146" "UG147" "UG148" "UG149" "UG15" "UG150" "UG155" "UG158" "UG161" "UG162" "UG164" "UG165" "UG166" "UG168" "UG171" "UG172" "UG173" "UG174" "UG176" "UG177" "UG178" "UG179" "UG180" "UG181" "UG182" "UG183" "UG184" "UG185" "UG186" "UG187" "UG188" "UG189" "UG190" "UG191" "UG192" "UG193" "UG194" "UG195" "UG196" "UG197" "UG198" "UG20" "UG200" "UG22" "UG25" "UG30" "UG31" "UG34" "UG36" "UG40" "UG42" "UG45" "UG49" "UG5" "UG55" "UG65" "UG68" "UG73" "UG77" "UG81" "UG84" "UG89" "UG92" "UG94" "UG97" "UG99"
"NoMV" 0 1 1 0 1 1 5 1 0 4 2 1 0 1 1 5 3 6 2 2 1 0 1 0 1 5 1 0 1 5 10 0 2 3 4 1 1 3 6 1 4 1 1 2 1 0 2 2 1 0 1 4 1 3 1 5 3 1 1 17 0 1 1 6 4 9 5 0 0 0 1 0 0 0 0 3 1 0 4 32 0 4 0 0 0 0 8 4 7 16 0 1 1 0 0 0 1 4 4 0 2 1 5 3 0 2 0 7 3 1 3 2 0 0 1 1 0 1 1 8 2 5 0 0 1 1 0 21 0 6 1 3 5 8 2 1 0 7 3 1 2 1 0 2 1 2 0 0 1 0 0 0 0 6 2 6 0 3 0 0 8 0 0 5
"OYDV" 1 2 1 2 0 1 2 2 1 1 1 1 0 2 0 3 1 5 0 2 1 0 1 23 2 3 3 1 3 1 5 1 3 1 1 1 0 2 9 7 2 1 1 1 2 2 2 2 1 5 1 2 3 1 3 0 2 2 2 1 1 2 1 4 5 0 1 1 1 0 0 5 1 0 0 1 0 0 1 18 1 2 1 0 0 1 1 2 5 18 1 0 0 1 0 1 0 1 1 1 0 1 1 0 1 3 0 13 7 2 5 2 1 6 0 1 3 1 0 1 1 12 1 1 1 1 2 1 5 3 2 3 1 1 3 3 6 0 1 2 3 0 6 1 0 5 6 0 2 2 3 1 1 2 3 3 0 1 16 0 2 5 1 2
"PapMV" 0 4 1 0 1 0 0 4 0 1 2 0 0 0 2 2 1 0 0 0 0 2 1 8 1 0 1 1 2 0 4 0 0 1 3 2 4 0 10 0 16 0 1 4 2 2 1 5 7 4 0 1 0 0 0 0 0 1 1 2 0 0 2 6 1 4 1 0 1 1 0 12 0 6 0 1 1 12 6 0 3 12 0 1 3 1 1 0 15 12 0 0 0 0 0 0 0 1 1 0 1 0 0 3 1 2 1 0 1 0 4 4 1 0 0 2 0 0 1 2 1 0 1 0 0 0 1 1 3 16 0 0 0 0 3 1 0 1 0 0 0 0 2 0 1 0 0 4 0 0 1 0 0 0 1 52 0 3 0 1 1 2 0 6
"PClSV" 0 0 1 0 0 1 0 0 0 3 2 0 0 0 0 2 1 0 2 1 5 1 1 4 7 0 5 2 0 2 3 2 0 2 0 0 7 0 4 5 16 0 0 0 0 0 0 1 0 1 2 0 1 0 0 1 4 1 1 8 0 11 2 4 0 2 1 3 1 0 0 15 0 2 0 0 0 10 0 3 1 20 0 1 0 0 8 0 0 0 0 1 1 0 1 1 1 0 2 0 1 0 1 1 0 1 0 3 27 4 10 1 0 0 0 0 1 1 2 0 0 10 2 0 2 2 0 0 2 0 1 1 2 1 1 0 5 2 1 0 1 2 0 1 1 2 1 0 1 2 0 0 1 0 3 22 0 0 2 4 3 3 0 13
"PeMoV" 1 1 1 16 0 0 0 2 0 4 0 0 0 0 1 0 0 0 6 0 1 1 0 0 0 0 5 0 0 3 0 0 16 1 0 1 19 0 1 16 3 0 1 0 0 4 0 0 0 0 0 3 3 0 0 4 1 0 0 10 1 3 0 1 2 4 0 1 0 1 0 0 0 1 1 0 1 15 1 0 0 5 0 0 0 1 2 0 0 0 0 0 0 0 0 0 1 5 0 0 1 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 2 2 2 0 2 13 0 1 0 2 0 1 0 2 1 0 0 1 1 4 3 0 0 21 5 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 15 1 6 2 0
"PenMV" 1 0 2 1 1 0 1 0 1 2 3 0 6 0 0 0 1 0 0 1 1 0 0 2 1 0 0 1 0 1 0 0 3 0 0 3 6 4 1 1 2 0 1 0 2 0 0 1 0 0 3 2 0 8 0 0 4 0 1 0 0 0 26 0 1 0 0 0 0 0 0 0 0 1 0 10 1 0 0 2 0 5 0 0 0 1 5 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 3 1 0 0 0 0 0 1 0 0 0 0 0 0 11 0 1 0 1 2 17 1 1 0 2 0 0 4 2 0 4 1 1 10 2 3 0 0 0 0 0 3 0 2 3 0 0 0 0 0 0 0 3 10 0 3 0 0 2 3 0 0
"PiCV-1" 0 0 1 0 1 1 1 6 2 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 1 0 0 6 0 0 0 6 0 0 0 1 0 0 0 0 0 7 0 0 1 0 1 1 1 0 1 52 0 1 0 5 2 5 0 0 0 9 0 1 0 1 5 0 5 0 2 0 1 0 0 0 0 3 0 1 2 1 0 1 2 0 1 1 2 2 19 1 2 151 3 0 11 0 2 1 0 0 1 1 0 1 2 3 10 3 4 8 1 3 1 0 1 1 4 0 2 3 0 3 0 12 3 0 0 1 4 3 0 10 9 29 0 11 10 1 2 1 0 5
"PkMV" 0 2 1 0 5 1 1 1 9 0 8 1 0 0 1 2 3 0 0 0 1 0 6 0 6 0 0 0 0 0 0 0 25 0 0 0 1 4 1 0 0 3 0 0 0 14 0 0 0 0 0 0 2 1 0 0 0 1 1 0 0 4 0 0 1 0 0 1 0 0 0 0 0 3 0 2 0 1 2 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 3 6 0 16 0 0 3 2 0 0 0 0 0 0 1 0 0 0 2 18 0 0 0 0 0 0 0 0 0 0 8 0 0 1 0 1 0
"PMNV" 0 3 0 0 2 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 2 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 6 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 1 0 0 0 1 0 0 0 4 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 1 0 0 0 0 0 0
"PPV" 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 31 1 0 0 0 1 0 0 0 4 4 0 0 0 0 0 0 4 0 0 1 4 2 0 1 0 0 0 0 0 0 0 0 0 0 0 1 5 0 4 0 0 0 0 2 0 1 0 0 3 0 0 0 0 0 0 0 0 1 0 3 1 0 0 0 0 0 0 0 0 0 1 0 0 0 4 0 0 0 0 0 0 0 0 4 0 0 3 36 0 0 1 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 2 0 2 0 4 1 16 6 2 0 1 1 11 3 0 0 0 0 0 0 0 1 0 0 4 0 1 0 1 2 0 0 0 0 0 0 0 0 1 0 0 0
"PRSV" 1 1 3 15 3 1 1 8 2 19 0 1 0 0 3 1 3 0 1 4 1 1 1 0 2 0 1 0 0 1 0 3 5 3 0 6 1 1 5 3 1 0 0 1 3 0 1 11 1 10 2 0 1 4 3 1 0 8 12 8 1 0 10 3 1 1 0 0 0 1 0 0 1 1 0 2 1 7 1 8 0 5 2 0 0 1 22 0 3 0 3 0 0 0 1 1 1 1 0 2 0 3 0 1 1 1 0 2 0 1 17 0 1 0 0 0 3 2 1 2 0 0 1 4 1 11 5 0 2 2 2 110 1 0 1 7 6 2 2 0 11 2 0 1 2 1 2 3 0 0 0 4 0 4 5 0 0 1 0 2 1 4 1 2
"PSbMV" 1 0 0 0 1 0 0 0 0 0 1 2 0 0 1 0 1 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 6 1 2 0 0 0 0 0 4 2 0 1 0 0 1 2 0 0 0 1 0 4 10 0 0 3 25 0 2 0 1 0 0 0 0 0 0 0 0 0 1 13 1 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 1 0 1 0 3 0 0 5 4 0 0 6 0 0 0 0 0 2 2 0 0 0 0 3 0 0 0 0 0 2 1 0 4 1 2 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 3 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 1 0
"PtV" 0 1 1 3 7 1 0 1 1 2 0 1 0 4 0 0 1 48 0 0 2 0 4 0 0 1 3 0 1 2 19 0 0 0 7 1 1 1 10 2 2 0 0 0 0 0 6 0 0 1 0 1 1 8 1 3 0 1 3 1 1 0 2 11 3 0 1 0 0 0 3 12 1 1 0 4 1 3 1 6 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 1 2 0 0 0 1 0 0 0 0 0 0 6 12 8 0 1 0 2 1 2 0 6 5 1 1 0 1 1 0 0 1 1 0 1 0 2 1 1 1 4 24 29 0 15 3 0 14 2 0 2 0 3 8 1 9 0 8 0 11 32 0 0 2 0 4
"PVA" 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 1 0 5 8 0 0 1 1 2 0 1 0 3 1 4 0 1 0 6 0 6 1 9 1 0 0 0 0 0 0 0 1 0 0 1 1 1 2 4 0 1 1 0 18 0 0 31 1 1 4 0 0 0 1 0 33 0 0 0 18 0 0 1 11 1 6 0 0 0 0 0 0 4 14 1 0 0 0 0 0 0 1 5 0 2 0 0 0 1 1 4 1 5 0 0 0 0 0 0 0 0 1 5 1 0 2 6 1 0 2 1 0 0 0 2 3 1 0 2 0 1 2 3 1 1 3 1 2 0 6 0 3 0 1 0 5 1 0 1 0 0 7 0 2 2 1 0 1
"PVY" 2 1 3 4 3 1 2 5 2 2 3 1 0 3 1 11 4 39 1 2 2 2 2 1 1 2 4 2 1 3 27 1 12 2 7 1 5 1 1 1 1 2 1 1 3 13 8 1 2 7 2 2 1 2 5 1 12 6 10 4 1 5 8 5 0 1 1 1 0 0 2 24 1 3 0 6 0 7 1 2 0 2 1 0 2 1 5 7 2 47 1 0 1 0 1 2 0 10 4 3 0 1 2 3 1 0 0 8 6 3 3 10 3 2 2 1 19 1 3 1 0 3 1 1 0 2 3 3 4 1 8 13 0 2 1 2 14 1 10 9 27 1 4 2 1 4 0 0 1 1 5 1 2 8 7 15 1 5 14 2 1 1 0 2
"PYMAV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 8 0 8 5 0 0 4 0 0 0 0 1 0 0 0 0 1 0 0 3 1 0 1 0 1 1 0 0 1 0 0 2 0 0 1 0 0 9 3 0 0 0 0 0 0 0 0 1 0 3 1 0 1 0 0 0 8 0 3 1 0 2 0 1 0 8 1 0 1 0 10 1 0 0 0 5 0 0 1 0 0 1 3 0 1 4 0 1 0
"RuFDV" 0 1 3 0 0 0 1 0 1 0 9 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 2 0 0 4 0 0 1 0 11 4 0 0 0 0 2 1 0 0 11 0 0 1 2 1 0 0 0 1 0 1 0 0 3 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 2 0 0 0 0 3 0 0 1 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 7 0 0 0 0 1 0 0 3 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 9 5 0 0 0 2 0 0 0 7 0 0 0
"SCBV" 0 3 6 9 1 1 3 1 1 7 0 0 0 2 0 3 2 27 1 6 4 1 0 2 1 1 5 1 12 1 54 0 5 2 0 2 0 0 16 7 6 1 4 1 3 10 1 2 1 5 3 1 0 1 1 1 3 3 42 5 0 6 15 0 2 1 0 1 0 3 5 29 0 2 1 5 1 1 0 26 0 8 0 3 0 2 5 2 6 0 2 0 1 0 0 1 0 2 5 1 1 0 1 3 0 2 2 1 8 0 52 3 4 23 1 0 15 2 0 0 0 4 2 1 2 7 2 1 4 6 2 9 1 0 1 1 1 0 2 0 7 1 0 4 1 3 2 1 0 0 2 7 2 5 1 13 0 5 0 0 1 4 1 2
"SCMV" 1 0 6 1 12 0 7 0 3 4 0 0 0 2 2 2 0 0 1 0 0 0 5 1 3 0 0 0 0 0 15 0 4 0 1 0 1 0 0 0 0 0 0 0 1 6 2 4 0 8 1 1 0 1 0 0 0 1 1 3 0 0 3 8 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 4 0 0 0 0 1 0 10 0 1 0 0 0 0 1 0 5 1 0 0 0 0 0 0 0 0 1 3 1 0 2 1 2 1 0 0 2 1 2 0 2 1 0 0 0 4 0 2 10 0 3 1 0 0 6 0 3 0 0 2 1 0 0 0 8 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0
"SPBgV" 0 2 6 0 1 1 4 21 1 0 3 1 0 3 0 8 1 17 0 4 0 10 0 12 1 0 2 1 0 1 40 1 1 1 2 1 0 1 2 2 3 3 2 4 0 8 20 3 1 4 1 3 2 1 0 2 6 1 1 2 1 6 6 1 2 2 0 1 0 0 1 14 1 0 0 2 0 1 0 7 1 3 0 1 0 0 7 0 6 19 0 0 2 0 0 0 1 6 1 1 0 1 2 1 0 1 1 2 6 1 2 2 2 1 0 0 2 1 0 1 0 5 0 0 1 6 0 2 3 5 2 2 0 4 4 3 1 1 14 3 4 0 9 2 1 1 4 0 1 1 3 0 0 13 4 3 0 2 9 0 1 2 0 3
"SPC6V" 0 3 1 7 4 1 1 3 0 14 5 1 0 2 1 7 0 5 0 4 0 2 1 7 3 1 1 0 1 1 6 0 5 2 5 1 1 2 3 3 2 1 3 0 4 7 4 2 1 1 11 4 1 2 2 2 6 0 1 2 1 1 4 5 3 2 0 0 0 0 1 5 0 1 1 3 0 1 4 6 0 2 0 1 0 2 5 3 5 39 0 1 1 0 0 1 1 5 0 0 0 2 0 1 1 1 1 5 4 1 3 3 1 0 0 0 6 1 0 0 0 6 0 1 2 0 3 2 2 3 3 1 5 3 2 2 3 1 5 3 2 0 11 0 1 4 7 0 1 1 1 1 0 2 1 8 1 2 9 0 2 2 1 2
"SPCFV" 4 8 10 2 2 2 4 3 0 1 6 1 1 1 2 12 6 31 1 3 1 4 1 1 2 0 3 0 3 2 24 1 2 4 10 1 5 1 2 7 2 7 5 4 1 9 5 4 1 1 1 7 1 5 2 5 10 8 8 5 2 2 10 2 0 1 0 1 0 0 1 22 1 0 2 6 0 4 1 4 1 2 3 2 2 0 6 5 7 23 0 0 2 0 1 1 2 7 5 3 1 2 0 3 0 0 1 1 7 1 9 7 3 3 0 2 12 1 1 1 0 13 1 5 3 7 2 2 6 5 3 1 0 7 2 4 3 4 8 15 16 1 10 1 2 3 1 0 0 2 1 2 1 11 5 4 1 4 7 1 2 2 1 2
"SPCSV" 1 3 5 3 2 0 1 4 1 4 0 1 0 1 0 12 2 4 2 5 0 4 1 4 4 1 2 3 1 0 5 0 1 1 15 3 2 2 2 2 4 1 2 2 1 7 1 1 1 2 3 1 1 2 2 1 10 2 1 8 2 0 12 4 1 2 0 0 1 0 0 4 0 0 0 6 1 2 1 4 0 5 0 1 1 0 5 1 2 24 0 0 0 0 0 1 0 7 2 0 1 2 0 3 1 0 1 2 4 3 7 2 1 1 0 1 12 3 0 1 0 4 2 1 2 4 2 2 1 1 3 2 1 1 1 2 3 1 7 5 2 1 13 0 2 6 2 1 0 1 6 1 0 2 2 1 0 4 27 0 2 2 0 5
"SPCV" 0 1 8 10 1 1 1 2 0 2 2 1 0 1 1 10 0 33 1 2 1 1 0 5 6 1 2 1 8 1 8 0 14 2 9 1 9 1 3 3 2 1 1 3 3 2 2 2 1 1 1 2 1 1 1 2 9 0 9 6 1 3 4 1 2 3 0 0 0 1 0 7 0 3 1 3 0 11 1 5 1 3 0 0 2 1 2 2 3 13 0 0 1 0 0 0 1 6 0 3 1 1 1 1 0 1 1 2 4 2 36 2 1 1 2 1 7 1 2 0 0 6 1 1 1 7 7 1 3 2 2 1 1 3 1 2 2 1 6 1 17 1 7 2 1 1 2 1 0 1 3 6 0 3 2 23 1 2 9 2 1 2 1 3
"SPFMV" 0 2 2 2 1 2 2 1 0 4 2 1 0 1 2 1 5 25 1 2 1 1 4 7 6 1 2 2 5 0 3 0 20 1 9 2 8 1 4 2 1 1 1 1 1 3 4 2 0 1 2 3 1 1 1 3 1 7 7 3 1 3 2 10 2 3 0 0 0 1 0 2 0 4 0 3 1 10 1 7 0 2 0 0 1 0 2 4 4 8 0 0 1 0 0 0 1 1 5 2 0 1 1 1 2 1 1 2 5 2 24 1 0 1 3 0 7 2 2 0 0 4 1 1 1 1 1 1 5 3 1 1 1 3 2 2 2 3 1 13 13 1 5 2 0 17 3 1 0 1 4 4 0 1 1 33 0 2 19 2 1 3 0 2
"SPGVaV" 1 6 41 6 0 5 2 1 0 3 1 2 0 10 2 13 1 18 2 4 1 0 0 11 3 2 1 2 7 2 36 0 100 2 6 1 1 1 1 7 1 1 2 3 3 2 5 4 1 6 1 2 2 1 9 4 11 3 17 6 1 1 0 1 5 2 0 0 1 2 2 33 1 2 0 12 0 1 1 4 1 2 0 1 1 1 3 2 6 8 0 0 0 1 0 3 1 6 1 2 1 1 1 0 0 2 1 4 8 4 45 8 3 0 3 0 15 1 1 0 0 8 0 1 2 4 6 0 20 6 1 1 1 1 3 2 20 4 8 3 12 2 7 2 0 1 5 2 1 1 9 16 2 10 3 21 0 4 12 0 2 1 1 2
"SPLCV" 1 2 1 3 0 1 4 3 0 2 1 0 0 1 1 6 1 24 0 1 2 1 1 1 2 1 2 1 7 1 3 1 17 0 9 2 2 1 2 2 5 1 1 1 1 1 2 5 1 2 2 2 1 4 2 2 7 2 6 2 0 5 2 3 0 2 0 0 0 1 0 3 1 3 0 8 1 2 3 4 0 8 0 0 0 0 0 2 7 22 0 0 0 0 1 1 1 5 1 2 0 0 1 1 1 0 0 2 4 1 25 4 0 1 2 0 16 2 1 1 0 3 3 1 1 1 1 0 3 4 4 1 1 1 1 4 3 2 5 4 11 0 1 2 1 4 0 0 0 1 1 5 1 1 7 29 0 5 15 0 3 2 0 9
"SPLV" 3 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 6 8 1 3 0 0 0 0 1 0 1 0 10 0 32 0 1 1 0 0 2 0 0 0 1 31 2 0 0 1 1 2 0 10 0 6 3 0 0 1 5 0 0 0 0 3 1 0 1 0 0 0 0 0 0 0 1 0 0 2 0 3 1 7 0 2 1 1 0 0 8 0 2 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 4 2 22 0 1 1 0 0 4 0 1 0 1 5 0 1 1 2 1 0 1 3 0 0 0 1 1 2 1 0 21 0 0 0 0 0 1 0 1 0 2 0 4 0 0 4 1 14 0 1 1 0 0 1 0 11
"SPMMV" 4 0 0 1 3 0 2 2 2 1 2 0 0 1 1 3 1 10 4 1 0 0 1 3 2 0 1 1 0 2 17 0 6 2 1 7 3 3 2 2 4 3 1 0 1 13 2 2 1 12 1 3 1 1 2 1 2 1 2 7 0 1 2 4 1 2 0 0 1 0 1 16 0 1 1 1 1 5 2 3 0 7 1 0 0 0 10 2 4 15 1 0 1 0 0 1 0 1 1 1 1 1 0 0 1 1 1 1 3 3 2 10 2 1 1 1 2 4 2 1 0 6 2 2 0 1 1 5 1 3 3 4 0 3 1 1 1 1 2 2 7 1 3 1 0 3 2 1 0 0 7 0 1 6 2 9 1 1 59 1 2 1 1 5
"SPMV" 2 15 6 9 4 1 12 2 0 2 1 1 0 2 1 13 3 7 3 2 0 1 1 2 7 0 11 3 8 1 21 1 7 2 2 1 23 3 4 2 10 4 4 2 3 23 1 8 0 1 1 1 2 1 2 3 9 4 2 14 1 1 3 2 1 6 0 3 1 1 0 21 1 1 1 1 0 8 2 6 0 10 2 2 1 1 9 2 9 6 0 0 0 0 0 1 1 4 2 1 1 1 0 1 0 0 2 2 26 4 24 2 2 1 2 2 1 0 3 1 0 4 2 4 4 6 1 3 2 5 1 1 0 1 2 1 8 2 7 11 5 2 9 1 1 3 1 2 0 4 8 6 1 7 5 20 1 0 5 2 3 3 0 16
"SPPV" 3 2 1 9 5 0 5 3 1 3 2 1 1 1 0 2 1 2 1 3 2 1 1 3 3 1 2 2 5 1 17 0 3 2 5 2 1 1 2 2 2 5 1 0 3 19 0 6 1 3 2 2 1 5 2 1 2 2 1 4 1 4 2 2 1 2 1 0 1 1 0 16 0 0 1 2 1 1 1 4 0 2 2 1 0 1 14 0 10 18 0 0 0 0 1 1 0 1 1 0 0 1 1 1 0 0 1 3 4 2 22 3 2 1 0 1 4 2 0 0 0 4 1 4 1 1 6 5 1 7 2 2 1 2 1 5 3 1 1 3 1 1 7 2 0 4 1 1 0 1 4 3 1 7 1 4 1 1 16 0 1 2 0 2
"SPSMV-1" 3 0 7 6 3 1 2 1 1 4 1 1 0 6 0 3 1 41 2 1 1 3 1 3 5 0 1 1 8 2 5 0 4 1 1 1 3 2 2 2 4 5 0 3 2 10 3 2 0 4 3 2 1 2 9 1 3 1 12 7 1 1 9 2 1 3 0 0 0 1 1 5 0 1 0 0 0 4 1 4 0 5 2 0 2 1 8 3 3 3 1 0 0 0 0 3 0 2 1 4 1 1 0 2 0 0 1 1 3 1 36 8 1 1 1 1 1 1 1 1 0 3 1 3 0 6 4 3 4 2 0 4 1 2 1 3 14 1 2 3 21 1 4 1 1 3 2 1 0 1 2 6 2 2 2 7 0 0 9 1 2 2 0 4
"SPV2" 0 13 4 2 3 1 0 12 1 5 1 1 1 4 0 2 1 60 0 1 2 2 0 5 3 0 1 1 3 0 7 1 4 1 1 1 2 2 1 1 10 0 3 2 1 8 2 1 2 4 2 1 1 1 8 0 1 1 12 2 1 4 7 1 2 2 0 0 0 0 0 5 1 2 0 1 0 3 1 2 0 6 0 2 1 0 10 3 2 38 1 0 0 0 1 2 0 1 1 5 0 1 1 2 0 1 1 1 3 1 4 1 1 1 1 0 1 1 1 1 0 2 4 0 3 4 1 2 4 1 9 3 1 1 2 3 9 0 1 3 46 0 5 1 1 2 2 1 0 1 2 1 0 2 4 11 0 1 8 1 2 1 0 10
"SPVC" 2 2 6 9 2 1 0 1 2 4 3 1 1 6 3 11 2 46 1 3 1 0 1 2 6 0 3 5 7 1 6 2 11 1 7 1 3 3 1 14 10 6 1 3 8 10 3 0 0 10 2 3 1 8 9 5 9 3 13 3 1 2 1 1 1 3 0 1 1 1 1 5 1 2 0 2 0 3 4 3 2 13 2 0 2 1 8 3 1 5 1 0 1 0 1 3 2 6 2 4 0 1 1 0 0 0 1 1 7 3 21 5 1 3 2 0 6 1 1 2 0 29 4 5 1 5 5 3 4 0 1 11 1 3 1 10 14 5 7 5 22 1 8 1 0 2 1 1 0 2 6 4 1 2 10 18 0 2 11 0 4 1 3 13
"SPVCV" 2 2 5 2 1 2 1 3 0 2 1 1 0 6 1 1 4 57 0 3 1 1 1 3 3 1 2 1 1 1 1 0 11 2 3 1 2 1 3 2 5 3 1 2 1 2 3 1 1 1 1 1 1 1 9 1 1 5 16 1 2 3 3 3 1 2 1 0 0 0 0 1 0 2 1 1 0 3 1 6 0 6 1 1 1 0 2 4 2 17 0 0 0 0 0 3 1 1 3 5 0 2 1 1 0 0 1 4 4 1 6 2 0 1 1 1 3 1 1 0 0 4 2 3 1 4 1 1 5 2 2 1 1 2 1 1 13 1 1 9 26 0 10 2 1 4 1 1 1 1 2 1 1 1 3 18 1 1 11 0 1 3 0 6
"SPVE" 3 6 1 4 1 1 0 1 1 3 1 1 0 5 0 12 3 30 2 1 0 2 1 3 3 1 10 1 2 1 32 1 6 1 16 1 3 2 2 1 2 5 3 1 1 4 2 0 0 3 2 1 1 3 8 0 9 3 9 6 0 0 5 3 1 2 0 2 0 0 0 30 1 1 0 6 0 4 2 3 0 2 2 2 0 1 3 2 1 9 0 0 0 0 1 2 0 6 2 2 1 1 0 1 1 0 1 2 21 1 9 2 4 3 1 0 12 1 1 1 0 3 1 4 3 1 3 1 3 0 1 2 1 2 1 3 12 0 7 7 16 1 3 0 1 4 1 1 0 5 2 1 0 14 5 10 0 4 8 1 2 1 0 2
"SPVF" 1 1 0 2 0 0 0 4 1 0 2 0 0 1 0 0 0 13 0 0 2 0 2 2 3 0 0 0 0 0 0 0 0 2 11 1 2 3 1 1 0 0 1 0 0 0 0 0 1 3 2 1 0 0 2 4 0 0 3 0 0 2 24 11 1 3 0 2 0 0 0 18 0 0 0 5 0 4 0 1 1 1 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 4 0 1 0 0 1 1 0 0 0 4 0 1 0 0 1 0 0 1 45 1 2 1 0 2 0 0 1 1 0 4 4 0 1 0 1 0 1 6 0 2 1 12 0 1 0 12 0 3 0 0 0 0 1 0 0 0 2 8 1 1 0 1 0 1 1 1
"SPVG" 3 4 2 15 3 0 2 2 1 8 1 4 1 7 1 10 4 31 2 0 0 4 1 5 3 2 9 5 7 1 36 0 12 1 2 1 1 2 1 4 8 5 3 1 5 11 1 2 1 2 5 1 6 7 10 1 8 5 9 6 0 1 10 3 2 2 1 2 1 1 1 33 0 2 0 1 0 2 2 2 1 9 2 1 0 2 8 1 3 11 0 1 0 1 1 3 0 5 4 3 1 0 0 3 1 1 1 7 20 6 31 4 5 1 2 0 2 1 0 1 0 7 3 3 2 1 11 3 1 2 1 2 2 1 8 8 16 1 6 11 16 1 1 0 2 5 2 1 1 5 10 5 1 15 2 20 0 1 7 0 3 1 1 9
"SPVY" 0 3 0 5 3 2 2 2 0 2 2 0 1 4 1 8 1 8 1 1 1 0 1 2 3 0 9 2 1 2 44 0 11 2 2 2 1 1 5 2 2 1 1 0 1 11 4 1 1 2 1 2 1 5 6 1 6 1 3 7 0 2 1 2 1 2 0 2 0 0 1 41 0 2 0 2 0 2 1 9 0 3 0 0 0 0 9 2 2 9 0 0 1 0 1 2 0 4 1 1 1 0 1 0 0 0 1 1 22 2 2 8 5 0 2 1 4 1 1 0 1 4 1 1 1 0 5 3 5 1 2 2 1 2 1 4 6 1 5 2 4 1 2 1 0 1 1 1 0 6 4 0 1 16 1 21 0 1 12 0 1 4 0 2
