ID,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,resource.range,species.specificity.index,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.generality,proportional.similarity,d
AO-S107,32,0.615384615,0.077888906,-0.028815972,0.310810811,0.774509804,0.392156863,0.139803784,0.002762075,1,0,0,0.006711409,0.00178266,38.33118212,3.364301222,28.91328628,0.714822945,0.613485579,0.066653462
AO-S109,30,0.576923077,0.171881473,-0.027603951,0.371621622,0.896877269,0.431372549,0.243710316,0.011404614,1,0,0,0.006711409,0.005848157,10.60174349,2.919497871,18.53197969,0.458165985,0.547800545,0.119727208
AO-S110,28,0.538461538,0.137862933,-0.03079061,0.445945946,0.885369532,0.470588235,0.208176054,0.009940705,1,0,0,0.006711409,0.003102613,14.05361741,3.046419994,21.03988651,0.520168945,0.524544206,0.145284166
AO-S111,30,0.576923077,0.410282709,-0.019657243,0.358108108,0.900480947,0.431372549,0.283240016,0.02986556,1,0,0,0.006711409,0.009704258,8.088656117,2.637725666,13.98136911,0.345661276,0.419089201,0.200902451
AO-S112,31,0.596153846,0.304370131,-0.022439673,0.331081081,0.91372549,0.411764706,0.236169315,0.027357083,1,0,0,0.006711409,0.005771114,10.54179419,2.986891552,19.82396486,0.490107724,0.519414104,0.186043817
AO-S113,26,0.5,0.225440392,-0.029790754,0.486486486,0.874509804,0.509803922,0.219334953,0.014490666,1,0,0,0.006711409,0.006260939,8.241527023,2.980313118,19.69398222,0.486894165,0.523383042,0.146606009
AO-S118,32,0.615384615,1.004478389,0.00013995,0.297297297,0.950449145,0.392156863,0.326505832,0.140533426,1,0,6.14E-05,0.006711409,0.019491363,6.873505421,2.591375599,13.34812064,0.330005479,0.39101901,0.334160834
AO-S119,36,0.692307692,0.48994452,-0.014168208,0.236486486,0.924414927,0.31372549,0.259779738,0.043638216,1,0,0,0.006711409,0.00882845,10.66748238,2.926921754,18.67007089,0.461580013,0.447627942,0.228987018
AO-S120,29,0.557692308,0.063069693,-0.032307942,0.418918919,0.784313725,0.450980392,0.154145688,0.00268315,1,0,0,0.006711409,0.001778749,31.0021984,3.260875351,26.07234963,0.644586491,0.587943333,0.068665245
AO-S121,30,0.576923077,1.062300709,0.00207669,0.344594595,0.930409664,0.431372549,0.265340504,0.081489379,1,0,0.014069796,0.006711409,0.028729802,5.797254161,2.818132309,16.74554594,0.413999998,0.489743359,0.21885988
AO-S122,37,0.711538462,0.44680615,-0.014951185,0.216216216,0.884882985,0.294117647,0.187511295,0.034819325,1,0,0,0.006711409,0.006301446,12.93598247,3.243562162,25.62483918,0.633522694,0.516336206,0.179437448
AO-S124,38,0.730769231,0.376804453,-0.016399883,0.195945946,0.892395983,0.274509804,0.237286895,0.02241142,1,0,0,0.006711409,0.00822846,12.13179429,2.968754608,19.46765963,0.481298793,0.502325872,0.148313186
AO-S125,35,0.673076923,0.537842711,-0.013204494,0.25,0.888719124,0.333333333,0.217815028,0.027920923,1,0,0.000983043,0.006711409,0.01424937,8.497533364,3.070528542,21.5532915,0.532861853,0.605045879,0.117630449
AO-S126,29,0.557692308,0.06750358,-0.032155049,0.412162162,0.92513369,0.450980392,0.24172842,0.003769231,1,0,0,0.006711409,0.001910791,26.23920068,3.006903802,20.22468327,0.500014682,0.611574227,0.086423737
AO-S127,39,0.75,1.874458772,0.02242202,0.121621622,0.986220959,0.254901961,0.594399151,0.415317768,1,0,0.323236667,0.006711409,0.02379373,7.192710723,1.80735645,6.09431549,0.150669713,0.267894115,0.556340084
AO-S128,37,0.711538462,0.490783257,-0.013762615,0.209459459,0.835023665,0.294117647,0.176757649,0.029899624,1,0,0,0.006711409,0.007940739,11.54608817,3.274614588,26.4330359,0.653503735,0.53934271,0.157369377
AO-S129,37,0.711538462,0.211258135,-0.021317348,0.222972973,0.944356121,0.294117647,0.27413934,0.022200172,1,0,0,0.006711409,0.00482763,16.25990087,3.054466911,21.20987575,0.524371588,0.530717854,0.159825248
AO-S130,38,0.730769231,0.87506445,-0.003287778,0.175675676,0.939233351,0.274509804,0.348186336,0.129098292,1,0,0.002211846,0.006711409,0.012442411,9.862423493,2.589990676,13.32964731,0.329548764,0.361013866,0.349693134
AO-S131,34,0.653846154,0.224858819,-0.02279827,0.290540541,0.8057041,0.352941176,0.147934214,0.008686503,1,0,0,0.006711409,0.0040294,15.80904066,3.35087363,28.52764538,0.705288748,0.608972988,0.100496354
AO-S132,30,0.576923077,0.515996126,-0.016133462,0.351351351,0.896446078,0.431372549,0.265972383,0.045316818,1,0,0,0.006711409,0.012488764,7.499920328,2.748219814,15.61480985,0.386044819,0.412559916,0.229771972
AO-S133,37,0.711538462,0.398182399,-0.016265341,0.202702703,0.895958383,0.294117647,0.211042143,0.019504278,1,0,0,0.006711409,0.009109975,10.96893559,3.16641698,23.7223343,0.586487081,0.571913819,0.117001673
AO-S134,43,0.826923077,0.41042737,-0.013710991,0.02027027,0.946559016,0.176470588,0.283605977,0.047489568,1,0,0,0.006711409,0.00557114,17.32306823,3.069776393,21.53708629,0.532461212,0.47631735,0.222225645
AO-S135,34,0.653846154,0.556628371,-0.013040342,0.263513514,0.942517178,0.352941176,0.302948922,0.055173998,1,0,0,0.006711409,0.014000837,8.473431467,2.71416502,15.09200329,0.373119476,0.413550521,0.240742843
AO-S136,40,0.769230769,0.394554,-0.01513615,0.101351351,0.830349531,0.235294118,0.169348509,0.018222307,1,0,0,0.006711409,0.006217846,14.24148934,3.323285806,27.75138658,0.686097308,0.528951226,0.137250889
AO-S137,39,0.75,0.194012925,-0.020666335,0.162162162,0.935877054,0.254901961,0.244689361,0.010395927,1,0,0,0.006711409,0.004954933,16.55764866,3.165347491,23.6969771,0.585860175,0.610073923,0.093903983
AO-S138,38,0.730769231,0.553482371,-0.011750464,0.182432432,0.868627451,0.274509804,0.204145166,0.028840965,1,0,0.002211846,0.006711409,0.01121036,10.46155978,3.170386341,23.81668394,0.588819686,0.520473969,0.153270274
