Sample,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,resource.range,species.specificity.index,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.generality,proportional.similarity,
MW-S064,42,0.53164557,0.254366191,-0.017753186,0.558685446,0.94375517,0.474358974,0.232303353,0.018348956,1,0.004716981,0,0.004673,0.004750642,18.04226718,3.218749963,24.99685364,0.374136862,0.525800082,0.159731276
MW-S065,34,0.430379747,0.128051909,-0.025645532,0.774647887,0.947802198,0.576923077,0.235991617,0.00987407,1,0.004716981,0,0.004673,0.00202802,25.60598552,3.146842883,23.26250607,0.348178261,0.477934514,0.162151239
MW-S066,52,0.658227848,0.407574596,-0.011392796,0.272300469,0.952316689,0.346153846,0.2392934,0.026868947,1,0.004716981,0,0.004673,0.007100583,19.19555465,3.31929217,27.64077867,0.413709435,0.530802421,0.159032903
MW-S067,42,0.53164557,0.839943934,-0.003810859,0.535211268,0.926609105,0.474358974,0.20333302,0.042528518,1,0.004716981,0.000315552,0.004673,0.017239351,9.990067034,3.304841769,27.24423038,0.407774155,0.581003559,0.15694282
MW-S068,48,0.607594937,0.286248886,-0.014869815,0.408450704,0.843406593,0.397435897,0.142664793,0.009574234,1,0.004716981,0,0.004673,0.004858724,21.03580192,3.610005974,36.96627366,0.553287459,0.615414245,0.091621707
MW-S069,29,0.367088608,0.128554008,-0.030049862,0.868544601,0.903846154,0.641025641,0.202277571,0.007423164,1,0.004716981,0,0.004673,0.003277528,13.51677028,3.121464805,22.67957648,0.339453345,0.491305229,0.132012078
MW-S071,41,0.518987342,1.785773304,0.019165203,0.58685446,0.941083261,0.487179487,0.235875486,0.10898159,1,0.004716981,0.174279358,0.004673,0.036990312,7.792898696,3.116698669,22.57173972,0.337839313,0.515639125,0.233757416
MW-S073,42,0.53164557,0.461420431,-0.012823323,0.549295775,0.932510885,0.474358974,0.20844994,0.025312486,1,0.004716981,0,0.004673,0.0088988,12.73268259,3.268344819,26.26782534,0.393159951,0.50487018,0.1590744
MW-S074,50,0.632911392,0.209381871,-0.015812363,0.361502347,0.71025641,0.371794872,0.116861256,0.005315777,1,0.004716981,0,0.004673,0.003074247,32.74989808,3.760408294,42.96596514,0.64308699,0.642460351,0.069578996
MW-S075,42,0.53164557,0.251754711,-0.017815364,0.55399061,0.975783476,0.474358974,0.374086038,0.03919653,1,0.004716981,0,0.004673,0.005413652,17.11567192,2.730198395,15.33592929,0.229538347,0.438632906,0.235556482
