Virus,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,species.specificity.index,resource.range,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.similarity,proportional.generality,
SPGVaV,137,0.835365854,3.663237983,0.019439693,0.144736842,0.957116564,0.163868173,0.165644172,1,1,0,0.549122807,0.012987013,0.020238358,47.59399089,4.130398096,62.20268064,0.637355776,0.524195703,0.131857656
DBV,135,0.823170732,3.660876874,0.019710199,0.157894737,0.948241597,0.149761794,0.17791411,1,1,0,0.128070175,0.012987013,0.017504675,50.94798264,4.220231398,68.04922895,0.62807159,0.573465854,0.135205281
SPPV,135,0.823170732,2.270654264,0.009412254,0.171052632,0.889849414,0.112225481,0.17791411,1,1,0,0,0.012987013,0.011688055,69.27911978,4.437626365,84.57395553,0.66548439,0.712723368,0.074439069
OYDV,133,0.81097561,2.216035752,0.009143126,0.210526316,0.906375033,0.114326167,0.190184049,1,1,0,0,0.012987013,0.010871759,73.73749702,4.434016459,84.26920193,0.658377676,0.710155143,0.082805083
SPFMV,133,0.81097561,2.344580409,0.010109627,0.184210526,0.917270868,0.125746564,0.190184049,1,1,0,0,0.012987013,0.013303215,61.07019118,4.338992572,76.63030095,0.666505277,0.64578044,0.078051951
SPSMV-1,133,0.81097561,2.341688415,0.010087883,0.197368421,0.935956906,0.133696495,0.190184049,1,1,0,0,0.012987013,0.012875177,61.87913426,4.355226459,77.88446096,0.666587101,0.656349523,0.076969887
SPYMV,132,0.804878049,2.344220151,0.010183486,0.223684211,0.918317266,0.121496043,0.196319018,1,1,0,0,0.012987013,0.013743362,58.4310515,4.350654807,77.52921297,0.685855458,0.65335577,0.067556194
SPMMV,131,0.798780488,2.203511999,0.009187114,0.25,0.961526464,0.159830394,0.202453988,1,1,0,0,0.012987013,0.012020337,64.28715808,4.246320019,69.84789989,0.668034296,0.588623651,0.091496795
SPVE,131,0.798780488,2.39956141,0.010683675,0.236842105,0.905866564,0.124783672,0.202453988,1,1,0,0,0.012987013,0.01405381,56.13042543,4.322523514,75.37860746,0.685958012,0.635232143,0.069570675
CmV,130,0.792682927,2.329569782,0.01022746,0.263157895,0.907183851,0.129011342,0.208588957,1,1,0,0,0.012987013,0.013917511,57.04900522,4.276081898,71.95794835,0.649378615,0.606405494,0.086351165
SPV2,130,0.792682927,2.305464002,0.010042031,0.276315789,0.955521472,0.176458214,0.208588957,1,1,0,0,0.012987013,0.013305591,57.42434701,4.092911767,59.91409383,0.595632077,0.504909277,0.121578783
BCMV,129,0.786585366,2.327810937,0.010293108,0.289473684,0.851678095,0.098180656,0.214723926,1,1,0,0,0.012987013,0.012152708,62.6970786,4.46760071,87.14738015,0.690061348,0.734410185,0.073317348
FBV-1,129,0.786585366,2.198085709,0.009287486,0.302631579,0.879004772,0.096385591,0.214723926,1,1,0,0,0.012987013,0.01088491,69.8453932,4.516665823,91.52991169,0.675964312,0.771342744,0.074260564
SPCSV,128,0.780487805,2.177175211,0.009196681,0.315789474,0.911610998,0.11357741,0.220858896,1,1,0,0,0.012987013,0.011682037,63.17285632,4.418851987,83.00094447,0.656971988,0.699467257,0.079345575
SPVY,127,0.774390244,2.105674095,0.008706095,0.328947368,0.939626325,0.149667117,0.226993865,1,1,0,0,0.012987013,0.013359855,56.60748729,4.204395039,66.98006507,0.661071874,0.564455775,0.085975898
SPLCV,126,0.768292683,2.069634054,0.008489159,0.342105263,0.910725619,0.12855044,0.233128834,1,1,0,0,0.012987013,0.012790381,58.01844061,4.291335546,73.0639837,0.666863076,0.615726298,0.073571084
SPC6V,125,0.762195122,2.33059147,0.010644732,0.368421053,0.943212207,0.120168593,0.239263804,1,1,0,0,0.012987013,0.011405034,62.41865304,4.421441914,83.2161895,0.664454222,0.701281175,0.090120481
YMV,125,0.762195122,2.430621572,0.011444973,0.355263158,0.902453988,0.126644528,0.239263804,1,1,0,0,0.012987013,0.013822685,53.0308661,4.255486261,70.49108595,0.641170954,0.594043922,0.097483742
CsVC,124,0.756097561,2.714329035,0.013825234,0.381578947,0.961721248,0.172295693,0.245398773,1,1,0,0,0.012987013,0.013817549,51.90388494,4.087278274,59.57751715,0.59002178,0.502072871,0.160820244
SCBV,123,0.75,2.990927633,0.016186404,0.394736842,0.93308339,0.156899263,0.251533742,1,1,0,0.014619883,0.012987013,0.01670137,45.15598184,4.08566178,59.48128825,0.609395103,0.501261929,0.12977037
BgV,120,0.731707317,2.237059284,0.010308827,0.407894737,0.874539877,0.114707211,0.26993865,1,1,0,0,0.012987013,0.012127771,55.30216519,4.328533292,75.83298013,0.642723794,0.639061242,0.094019594
MeLCV,120,0.731707317,2.263801966,0.010531683,0.421052632,0.964645939,0.165199881,0.26993865,1,1,0,0,0.012987013,0.011540655,58.2303717,4.197892829,66.54595949,0.622823295,0.560797471,0.133262392
CSSV,118,0.719512195,2.147222284,0.009722223,0.447368421,0.872392638,0.111356731,0.282208589,1,1,0,0,0.012987013,0.012614241,53.17323584,4.329216136,75.88477987,0.663532072,0.639497769,0.092740665
SPBgV,118,0.719512195,2.391440088,0.011791865,0.434210526,0.936196319,0.134884745,0.282208589,1,1,0,0.038011696,0.012987013,0.012776479,51.62418182,4.225192463,68.38766438,0.611882116,0.576317924,0.121963913
NoMV,113,0.68902439,2.802729734,0.01595336,0.460526316,0.929831288,0.125308345,0.312883436,1,1,0,0,0.012987013,0.01135462,52.61767067,4.27858908,72.13858641,0.546879747,0.607927771,0.162817075
PRSV,112,0.682926829,2.907887322,0.017034708,0.473684211,0.979029559,0.240972867,0.319018405,1,1,0,0.008187135,0.012987013,0.013537013,45.60463614,3.821277011,45.66248261,0.484111391,0.384807808,0.269023758
BYMV,111,0.676829268,1.877757652,0.007907727,0.486842105,0.877300613,0.110470588,0.325153374,1,1,0,0,0.012987013,0.010672491,55.21562157,4.315393951,74.84310212,0.649819115,0.630719321,0.096664604
TuMV,106,0.646341463,1.977977827,0.009226206,0.5,0.957493427,0.16827522,0.355828221,1,1,0,0,0.012987013,0.010235814,53.685193,4.037877162,56.70583764,0.51086426,0.477872595,0.184547733
LMV,100,0.609756098,2.003334682,0.010033347,0.513157895,0.908559743,0.128954429,0.392638037,1,1,0,0,0.012987013,0.010116433,48.36548201,4.172513642,64.87832821,0.561751361,0.546743975,0.161473228
CABMV,95,0.579268293,2.019962123,0.010736443,0.526315789,0.961843483,0.179690548,0.423312883,1,1,0,0,0.012987013,0.009355958,48.42220848,3.949900562,51.93020275,0.443876822,0.437627267,0.230374371
PClSV,94,0.573170732,1.934437489,0.009940824,0.539473684,0.929561463,0.152250629,0.429447853,1,1,0,0,0.012987013,0.01047629,43.23585171,3.995420661,54.3486982,0.498304667,0.458008461,0.163067975
PtV,92,0.56097561,2.014733399,0.011029711,0.552631579,0.950408998,0.176095745,0.441717791,1,1,0,0,0.012987013,0.012234061,35.6103887,3.827685545,45.95605182,0.509292724,0.38728178,0.171730757
PapMV,90,0.548780488,2.0754012,0.011948902,0.565789474,0.966729589,0.190974526,0.45398773,1,1,0,0,0.012987013,0.010330163,40.43718703,3.841880503,46.61304804,0.444106631,0.392818432,0.217418009
CatMV,89,0.542682927,3.020902227,0.022706767,0.578947368,0.927685681,0.171106486,0.460122699,1,1,0,0,0.012987013,0.016380239,28.8710101,3.78696423,44.12225175,0.453245637,0.371827943,0.235917122
CLNV,89,0.542682927,1.613357592,0.006891658,0.605263158,0.975153374,0.220912891,0.460122699,1,1,0,0,0.012987013,0.009534933,42.45220374,3.769945798,43.37771363,0.482503015,0.365553556,0.193793506
GLRaV-1,89,0.542682927,2.245029963,0.013989101,0.592105263,0.951050777,0.180460539,0.460122699,1,1,0,0,0.012987013,0.01193332,34.43929237,3.808388862,45.07775383,0.491115017,0.379880169,0.212937337
MWMV,84,0.512195122,1.596846717,0.007105318,0.631578947,0.934382502,0.156335428,0.490797546,1,1,0,0,0.012987013,0.008652491,41.92163221,3.930518831,50.93339662,0.442910109,0.429226962,0.198721745
PiCV-1,84,0.512195122,2.451066908,0.017274606,0.618421053,0.986104904,0.332065539,0.490797546,1,1,0,0.01871345,0.012987013,0.012792915,29.09216827,3.208755763,24.74827433,0.405666037,0.208559164,0.368146986
CaYMV,82,0.5,1.697406419,0.008504956,0.644736842,0.964579234,0.212147839,0.503067485,1,1,0,0,0.012987013,0.010791639,33.21405333,3.618639039,37.2867874,0.472081366,0.314223978,0.208534346
PVA,82,0.5,1.619756916,0.007558011,0.657894737,0.949804796,0.186245299,0.503067485,1,1,0,0,0.012987013,0.009451179,36.94951593,3.757659034,42.84800277,0.428586061,0.361089566,0.219016002
CeMV,81,0.493902439,1.892999916,0.01102469,0.684210526,0.940841367,0.164296921,0.509202454,1,1,0,0,0.012987013,0.009505875,36.60629996,3.871267109,48.0031728,0.419357275,0.40453332,0.238745947
LPV,81,0.493902439,2.091024242,0.013469435,0.671052632,0.971820734,0.215445756,0.509202454,1,1,0,0,0.012987013,0.010118489,34.26902928,3.708222857,40.78126796,0.439221166,0.343672736,0.255782447
HBV-GD1,80,0.487804878,1.532302034,0.006653775,0.697368421,0.96048358,0.173211442,0.515337423,1,1,0,0,0.012987013,0.008397586,40.3096039,3.885918729,48.71167471,0.446048901,0.410504022,0.194214204
CHPV,78,0.475609756,1.97604505,0.012513398,0.710526316,0.937554777,0.155472184,0.527607362,1,1,0,0,0.012987013,0.009727663,33.31377689,3.887632532,48.79522851,0.402758343,0.411208148,0.239270206
WMV,77,0.469512195,2.185924403,0.015401616,0.723684211,0.978323108,0.252789011,0.533742331,1,1,0,0,0.012987013,0.013885902,26.01337592,3.458924511,31.7827761,0.396867175,0.267840461,0.299381231
HarMV,76,0.463414634,1.28324675,0.003726931,0.736842105,0.965235174,0.191043014,0.539877301,1,1,0,0,0.012987013,0.009273797,34.31402596,3.753121739,42.6540291,0.501331539,0.359454907,0.195386425
SPVF,76,0.463414634,1.401803382,0.005286887,0.75,0.967961827,0.213202051,0.539877301,1,1,0,0,0.012987013,0.008911361,34.31402596,3.622466792,37.42978553,0.424091059,0.315429054,0.234918487
ToLCPaV,76,0.463414634,1.611997799,0.008052603,0.763157895,0.929593923,0.150700286,0.539877301,1,1,0,0,0.012987013,0.00843658,35.92821736,3.913626061,50.08021707,0.462407198,0.42203703,0.201619877
CarVY,75,0.457317073,1.719920245,0.009598937,0.776315789,0.974335378,0.218636028,0.54601227,1,1,0,0,0.012987013,0.009884062,31.38651323,3.693465449,40.18386107,0.441353426,0.338638256,0.236885314
BBrMV,74,0.451219512,2.176346144,0.01589657,0.789473684,0.945208377,0.178213535,0.552147239,1,1,0,0,0.012987013,0.009058499,32.22668811,3.732103489,41.76687196,0.333943425,0.351978638,0.311746104
CoSMV,73,0.445121951,1.362807173,0.004969961,0.815789474,0.978186776,0.24921893,0.558282209,1,1,0,0,0.012987013,0.009431265,31.58539149,3.490373457,32.79819414,0.43748613,0.276397613,0.2424206
SPLV,73,0.445121951,1.315870898,0.004326999,0.802631579,0.950920245,0.203568262,0.558282209,1,1,0,0,0.012987013,0.009312308,31.51538932,3.583179185,35.98777096,0.455553145,0.30327688,0.219386055
PeMoV,70,0.426829268,1.689710294,0.009853004,0.828947368,0.928425358,0.178494512,0.576687117,1,1,0,0,0.012987013,0.00850219,30.96184874,3.6774238,39.54438848,0.368016223,0.33324928,0.264838432
PenMV,69,0.420731707,1.389326235,0.005642409,0.842105263,0.954459651,0.178836243,0.582822086,1,1,0,0,0.012987013,0.007273568,34.6710127,3.749723306,42.50931832,0.387091911,0.358235397,0.245936886
SCMV,65,0.396341463,1.106387419,0.00163673,0.855263158,0.924744376,0.15499326,0.607361963,1,1,0,0,0.012987013,0.006834014,33.59157134,3.806884574,45.0099949,0.412591299,0.37930915,0.210186
GLRaV-10,54,0.329268293,1.675996963,0.012518462,0.868421053,0.9442518,0.198309201,0.674846626,1,1,0,0,0.012987013,0.007770225,22.11862852,3.493929148,32.91502195,0.256693963,0.277382146,0.352784612
PkMV,52,0.317073171,1.259812509,0.004996394,0.881578947,0.960490798,0.220185812,0.687116564,1,1,0,0,0.012987013,0.006480651,23.95540033,3.366544258,28.97821259,0.252948326,0.244205786,0.335184194
PSbMV,52,0.317073171,1.067829995,0.001304423,0.894736842,0.97006135,0.223750003,0.687116564,1,1,0,0,0.012987013,0.005234399,28.69899407,3.430985217,30.90707795,0.259166473,0.26046076,0.311002089
ZTMV,49,0.298780488,1.207429908,0.004233263,0.907894737,0.953549518,0.206894715,0.705521472,1,1,0,0,0.012987013,0.006439077,22.16708916,3.408633439,30.2239132,0.260133311,0.25470358,0.327709149
BBWV-1,48,0.292682927,1.174934815,0.003644475,0.921052632,0.961826858,0.22134607,0.711656442,1,1,0,0,0.012987013,0.004711529,27.50643106,3.383799475,29.48257688,0.239455653,0.248456175,0.352073704
PPV,46,0.280487805,1.344771419,0.007495031,0.934210526,0.974096796,0.277775541,0.72392638,1,1,0,0,0.012987013,0.006485599,19.42331826,3.113162184,22.49205609,0.235182509,0.189545515,0.401866401
PYMAV,40,0.243902439,0.879587724,-0.003010307,0.947368421,0.937423313,0.204523084,0.760736196,1,1,0,0,0.012987013,0.004280368,22.25903647,3.315232774,27.52880123,0.22099712,0.231991277,0.295681807
RuFDV,38,0.231707317,0.933889612,-0.001739747,0.960526316,0.944227552,0.214963254,0.773006135,1,1,0,0,0.012987013,0.004217396,20.40069738,3.253931707,25.89193956,0.185178237,0.218197083,0.348306765
FreMV,24,0.146341463,0.585965176,-0.017251451,0.973684211,0.965644172,0.264740206,0.858895706,1,1,0,0,0.012987013,0.002673673,13.56756684,2.863087982,17.51553116,0.108213518,0.147607243,0.379177327
PMNV,21,0.12804878,0.496536696,-0.023974443,1,0.975460123,0.306704842,0.877300613,1,1,0,0,0.012987013,0.002911675,10.17161819,2.63879608,13.99634299,0.108577095,0.117950268,0.398900585
UPV1,21,0.12804878,0.504674678,-0.02358692,0.986842105,0.977720375,0.347751558,0.877300613,1,1,0,0,0.012987013,0.003656558,8.731960197,2.447130052,11.55513644,0.116311353,0.097377682,0.421552305
