Virus,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,species.specificity.index,resource.range,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.similarity,proportional.generality,
BSV,144,0.87804878,3.776156413,0.019278864,0.026315789,0.841291011,0.093509565,0.122699387,1,1,0,0.020467836,0.012987013,0.016063999,59.02102279,4.515699589,91.44151511,0.644319241,0.770597807,0.098659096
PVY,144,0.87804878,3.275721268,0.01580362,0.013157895,0.919853805,0.123532193,0.122699387,1,1,0,0.006432749,0.012987013,0.016337299,56.74926939,4.371976727,79.20003391,0.695765769,0.667436146,0.074123802
SPVG,144,0.87804878,3.592005879,0.018000041,0,0.886503067,0.109726156,0.122699387,1,1,0,0.107017544,0.012987013,0.017458485,54.87518381,4.437442184,84.55838008,0.72036013,0.712592111,0.061944019
IYVV,143,0.87195122,3.587006023,0.018090951,0.039473684,0.917317345,0.11591515,0.128834356,1,1,0,0.012865497,0.012987013,0.016083461,57.33755449,4.415828876,82.75040232,0.667670017,0.697355883,0.08397273
SPCFV,143,0.87195122,3.473006519,0.017293752,0.052631579,0.883039778,0.096529084,0.128834356,1,1,0,0.008187135,0.012987013,0.015830169,58.14510207,4.53925655,93.62117159,0.708459711,0.788966253,0.059317366
SPVC,142,0.865853659,3.402862603,0.016921568,0.065789474,0.917978128,0.108273384,0.134969325,1,1,0,0.022222222,0.012987013,0.016740149,55.51909956,4.470072635,87.3630684,0.700038928,0.736227837,0.065470284
CMV,141,0.859756098,3.29268243,0.016260159,0.105263158,0.908316292,0.103781265,0.141104294,1,1,0,0,0.012987013,0.015236814,59.68218795,4.499736733,89.9934359,0.652892689,0.758394524,0.085135087
SPMV,141,0.859756098,3.308790893,0.016374403,0.092105263,0.855828221,0.103267402,0.141104294,1,1,0,0.016959064,0.012987013,0.016562776,56.07644357,4.459980502,86.48582277,0.686495557,0.728835095,0.07674661
ToBlV1,141,0.859756098,3.43801975,0.01729092,0.078947368,0.894091056,0.108228462,0.141104294,1,1,0,0.049122807,0.012987013,0.017516416,53.45183331,4.399358476,81.39863271,0.690593595,0.685964223,0.074393946
SPCV,138,0.841463415,2.425223072,0.010327703,0.118421053,0.921949557,0.126282461,0.159509202,1,1,0,0,0.012987013,0.013513613,63.53980057,4.357034976,78.02544379,0.683967451,0.657537616,0.066248253
SPVCV,138,0.841463415,2.23902112,0.008978414,0.131578947,0.957701001,0.157225432,0.159509202,1,1,0,0,0.012987013,0.012501068,67.93823013,4.256376019,70.55383387,0.648866854,0.594572712,0.089504231
