Virus,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,species.specificity.index,resource.range,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.similarity,proportional.generality,
SPVE,70,0.469798658,2.232437677,0.017606253,0.509803922,0.974035834,0.306655522,0.533783784,1,1,0.029403409,0.103007519,0.0193769,0.016288576,17.99591343,3.033225061,20.76409018,0.388204275,0.270158267,0.324405312
PRSV,64,0.429530201,1.863517867,0.013492467,0.529411765,0.98695247,0.377194085,0.574324324,1,1,0.029403409,0,0.0193769,0.012934392,18.19438455,2.814992663,16.6930533,0.311343617,0.217190655,0.412292993
CHPV,61,0.409395973,2.025459453,0.016810811,0.549019608,0.961107449,0.240699081,0.594594595,1,1,0.029403409,0,0.0193769,0.012670246,17.4975719,3.292262455,26.90366318,0.337889974,0.350039272,0.315082067
BCMV,56,0.375838926,1.486797893,0.00869282,0.568627451,0.980486083,0.2916596,0.628378378,1,1.019607843,0.002083333,0,0.01918693,0.011922105,15.91572136,3.160440191,23.58097377,0.428159923,0.30680829,0.215566343
NoMV,55,0.369127517,1.483049293,0.008782714,0.588235294,0.948902027,0.205407206,0.635135135,1,1.019607843,0.002083333,0,0.01918693,0.010411619,17.07046204,3.432843828,30.96457559,0.382882026,0.402875156,0.264521859
SPGVaV,54,0.362416107,1.220745224,0.004087875,0.607843137,0.974251278,0.300883708,0.641891892,1,1.019607843,0.002083333,0.006766917,0.01918693,0.012441589,14.99972648,3.006175268,20.20995426,0.455656877,0.262948492,0.275904275
PVY,53,0.355704698,1.760902977,0.01435666,0.62745098,0.971026111,0.252726181,0.648648649,1,1,0.029403409,0,0.0193769,0.012977315,13.83493486,3.158096073,23.52576193,0.317377789,0.306089937,0.322859455
SPMV,50,0.33557047,1.345797968,0.006915959,0.647058824,0.987402657,0.374271061,0.668918919,1,1.019607843,0.002083333,0,0.01918693,0.013517432,12.46373678,2.819343864,16.76584639,0.462844684,0.218137754,0.221766112
CMV,49,0.32885906,1.474763255,0.009689046,0.666666667,0.997533988,0.734553043,0.675675676,1,1.019607843,0.002083333,0.044360902,0.01918693,0.01889023,9.58469721,1.400860724,4.058691879,0.301343598,0.052806993,0.430303435
BgV,47,0.315436242,0.955726278,-0.000941994,0.725490196,0.95083877,0.196067404,0.689189189,1,1.019607843,0.002083333,0,0.01918693,0.007697544,17.46908779,3.445265701,31.3516125,0.309493754,0.407910831,0.278725367
CatMV,47,0.315436242,1.478308362,0.010176774,0.705882353,0.959856916,0.233539538,0.689189189,1,1.019607843,0.002083333,0.017293233,0.01918693,0.009905651,14.53882504,3.259509349,26.03675904,0.285809128,0.33876012,0.344381059
PtV,47,0.315436242,1.224760469,0.004782138,0.68627451,0.990226273,0.428970861,0.689189189,1,1,0.029403409,0,0.0193769,0.011668132,12.48628328,2.600823686,13.4748325,0.398270132,0.175318897,0.240425412
GLRaV-1,45,0.302013423,1.206355602,0.00458568,0.745098039,0.941300676,0.197438742,0.702702703,1,1.019607843,0.002083333,0,0.01918693,0.008716366,14.46843517,3.374223646,29.2016042,0.330941036,0.379937416,0.27188253
PSbMV,41,0.275167785,0.981087281,-0.000461286,0.764705882,0.962292938,0.218787177,0.72972973,1,1,0.029403409,0,0.0193769,0.006534285,15.45184952,3.298392343,27.06908613,0.260746485,0.352191564,0.31122819
WMV,40,0.268456376,1.02074319,0.00051858,0.784313725,0.982225469,0.334490574,0.736486486,1,1.019607843,0.002083333,0.029323308,0.01918693,0.011003446,11.03480055,2.76343998,15.85428769,0.338855598,0.206277609,0.365405209
BSV,37,0.248322148,1.023606163,0.000638004,0.803921569,0.994765893,0.568326283,0.756756757,1,1.019607843,0.002083333,0,0.01918693,0.013534104,8.5865676,2.104226782,8.200759581,0.350131433,0.106698775,0.28083705
IYVV,34,0.228187919,0.600891954,-0.011738472,0.843137255,0.983952703,0.341760938,0.777027027,1,1.019607843,0.002083333,0,0.01918693,0.00719983,11.34069749,2.776291926,16.0593611,0.374581034,0.208945787,0.285460981
PiCV-1,34,0.228187919,0.839395594,-0.004723659,0.823529412,0.993317088,0.524077617,0.777027027,1,1.019607843,0.002083333,0,0.01918693,0.010479287,9.175530071,2.077844179,7.9872313,0.203947031,0.103920593,0.410583363
MeLCV,31,0.208053691,0.770807671,-0.007393301,0.862745098,0.978681267,0.296190929,0.797297297,1,1.019607843,0.002083333,0,0.01918693,0.007898043,9.462979486,2.8804748,17.82273341,0.237464248,0.231888743,0.350896724
LPV,20,0.134228188,0.676856049,-0.016157198,0.882352941,0.996396396,0.657752483,0.871621622,1,1.019607843,0.002083333,0,0.01918693,0.007940867,5.263208867,1.556334777,4.741411027,0.129042474,0.061689743,0.599470498
WTMV,13,0.087248322,0.454766911,-0.041941007,0.901960784,0.983564646,0.388235097,0.918918919,1,1.019607843,0.002083333,0,0.01918693,0.00473713,3.627425006,2.095049747,8.125845193,0.107288919,0.105724076,0.445884081
CoSMV,10,0.067114094,0.166056734,-0.083394327,0.941176471,0.988416988,0.478795816,0.939189189,1,1.058823529,0,0,0.018806991,0.00315843,3.081649372,1.713547965,5.548612878,0.10580715,0.072192117,0.390341732
PVA,10,0.067114094,0.259664077,-0.074033592,0.921568627,0.997510669,0.735955928,0.939189189,1,1.019607843,0.002083333,0,0.01918693,0.003255445,3.048373748,1.132336914,3.102899241,0.069964106,0.040371327,0.572217006
NLSYV,9,0.060402685,0.574914497,-0.047231723,0.960784314,0.990576102,0.485826219,0.945945946,1,1.019607843,0.025757576,0,0.01918693,0.003619201,2.479579466,1.727848946,5.6285336,0.042580612,0.073231953,0.547930721
UPV1,7,0.046979866,0.211157159,-0.112691834,0.980392157,0.998849914,0.856203629,0.959459459,1,1.039215686,0,0,0.01899696,0.002399742,2.127397385,0.657282746,1.929542149,0.037193597,0.025104965,0.632226077
JaVT,5,0.033557047,0.794372543,-0.041125491,1,0.996981024,0.712701397,0.972972973,1,1.352941176,0,0,0.015957447,0.002887133,1.243995139,0.991998346,2.696617866,0.012346315,0.035085265,0.76584841
