Virus,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,species.specificity.index,resource.range,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.similarity,proportional.generality,
SPFMV,146,0.979865772,8.167334458,0.049091332,0,0.965039817,0.193624302,0.02027027,1,1,0.029403409,0.048120301,0.0193769,0.016876937,41.21221036,4.042773336,56.9841601,0.585219512,0.741411821,0.182046978
CmV,145,0.973154362,7.635373656,0.045761198,0.019607843,0.981152205,0.270564186,0.027027027,1,1,0.029403409,0.07556391,0.0193769,0.016750152,40.99236406,3.847350266,46.86870894,0.555902465,0.609801299,0.180334627
SPPV,145,0.973154362,6.193882762,0.035819881,0.039215686,0.95542844,0.170532325,0.027027027,1,1,0.029403409,0.056015038,0.0193769,0.016791073,41.35131482,4.113354624,61.15151418,0.673122314,0.795632601,0.108050788
SPSMV-1,144,0.966442953,6.256760143,0.036505279,0.058823529,0.937250775,0.145803847,0.033783784,1,1,0.029403409,0.02406015,0.0193769,0.016066809,41.9732584,4.225307377,68.39552352,0.63086699,0.889883251,0.135574799
SPVG,143,0.959731544,7.211018773,0.043433698,0.078431373,0.994761516,0.563822351,0.040540541,1,1,0.029403409,0.034586466,0.0193769,0.016924602,32.19408934,2.521429663,12.44637808,0.412818848,0.161937841,0.479542361
SPCSV,142,0.953020134,6.760194759,0.040564752,0.098039216,0.952315373,0.153416748,0.047297297,1,1,0.029403409,0.030075188,0.0193769,0.016087204,41.03722188,4.210137623,67.36581026,0.673162537,0.876485816,0.110943122
SPV2,138,0.926174497,5.809700184,0.0348529,0.117647059,0.943204074,0.166882674,0.074324324,1,1,0.029403409,0.087969925,0.0193769,0.015588627,39.05842713,4.022665463,55.84977313,0.54941344,0.726652493,0.206752138
SPLCV,137,0.919463087,5.511441022,0.032930226,0.137254902,0.903305332,0.134246804,0.081081081,1,1,0.029403409,0,0.0193769,0.015544492,40.77484252,4.243316513,69.63842603,0.634449266,0.906054457,0.11194646
SPVC,126,0.845637584,4.821907441,0.030332599,0.156862745,0.965315315,0.212763438,0.155405405,1,1,0.029403409,0,0.0193769,0.015996127,35.53916803,3.825221436,45.84295053,0.616888391,0.59645532,0.16179767
SPMMV,114,0.765100671,3.900201536,0.025440364,0.176470588,0.947190612,0.174040162,0.236486486,1,1,0.029403409,0,0.0193769,0.015304951,33.07989455,3.937569167,51.29376304,0.630576401,0.667374972,0.143468564
SPVCV,103,0.691275168,3.386292536,0.023167889,0.196078431,0.937696417,0.159218852,0.310810811,1,1,0.029403409,0,0.0193769,0.014800168,30.27278433,3.998924304,54.53945059,0.640337854,0.709604096,0.133319948
BYMV,98,0.657718121,5.834394621,0.049330557,0.215686275,0.954499712,0.175044932,0.344594595,1,1,0.029403409,0,0.0193769,0.01212711,30.51107536,3.886589624,48.74436614,0.358937196,0.634205176,0.367501304
CLNV,94,0.630872483,4.793537814,0.040356785,0.235294118,0.963648649,0.229408045,0.371621622,1,1,0.029403409,0,0.0193769,0.012228093,30.42364571,3.587697603,36.15074666,0.314201329,0.470351601,0.429543225
YMV,91,0.610738255,2.436092813,0.01578124,0.254901961,0.957629505,0.198198291,0.391891892,1,1,0.029403409,0,0.0193769,0.013876909,27.93478233,3.718947457,41.22098439,0.475562019,0.536319655,0.231834983
SCBV,90,0.604026846,2.919394176,0.021326602,0.274509804,0.947591823,0.188259655,0.398648649,1,1,0.029403409,0,0.0193769,0.013038656,27.75192543,3.750517416,42.54308878,0.4261298,0.553521345,0.258747142
TuMV,90,0.604026846,3.076763264,0.023075147,0.294117647,0.935071791,0.167568404,0.398648649,1,1,0.029403409,0.017293233,0.0193769,0.013374834,27.82075636,3.811645229,45.22478284,0.420227518,0.588412439,0.257467501
SPCFV,87,0.583892617,2.39005144,0.015977603,0.31372549,0.921833598,0.164108448,0.418918919,1,1,0.029403409,0,0.0193769,0.013075133,27.16554157,3.851409903,47.05936563,0.504032128,0.612281903,0.188383548
LMV,84,0.563758389,4.618055908,0.043072094,0.333333333,0.995757861,0.616195219,0.439189189,1,1,0.029403409,0.218796992,0.0193769,0.020471225,17.40840288,2.064530995,7.88160052,0.29920971,0.102546248,0.595083086
CSSV,83,0.55704698,3.720894429,0.032781861,0.352941176,0.963363363,0.235133002,0.445945946,1,1,0.029403409,0.027067669,0.0193769,0.015327139,22.59783844,3.472568384,32.21938802,0.365461051,0.41920132,0.332399613
SPBgV,79,0.530201342,2.42944553,0.018094247,0.37254902,0.99349269,0.515266731,0.472972973,1,1,0.029403409,0.056390977,0.0193769,0.017228214,18.86846729,2.471155044,11.83611018,0.424823796,0.153997742,0.263818574
SPCV,79,0.530201342,2.326247486,0.016787943,0.392156863,0.954998688,0.209622617,0.472972973,1,1,0.029403409,0,0.0193769,0.01450721,21.86390847,3.600152652,36.60382166,0.503642518,0.476246487,0.20727179
CABMV,78,0.523489933,3.009393982,0.025761461,0.450980392,0.950418729,0.18841383,0.47972973,1,1,0.029403409,0,0.0193769,0.012619841,24.05052871,3.692145419,40.13085217,0.365628847,0.522136119,0.31926261
GLRaV-10,78,0.523489933,4.380770674,0.043343214,0.470588235,0.968077772,0.211387173,0.47972973,1,1,0.029403409,0,0.0193769,0.011368561,24.6093572,3.633320307,37.83824287,0.289617097,0.492307345,0.412014862
SPC6V,78,0.523489933,3.446969125,0.031371399,0.431372549,0.952395577,0.23679629,0.47972973,1,1,0.029403409,0.011278195,0.0193769,0.017365999,19.39923644,3.332759322,28.01553903,0.488443104,0.364505711,0.276972211
ZTMV,78,0.523489933,6.496970662,0.070473983,0.411764706,0.995102771,0.585480056,0.47972973,1,1,0.029403409,0.112030075,0.0193769,0.021047122,17.03541715,2.10701829,8.223684052,0.217357913,0.106997042,0.618897186
BBrMV,71,0.476510067,3.333968668,0.032872798,0.490196078,0.924579985,0.171397522,0.527027027,1,1,0.029403409,0,0.0193769,0.010392167,23.70790301,3.68008628,39.64981492,0.252625547,0.51587742,0.393219724
