Virus,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,species.specificity.index,resource.range,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.similarity,proportional.generality,
SPVG,116,0.84057971,4.075870484,0.026516125,0,0.956696465,0.219771686,0.160583942,1,1,0.01754386,0.03793267,0.01668552,0.016497986,31.37616584,3.638219213,38.02406364,0.561493659,0.477332261,0.172509171
SPVCV,114,0.826086957,3.889377367,0.025345416,0.016949153,0.948029197,0.187015246,0.175182482,1,1,0.01754386,0.022759602,0.01668552,0.01671597,30.78732551,3.796048456,44.52489433,0.575742589,0.558939957,0.147699595
SPCSV,113,0.81884058,3.475700764,0.021908856,0.050847458,0.955965059,0.198534606,0.182481752,1,1,0.01754386,0.033191086,0.01668552,0.017035532,29.83704037,3.736203326,41.93846087,0.626614949,0.526471356,0.113945097
SPFMV,113,0.81884058,3.549971429,0.022566119,0.033898305,0.959587732,0.226091303,0.182481752,1,1,0.01754386,0.06401138,0.01668552,0.018008265,28.19655222,3.56615471,35.38028378,0.586995416,0.444143767,0.145343695
SPVC,112,0.811594203,3.500149718,0.022322765,0.06779661,0.979889327,0.281637103,0.189781022,1,1,0.01754386,0.007586534,0.01668552,0.016619401,29.5940861,3.536925667,34.36111911,0.56693421,0.431349759,0.177518797
SPCV,111,0.804347826,3.338610245,0.021068561,0.084745763,0.96869622,0.220941417,0.197080292,1,1,0.01754386,0.059269796,0.01668552,0.017180255,29.01983368,3.653933538,38.62630566,0.602201951,0.484892462,0.133270361
CmV,110,0.797101449,4.968238319,0.036074894,0.101694915,0.957191576,0.207697201,0.204379562,1,1,0.01754386,0.103840683,0.01668552,0.01880413,26.40683774,3.584894855,36.04956708,0.478923169,0.452545565,0.266865839
SPLCV,109,0.789855072,3.465374806,0.022618117,0.118644068,0.941871267,0.201255939,0.211678832,1,1,0.01754386,0.06116643,0.01668552,0.018054952,27.1392444,3.61660415,37.2109901,0.554785316,0.467125403,0.165744347
SPPV,109,0.789855072,3.469974445,0.022660316,0.152542373,0.940437956,0.16633292,0.211678832,1,1,0.01754386,0.022285443,0.01668552,0.016334372,29.61664014,3.914090474,50.10348034,0.632985475,0.628970322,0.105524526
SPSMV-1,109,0.789855072,3.389533169,0.021922323,0.13559322,0.899882851,0.141517888,0.211678832,1,1,0.01754386,0.004267425,0.01668552,0.016874804,29.19422035,3.981584329,53.60189,0.675947465,0.672887348,0.087015225
SPMV,106,0.768115942,3.257456919,0.021296763,0.169491525,0.972173525,0.233524385,0.233576642,1,1,0.01754386,0.005215742,0.01668552,0.015871254,28.90955184,3.673214895,39.37829969,0.57560229,0.494332563,0.16198832
