Virus,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,species.specificity.index,resource.range,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.similarity,proportional.generality,
SPVE,106,0.768115942,3.760023268,0.026037955,0.186440678,0.966907454,0.226706675,0.233576642,1,1,0.01754386,0,0.01668552,0.016168153,29.2417384,3.64148566,38.14847031,0.530221631,0.478893991,0.187557999
BSV,99,0.717391304,4.312810114,0.033462728,0.220338983,0.961645039,0.21447361,0.284671533,1,1,0.01754386,0.019440493,0.01668552,0.017941219,24.6039743,3.579161643,35.84347861,0.46616947,0.449958449,0.282911322
CMV,99,0.717391304,4.805062783,0.038434978,0.203389831,0.944857647,0.222140031,0.284671533,1,1,0.01754386,0.176386913,0.01668552,0.019381155,22.51855335,3.388025367,29.60743071,0.427480724,0.371674684,0.296643739
IYVV,99,0.717391304,3.354263878,0.023780443,0.237288136,0.96193952,0.260571703,0.284671533,1,1,0.01754386,0.002370792,0.01668552,0.0169504,25.45919457,3.280271975,26.58300164,0.438900331,0.333707738,0.255951428
SPV2,99,0.717391304,3.000205199,0.020204093,0.254237288,0.957556096,0.224511971,0.284671533,1,1,0.01754386,0.002370792,0.01668552,0.01629089,26.33391076,3.547052615,34.7108603,0.555956276,0.435740209,0.168288114
SPGVaV,96,0.695652174,2.741572017,0.018141375,0.271186441,0.968248175,0.219162846,0.306569343,1,1,0.01754386,0.013750593,0.01668552,0.016400729,26.52592758,3.653943472,38.62668938,0.563739545,0.484897279,0.15970343
SPCFV,95,0.688405797,2.631536136,0.017174065,0.288135593,0.978132105,0.275520352,0.313868613,1,1,0.01754386,0.000474158,0.01668552,0.015811713,26.03094609,3.419148128,30.54338489,0.528590769,0.383424116,0.187053334
SPC6V,94,0.68115942,2.378075634,0.014660379,0.305084746,0.917131816,0.155730904,0.321167883,1,1,0.01754386,0,0.01668552,0.012903251,30.59634474,3.917664172,50.28285542,0.570832527,0.631222094,0.151399743
SPYMV,91,0.65942029,2.995928144,0.021933276,0.322033898,0.932205264,0.164225128,0.343065693,1,1,0.01754386,0.019440493,0.01668552,0.013475697,28.26185223,3.838280848,46.44555878,0.552719755,0.583050876,0.158720709
BCMV,90,0.652173913,6.194547123,0.05771719,0.338983051,0.967787484,0.271606059,0.350364964,1,1,0.01754386,0.198198198,0.01668552,0.020119473,20.43512157,3.114759078,22.52800221,0.319290418,0.282803604,0.496891626
SPBgV,87,0.630434783,1.95496447,0.010976603,0.389830508,0.951161248,0.182748821,0.372262774,1,1,0.01754386,0,0.01668552,0.010445309,33.2019723,3.74159304,42.16510741,0.439179254,0.529316547,0.240499802
SPMMV,87,0.630434783,3.304295646,0.026486157,0.355932203,0.983237141,0.361185262,0.372262774,1,1,0.01754386,0.093409199,0.01668552,0.018175286,21.94737211,2.889496366,17.98424984,0.338481226,0.225763946,0.384993569
ToBlV1,87,0.630434783,2.742504929,0.020028792,0.372881356,0.959428224,0.238448901,0.372262774,1,1,0.01754386,0,0.01668552,0.014689435,24.99378843,3.381343499,29.41025725,0.480345335,0.369199482,0.22072202
MeLCV,85,0.615942029,2.419452227,0.016699438,0.406779661,0.950712548,0.238874963,0.386861314,1,1,0.01754386,0,0.01668552,0.014582703,23.89506649,3.373059797,29.1676377,0.454318564,0.366153775,0.251590225
YMV,81,0.586956522,3.149492124,0.02653694,0.423728814,0.948296837,0.19575595,0.416058394,1,1,0.01754386,0,0.01668552,0.009614605,31.16687624,3.632883167,37.82170587,0.326477399,0.474791978,0.316352822
SPVY,76,0.550724638,1.800593508,0.010534125,0.440677966,0.956576791,0.207286864,0.452554745,1,1,0.01754386,0,0.01668552,0.013361037,21.91394511,3.537985337,34.39754988,0.509630128,0.43180709,0.179889114
PVY,75,0.543478261,2.114514554,0.014860194,0.457627119,0.988853817,0.405608545,0.459854015,1,1,0.01754386,0.010431484,0.01668552,0.014318352,20.76761324,2.874805016,17.72196829,0.362677483,0.222471414,0.318447824
BgV,73,0.528985507,2.341700934,0.018379465,0.474576271,0.989476886,0.43776735,0.474452555,1,1,0.01754386,0,0.01668552,0.012943866,21.99112216,2.621427028,13.75533885,0.275651856,0.172676625,0.468198272
FBV-1,72,0.52173913,1.819158862,0.011377206,0.491525424,0.965188097,0.267718122,0.481751825,1,1,0.01754386,0,0.01668552,0.010670805,24.1991703,3.245541914,25.67562028,0.358353504,0.322316994,0.272346167
DBV,59,0.427536232,2.223822738,0.020742758,0.508474576,0.957420925,0.228457125,0.576642336,1,1,0.01754386,0,0.01668552,0.008808626,20.98847158,3.35210319,28.5627434,0.282204503,0.35856028,0.315929882
CSSV,58,0.420289855,2.285002166,0.02215521,0.525423729,0.983217918,0.347835424,0.583941606,1,1,0.01754386,0.010431484,0.01668552,0.010597616,18.93857567,2.864655773,17.54301338,0.212938956,0.220224917,0.480719304
BYMV,57,0.413043478,2.516732896,0.026609349,0.542372881,0.990915072,0.489449155,0.591240876,1,1,0.01754386,0.003319109,0.01668552,0.017300695,12.9409354,2.168672791,8.746667675,0.222405813,0.109800644,0.509342856
CoSMV,56,0.405797101,1.785894254,0.014033826,0.576271186,0.98750365,0.387151239,0.598540146,1,1,0.01754386,0,0.01668552,0.009248613,19.10780909,2.846607689,17.22923567,0.29443253,0.216285931,0.369132458
LMV,56,0.405797101,2.160398745,0.020721406,0.559322034,0.97586182,0.319297009,0.598540146,1,1,0.01754386,0,0.01668552,0.010882887,17.1002399,2.889330255,17.98126271,0.232282087,0.225726447,0.461637701
SCBV,54,0.391304348,1.905498412,0.016768489,0.593220339,0.993604223,0.553244143,0.613138686,1,1,0.01754386,0.000474158,0.01668552,0.013860954,14.5920345,2.062622346,7.86657166,0.206730256,0.098752424,0.570619097
CatMV,51,0.369565217,1.676708866,0.013268801,0.610169492,0.943367732,0.218809672,0.635036496,1,1,0.01754386,0,0.01668552,0.007647189,19.21064033,3.312260029,27.44708664,0.224680509,0.344554965,0.386188231
GLRaV-1,50,0.362318841,1.293598963,0.005871979,0.627118644,0.983647372,0.377920133,0.642335766,1,1,0.01754386,0,0.01668552,0.010426915,14.81677273,2.561555776,12.95595822,0.250647626,0.16264166,0.413138052
PtV,50,0.362318841,1.346264727,0.006925295,0.644067797,0.974082302,0.314143262,0.642335766,1,1,0.01754386,0,0.01668552,0.008702565,16.76738393,2.874205544,17.71134765,0.268203038,0.222338088,0.37141288
SPLV,46,0.333333333,0.959892937,-0.000871893,0.661016949,0.947153285,0.20243911,0.671532847,1,1,0.01754386,0,0.01668552,0.006514044,18.3874552,3.374469185,29.20877521,0.332227872,0.366670192,0.245584705
CsVC,45,0.326086957,1.239235635,0.005316347,0.677966102,0.982182884,0.35077515,0.678832117,1,1,0.01754386,0,0.01668552,0.010840734,12.58435403,2.699811479,14.87692685,0.277722148,0.186756397,0.372849263
CaYMV,44,0.31884058,1.668736785,0.015198563,0.694915254,0.984449381,0.364957678,0.686131387,1,1,0.01754386,0,0.01668552,0.009621108,13.15250626,2.717360133,15.14030106,0.27165265,0.190062646,0.381959818
CLNV,44,0.31884058,1.54304073,0.012341835,0.711864407,0.982224131,0.341854769,0.686131387,1,1,0.01754386,0,0.01668552,0.008413154,14.38558252,2.80300039,16.49406122,0.200945079,0.207056974,0.444831059
WMV,43,0.311594203,1.451484499,0.01049964,0.728813559,0.955663693,0.259808758,0.693430657,1,1,0.01754386,0,0.01668552,0.005919922,17.27002633,3.057286127,21.26975535,0.22828965,0.267008295,0.34111319
NoMV,42,0.304347826,1.28970392,0.006897712,0.745762712,0.941605839,0.231296222,0.700729927,1,1,0.01754386,0,0.01668552,0.00520627,18.39711356,3.197435009,24.46968511,0.224975499,0.307178376,0.36688939
CHPV,41,0.297101449,1.24138637,0.005887472,0.762711864,0.988048448,0.401339758,0.708029197,1,1,0.01754386,0,0.01668552,0.007630624,14.21789163,2.639401987,14.00482604,0.183274359,0.175808544,0.467392016
SCMV,40,0.289855072,0.930185562,-0.001745361,0.779661017,0.95296026,0.238018229,0.715328467,1,1,0.01754386,0,0.01668552,0.004643215,19.30395832,3.158404879,23.53302795,0.22498535,0.29542012,0.327302729
SPVF,34,0.246376812,1.507989035,0.014940854,0.796610169,0.970650852,0.295770639,0.759124088,1,1,0.01754386,0,0.01668552,0.007456699,10.79536489,2.802353235,16.48339046,0.144847035,0.206923019,0.466583505
LPV,33,0.239130435,0.888497408,-0.003378866,0.813559322,0.948343627,0.234740354,0.766423358,1,1,0.01754386,0,0.01668552,0.00378186,16.55025914,3.094613038,22.07869327,0.197435311,0.277163238,0.361935915
PVA,32,0.231884058,0.718292403,-0.008803362,0.830508475,0.96125772,0.228087977,0.773722628,1,1,0.01754386,0,0.01668552,0.003028957,19.30110187,3.149325585,23.3203317,0.186865891,0.292750054,0.307944247
ToLCPaV,31,0.224637681,1.236227381,0.007620238,0.847457627,0.991607317,0.605831697,0.781021898,1,1.033898305,0.00877193,0.018018018,0.016402715,0.018590462,5.978351579,1.405482955,4.077495513,0.168318308,0.051186537,0.60879626
TuMV,30,0.217391304,1.58749686,0.019583229,0.86440678,0.978362878,0.344031474,0.788321168,1,1,0.01754386,0,0.01668552,0.003915055,13.50612647,2.643971816,14.06897216,0.092627471,0.176613798,0.556513413
PRSV,29,0.210144928,1.141865712,0.004891921,0.881355932,0.998737257,0.851936768,0.795620438,1,1,0.01754386,0.000474158,0.01668552,0.00982911,8.149319928,0.892423737,2.441038923,0.089028888,0.030643401,0.734155749
CeMV,26,0.188405797,0.886940305,-0.00434845,0.898305085,0.979927007,0.311611462,0.817518248,1,1,0.01754386,0,0.01668552,0.0027607,14.10544877,2.790776464,16.29366634,0.108086154,0.204541331,0.451207363
CarVY,20,0.144927536,0.430015699,-0.028499215,0.93220339,0.967883212,0.303370317,0.861313869,1,1,0.01754386,0,0.01668552,0.003223145,8.492774009,2.595056508,13.39734439,0.117858462,0.168182569,0.413536402
PenMV,20,0.144927536,0.541605044,-0.022919748,0.915254237,0.991810575,0.491356679,0.861313869,1,1.016949153,0.00877193,0,0.016544118,0.003236491,8.131823658,2.106314607,8.217899218,0.110843077,0.103162788,0.386123234
ZTMV,17,0.123188406,1.392904254,0.023112015,0.949152542,0.985718819,0.384452734,0.883211679,1,1.016949153,0.00877193,0,0.016544118,0.002513454,7.275332441,2.332949785,10.30830401,0.029833846,0.129404529,0.602249805
HarMV,14,0.101449275,0.38971434,-0.043591833,0.983050847,0.974191867,0.385383141,0.905109489,1,1.033898305,0.00877193,0,0.016402715,0.00468094,4.017639825,2.11267288,8.270317334,0.208098462,0.103820815,0.377777867
MWMV,14,0.101449275,0.941705287,-0.004163908,0.966101695,0.987783327,0.490102744,0.905109489,1,1.016949153,0.00877193,0.009483167,0.016544118,0.008141222,3.188989092,1.677817073,5.35385613,0.07725897,0.067209236,0.64339205
PeMoV,12,0.086956522,0.618198848,-0.031816763,1,0.989224887,0.459345812,0.919708029,1,1.016949153,0.00877193,0,0.016544118,0.002005465,4.890192028,1.933677808,6.91489519,0.030326154,0.086805624,0.552124438
