"MO-AS003" "MO-CS019" "MO-CS025" "MO-CS085" "ZW-S001" "ZW-S002" "ZW-S006" "ZW-S007" "ZW-S008" "ZW-S009" "ZW-S010" "ZW-S011" "ZW-S012" "ZW-S025" "ZW-S026" "ZW-S027" "ZW-S028" "ZW-S029" "ZW-S030" "ZW-S031" "ZW-S032" "ZW-S033" "ZW-S034" "ZW-S035" "ZW-S036" "ZW-S037" "ZW-S038" "ZW-S039" "ZW-S040" "ZW-S041" "ZW-S042" "ZW-S043" "ZW-S044" "ZW-S045" "ZW-S046" "ZW-S047" "ZW-S048" "ZW-S049" "ZW-S050" "ZW-S051" "ZW-S052" "ZW-S053" "ZW-S054" "ZW-S055" "ZW-S056" "ZW-S057" "ZW-S058" "ZW-S059" "ZW-S060" "ZW-S061" "ZW-S062" "ZW-S063" "ZW-S064" "ZW-S065" "ZW-S066" "ZW-S067" "ZW-S068" "ZW-S069" "ZW-S070" "ZW-S071" "ZW-S072" "ZW-S073" "ZW-S074" "ZW-S075" "ZW-S076" "ZW-S077" "ZW-S078" "ZW-S079" "ZW-S080" "ZW-S081" "ZW-S082" "ZW-S083" "ZW-S084" "ZW-S085" "ZW-S086" "ZW-S087" "ZW-S089" "ZW-S090" "ZW-S091" "ZW-S092" "ZW-S093" "ZW-S094" "ZW-S095" "ZW-S096" "ZW-S097" "ZW-S098" "ZW-S099" "ZW-S100" "ZW-S101" "ZW-S102" "ZW-S103" "ZW-S104" "ZW-S105" "ZW-S106" "ZW-S107" "ZW-S108" "ZW-S109" "ZW-S110" "ZW-S111" "ZW-S112" "ZW-S113" "ZW-S114" "ZW-S115" "ZW-S116" "ZW-S117" "ZW-S118" "ZW-S119" "ZW-S120" "ZW-S121" "ZW-S122" "ZW-S123" "ZW-S124" "ZW-S125" "ZW-S126" "ZW-S127" "ZW-S128" "ZW-S129" "ZW-S130" "ZW-S131" "ZW-S132" "ZW-S133" "ZW-S134" "ZW-S135" "ZW-S136" "ZW-S137" "ZW-S138" "ZW-S139" "ZW-S140" "ZW-S141" "ZW-S142" "ZW-S143" "ZW-S144" "ZW-S145" "ZW-S146" "ZW-S147" "ZW-S148" "ZW-S149" "ZW-S150"
"OYDV" 0 0 0 0 10 30 0 1 2 1 11 10 9 4 3 12 2 2 1 1 18 2 3 0 1 0 1 0 0 3 2 0 1 1 5 8 1 3 9 5 1 2 2 24 2 1 18 1 2 2 1 1 17 4 1 10 2 0 0 1 0 0 1 0 1 1 2 1 0 1 1 0 1 1 2 1 1 1 5 17 2 14 0 2 2 1 2 0 7 4 1 10 2 0 4 4 6 1 2 0 1 2 2 1 0 1 0 1 0 0 0 2 4 0 1 2 1 0 0 2 1 0 7 1 1 7 11 2 4 6 0 1 0 0 0 0 1 4
"PapMV" 0 0 0 0 0 0 0 0 3 0 1 0 0 7 2 0 1 0 2 0 4 3 1 1 1 0 0 0 1 6 1 0 2 1 1 1 0 0 149 1 0 0 0 0 0 0 9 2 12 0 0 1 31 0 1 6 0 2 0 0 0 0 1 0 1 0 2 0 0 2 1 0 3 0 0 0 1 58 0 0 1 0 0 0 29 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 2 0 0 1 0 4 0 0 0 1 4 4 5 0 1 2 2 0 1 0 0 2 14 0 0 0 2 1 0 0 0 0 0 0 1 0 0 0
"PClSV" 0 0 0 0 3 6 1 0 2 0 4 2 0 10 4 17 2 1 1 2 3 0 0 0 0 1 1 0 0 0 0 0 4 1 1 5 4 0 0 1 1 0 0 5 0 0 3 0 1 4 1 0 46 2 1 3 2 3 1 0 1 3 0 5 1 1 3 1 0 1 1 1 1 6 2 1 0 3 0 1 0 4 1 1 0 0 4 0 0 22 0 30 1 0 8 0 5 72 2 1 2 2 0 0 0 1 3 7 1 0 0 0 0 2 0 0 1 0 0 0 0 0 16 0 1 1 0 0 1 3 0 0 6 1 0 0 1 2
"PeMoV" 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 2 1 3 0 1 0 0 1 1 0 0 0 0 1 3 0 0 1 0 1 1 0 1 0 0 1 0 1 0 4 0 0 0 1 1 0 0 1 0 0 5 0 0 0 0 0 0 1 0 2 3 1 0 0 1 0 3 0 1 2 0 0 1 0 0 7 0 8 3 0 1 0 0 0 0 0 0 0 0 3 1 0 3 1 0 0 1 0 0 2 1 1 0 0 0 1 1 0 4 0 0 0 0 1 0 0 2 0 0 3 0 0 2 0 0 1 0 0 0 1 1 0
"PenMV" 0 1 0 0 1 0 2 2 1 1 6 1 3 0 0 0 4 0 1 0 0 0 0 0 0 9 0 0 0 20 0 0 6 1 0 1 1 0 1 0 0 2 0 6 0 0 4 0 3 1 2 0 0 1 0 0 20 0 0 0 4 4 0 1 0 1 0 0 1 0 0 0 0 0 0 0 3 3 0 1 1 2 4 0 4 4 1 0 0 0 0 4 0 0 0 1 6 4 4 0 2 0 1 0 1 0 2 2 0 0 0 0 1 1 0 0 0 0 0 4 1 0 0 0 1 6 2 1 3 0 0 0 0 0 1 0 1 0
"PhlVB" 0 0 0 0 13 0 4 1 1 0 0 3 4 6 3 0 0 1 1 0 0 10 1 1 0 1 1 1 0 2 0 0 1 0 0 0 1 1 4 0 2 1 0 4 0 1 2 14 3 3 0 1 0 0 1 4 19 0 3 1 1 1 0 0 1 0 0 0 0 3 0 0 0 0 0 2 3 15 0 0 0 0 2 2 1 0 4 1 0 2 0 3 2 1 52 0 1 0 1 0 0 0 0 1 0 0 0 3 0 0 2 0 1 5 1 8 1 0 2 1 1 0 6 1 0 2 2 0 5 14 0 1 0 0 2 0 0 0
"PiCV-1" 1 0 1 0 0 0 1 1 3 2 1 4 2 4 1 10 1 1 0 0 17 2 2 1 0 1 1 0 0 0 2 0 1 1 0 1 2 6 5 2 1 1 3 8 0 0 4 0 2 1 3 0 0 4 1 2 22 1 0 0 1 0 0 5 0 0 5 1 1 1 2 0 3 1 1 1 1 9 2 1 0 2 1 1 1 1 2 1 6 1 1 4 0 0 10 2 3 0 4 1 1 0 0 3 0 0 1 1 0 0 0 1 0 2 1 1 1 3 2 0 1 0 6 1 3 21 0 2 1 2 0 0 0 0 1 0 0 0
"PkMV" 0 0 0 0 1 0 1 0 0 2 0 0 1 0 0 0 0 16 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 5 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 2 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 3 0 0 0 0 3 0 0 0 0 0 0 10 1 0 0 0 0 0 0 0 1 0 3 0 0 4 0 0 1 1 1 1 0 0 0 10 1 2 3 1 0 0 5 0 3 0 0 0 0 0 1
"PMNV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 5 1 0 0 0 0 2 2 0 0 0 0 0 8 0 0 1 0 0 0 0 0 0 0 1 0 0 0 3 1 0 0 0 0 0 0 3 0 6 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 2 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"PPV" 0 0 0 0 1 0 0 2 5 0 2 0 0 0 0 0 3 0 1 0 0 0 0 3 0 8 0 0 0 1 4 0 3 0 0 0 1 0 1 0 0 0 0 0 0 4 8 13 7 0 1 0 0 0 1 0 0 0 2 0 1 0 0 0 0 0 0 1 3 0 0 0 0 2 1 3 0 0 2 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 4 0 0 0 0 1 1 0 1 0 0 0 0 4 0 0 0 3 0 0 0 0 1 2 2 2 0 0 1 0 0 0 0 1 0 0 0
"PRSV" 0 1 0 0 1 0 1 1 5 0 1 6 2 0 5 1 7 2 8 0 1 0 0 4 0 1 0 0 0 3 2 0 1 1 0 0 4 0 2 0 62 1 1 3 0 0 2 1 0 3 4 0 0 25 0 24 0 0 2 0 0 0 1 3 2 0 1 1 0 9 2 0 3 0 0 1 2 10 1 0 0 2 1 0 0 10 2 0 0 11 0 1 0 0 1 1 4 0 0 1 2 1 2 2 0 0 1 0 1 1 1 4 1 1 1 0 2 1 1 0 0 0 1 0 4 1 0 1 1 1 1 0 1 0 1 1 0 2
"PSbMV" 0 3 1 0 1 0 0 0 0 0 2 0 0 0 0 0 0 6 0 0 0 0 0 1 0 3 1 0 2 2 0 0 6 0 0 0 5 0 1 0 0 1 0 0 3 1 1 0 1 6 1 0 0 2 0 0 0 0 0 0 1 0 0 0 1 0 4 1 1 0 0 0 0 1 0 0 0 0 4 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 2 1 0 2 2 1 0 0 1 1 0 0 1 4 0 1 0 0 0 0 0 6 6 0 0 0 0 0 0 0 0 3 3 0 5
"PtV" 0 2 0 1 3 2 0 0 0 0 8 0 0 0 1 6 0 3 15 0 1 0 0 3 1 2 1 1 0 0 2 0 0 3 0 0 0 2 0 0 0 1 1 1 0 0 0 0 2 1 1 0 3 0 0 8 0 7 0 1 0 0 1 1 2 0 2 2 0 3 0 0 1 0 0 3 12 24 0 4 1 2 0 0 0 4 2 0 4 0 0 0 1 1 7 0 0 2 0 0 3 3 1 2 0 0 0 0 0 1 0 7 2 0 0 3 2 1 2 0 0 0 2 0 1 3 0 0 1 0 0 2 1 0 0 1 0 0
"PVA" 0 2 0 1 8 0 0 5 0 0 0 13 0 6 0 10 0 2 4 0 1 0 1 1 1 1 0 0 1 0 1 0 6 0 6 5 0 3 0 29 0 1 0 2 0 1 2 0 1 2 1 0 8 0 9 0 10 3 11 0 3 0 0 0 9 0 7 0 1 0 1 0 2 0 0 1 1 0 0 118 1 0 4 0 0 2 2 1 0 1 7 1 0 2 6 1 0 1 0 2 2 1 0 6 1 0 2 1 0 0 2 4 0 0 0 3 0 1 0 2 0 0 0 0 1 0 0 1 2 0 0 1 0 1 14 0 0 0
"PVY" 0 0 6 1 12 2 4 0 1 1 2 2 1 5 3 6 8 1 3 0 3 4 1 1 1 4 1 2 1 1 1 0 3 3 1 8 1 1 3 5 2 4 6 5 1 0 3 0 4 7 6 0 16 1 12 19 10 2 1 1 0 2 3 4 1 0 4 1 1 1 0 1 8 3 0 3 1 3 1 1 2 5 1 2 0 13 4 0 18 8 2 1 1 0 33 5 9 6 1 1 1 3 2 1 0 0 2 1 0 0 4 1 1 1 0 0 2 1 2 0 0 1 2 0 2 17 2 1 1 4 5 2 2 0 2 1 0 2
"PYMAV" 0 0 0 0 0 0 0 0 0 1 2 3 5 0 0 0 0 2 7 0 0 0 0 0 2 2 0 0 0 0 1 0 0 1 1 0 1 0 0 0 1 1 0 1 1 2 4 0 1 2 0 0 0 0 1 0 0 0 2 0 0 0 0 0 2 0 9 0 1 1 1 0 4 2 0 0 0 0 0 0 1 10 1 2 2 0 3 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 3 1 0 0 0 0 0 0 0 4 3 0 0 0 2 0 1 1 2 0 0 4 1 0 23 0 27 0 0 0 0 0 0 1 0 13
"RuFDV" 0 0 0 0 0 0 0 0 0 10 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 6 0 2 0 0 11 0 0 0 0 3 0 0 0 0 2 0 2 0 0 2 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 6 0 0 0 0 6 0 3 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 6 0 0 0
"SCBV" 1 1 0 0 1 0 1 1 0 1 5 7 2 14 3 2 1 1 3 0 0 12 0 0 0 13 1 0 1 1 1 0 2 1 1 4 2 1 2 2 1 1 24 1 1 2 1 1 11 6 1 0 0 0 2 2 4 4 0 1 0 1 0 1 0 0 7 0 0 1 0 1 3 3 0 19 23 1 6 1 2 23 1 6 0 8 1 1 13 0 2 2 2 0 0 0 6 0 1 1 0 2 2 2 1 0 1 2 0 0 0 25 1 0 1 3 7 1 1 0 0 2 0 0 1 6 4 2 3 2 0 0 0 1 1 0 0 0
"SCMV" 2 0 0 0 4 0 2 0 0 0 4 0 0 0 3 0 3 3 0 0 0 0 0 0 1 0 0 0 0 2 1 0 8 1 0 0 0 0 0 0 1 0 2 19 0 2 1 0 0 5 2 0 0 1 26 0 0 0 0 0 0 1 0 1 2 0 7 1 1 1 0 0 1 7 0 0 48 2 4 13 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 2 3 0 0 1 0 0 1 0 0 3 2 1 0 0 1 0 7 0 2 0 0 1 1 2 0 0 1 0 0 0 0 4 1 1 0 0 0 0 0 5 0 0
"SPBgV" 1 0 1 0 52 112 1 3 0 1 22 2 4 2 6 16 2 1 0 0 8 1 0 2 0 1 1 1 1 1 1 1 2 2 1 7 1 1 1 1 8 3 59 4 2 1 1 1 3 1 19 1 68 1 1 2 4 7 1 0 0 0 0 2 0 1 1 0 1 0 0 0 19 4 1 2 3 6 0 0 1 9 1 14 2 2 3 1 10 6 2 4 3 0 6 1 2 1 11 0 0 5 1 1 2 0 3 4 0 1 4 5 1 0 2 1 1 0 1 3 1 5 0 1 0 1 1 2 3 2 0 0 0 2 4 0 1 5
"SPC6V" 1 0 1 3 4 3 1 4 1 2 1 2 6 20 7 1 5 1 1 0 3 3 3 2 0 0 4 3 1 3 10 0 1 3 1 10 4 3 7 1 2 1 1 14 0 1 1 1 1 0 0 1 15 0 3 2 2 2 0 2 0 2 2 1 1 0 11 0 1 0 1 3 6 4 0 2 4 2 4 4 0 11 3 7 1 4 1 0 17 2 0 1 0 0 20 2 2 1 1 0 2 2 1 3 3 0 2 2 0 0 0 5 4 0 1 1 1 0 2 0 1 3 1 1 1 6 1 2 2 7 0 1 0 0 6 1 0 4
"SPCFV" 1 0 0 0 6 30 1 3 1 1 9 9 2 26 12 6 7 1 3 1 4 5 31 1 0 1 2 4 1 1 5 1 1 4 7 14 1 1 3 3 2 1 3 21 1 1 1 2 1 1 1 0 48 2 7 7 2 8 1 1 1 4 2 1 2 0 9 2 1 4 0 0 2 2 1 1 3 2 3 1 0 1 3 2 1 7 1 0 16 2 2 2 1 2 8 1 4 9 2 0 0 8 12 5 2 0 2 2 0 1 1 1 5 1 2 1 1 0 1 1 1 2 1 0 2 10 2 1 1 1 0 1 0 0 3 1 1 2
"SPCSV" 1 0 0 1 2 66 5 3 1 1 1 3 3 12 3 4 2 2 4 1 2 1 3 1 1 1 1 3 1 2 3 0 1 1 0 8 2 1 4 2 2 4 9 5 2 1 2 3 1 3 1 1 50 6 4 8 6 3 1 1 0 2 2 1 2 2 9 0 1 2 0 0 1 2 2 3 3 1 4 1 0 3 1 5 1 5 1 0 31 5 1 5 5 2 4 6 3 8 8 1 5 1 1 1 0 1 1 2 0 1 0 0 0 1 0 0 2 0 0 1 1 5 2 1 8 6 1 1 5 1 0 0 1 3 5 1 0 2
"SPCV" 0 0 1 0 0 6 5 1 0 2 1 2 3 9 13 5 3 7 2 1 4 9 8 1 0 3 13 6 2 0 2 0 0 3 2 2 3 4 5 2 2 1 4 7 1 0 1 1 2 4 2 0 14 1 4 10 4 2 1 1 1 1 1 1 0 0 5 1 0 2 0 0 6 6 0 5 7 3 5 1 1 2 1 5 3 3 2 1 11 5 1 1 3 2 4 5 17 8 2 0 2 4 1 1 0 4 3 2 0 1 0 1 1 0 1 1 1 0 0 2 1 3 5 3 7 2 4 1 5 6 1 3 0 0 1 0 1 1
"SPFMV" 0 0 1 0 1 15 2 2 1 1 2 1 6 22 7 16 13 6 1 3 2 9 33 2 3 1 1 1 0 2 2 0 1 3 1 0 0 4 1 1 4 1 2 9 1 2 2 1 7 2 1 0 85 2 3 4 16 18 2 2 0 1 1 0 1 1 1 2 2 3 0 0 1 2 1 2 2 2 2 2 1 5 1 1 0 3 2 0 8 4 2 3 2 1 5 1 1 5 5 0 3 4 1 4 2 1 4 4 0 1 0 2 1 1 1 2 1 1 0 1 1 4 1 2 8 3 3 6 5 2 0 1 1 0 1 0 2 3
"SPGVaV" 1 0 1 0 2 7 2 2 1 1 7 2 3 20 9 2 3 7 1 2 18 7 6 0 1 1 2 1 1 6 4 0 0 4 0 1 1 2 3 1 2 1 1 20 2 1 4 6 6 1 6 0 75 4 13 36 3 2 0 0 1 1 1 0 2 0 0 0 2 1 0 1 1 1 1 2 8 5 2 5 1 3 1 7 1 2 1 2 91 10 2 1 1 1 2 3 5 1 9 3 3 3 1 1 1 1 3 1 0 0 1 3 2 1 0 0 1 1 0 0 1 5 2 1 4 2 1 0 3 4 0 2 1 0 5 1 1 5
"SPLCV" 0 0 0 0 3 17 1 1 0 1 3 1 2 11 10 6 3 5 1 1 1 4 4 0 1 1 1 3 1 1 5 0 2 5 1 4 0 2 5 8 4 2 2 4 1 1 1 3 9 1 6 2 73 1 4 27 12 4 0 0 2 2 1 1 2 0 1 0 1 2 0 1 1 1 1 4 3 7 7 7 0 11 1 8 3 6 9 0 7 2 1 4 1 1 2 3 2 0 1 1 1 3 2 0 0 1 2 4 0 0 2 1 1 1 2 0 1 0 1 4 1 5 1 1 6 1 2 1 1 6 1 2 0 0 1 1 1 2
"SPLV" 0 0 0 0 1 0 0 0 1 1 1 0 0 6 22 2 0 6 0 1 0 1 0 1 1 0 1 0 0 2 0 0 3 0 2 0 0 0 2 0 1 1 0 1 0 0 0 0 5 0 10 0 0 2 0 19 0 11 0 4 0 0 3 0 2 1 2 0 2 1 0 0 1 1 0 0 4 0 2 0 0 4 0 8 0 1 0 0 0 0 0 3 0 0 1 4 1 0 1 0 1 39 0 0 1 3 0 1 2 1 3 0 1 0 0 0 2 3 0 0 0 0 1 0 2 0 2 0 0 1 1 0 0 4 0 0 2 0
"SPMMV" 0 1 1 4 1 16 1 4 2 1 8 1 2 5 3 5 2 3 1 2 1 0 0 2 0 1 2 0 0 2 2 0 1 2 5 3 0 1 8 3 2 0 15 49 1 2 1 2 7 0 4 0 13 6 21 32 4 1 0 0 1 1 0 1 1 0 4 1 1 1 0 0 3 1 1 3 12 7 3 7 0 2 0 4 2 1 4 1 8 3 2 4 2 3 7 3 2 2 2 1 4 8 1 2 1 2 3 3 0 1 3 1 3 1 2 1 1 1 1 1 0 2 5 1 2 1 3 0 0 1 0 1 0 0 1 0 2 5
"SPMV" 1 0 3 1 1 30 4 6 0 1 4 3 1 5 4 12 3 3 1 1 1 2 3 1 1 1 2 2 0 4 5 0 3 13 4 2 2 1 12 3 2 6 1 4 1 1 3 1 6 1 3 0 2 0 10 10 3 3 0 0 1 1 2 1 1 2 2 0 1 3 0 0 1 6 5 4 8 2 3 9 0 5 2 1 7 13 7 1 7 2 1 2 1 0 3 2 2 3 2 0 1 1 1 1 0 0 3 4 0 1 2 1 1 0 2 1 0 2 0 0 1 11 2 2 6 4 4 0 2 1 0 2 1 0 2 0 0 4
"SPPV" 1 0 1 1 2 8 0 2 1 0 10 3 1 24 14 7 9 6 1 3 1 3 5 1 1 4 1 2 0 1 5 0 1 5 5 2 2 6 6 2 2 4 3 5 0 0 9 2 3 1 3 0 11 2 5 23 6 3 0 0 1 2 1 3 5 1 1 1 1 3 1 1 12 1 0 1 2 7 2 3 0 7 0 0 0 10 2 0 15 1 0 4 1 2 5 3 14 2 2 1 4 2 1 1 1 7 5 5 0 1 2 0 2 1 0 3 2 2 1 0 0 2 3 1 2 2 1 1 2 2 0 0 0 0 2 0 0 3
"SPSMV-1" 1 0 0 1 1 28 2 1 2 3 11 3 1 4 5 10 4 2 1 1 3 4 12 1 0 0 1 2 0 1 4 1 2 3 3 2 0 0 4 5 1 4 3 4 2 2 2 4 7 1 4 0 25 1 6 23 16 2 0 0 1 2 1 1 3 1 1 1 3 3 0 0 6 2 0 1 2 18 4 3 0 8 0 1 1 4 5 1 11 2 0 7 3 1 14 11 13 1 7 0 4 10 2 7 0 1 1 1 0 0 1 0 3 0 0 0 2 1 0 1 0 1 3 1 8 3 2 4 1 1 0 3 0 0 1 1 3 6
"SPV2" 0 0 0 1 0 92 1 0 0 4 2 1 3 2 2 12 2 7 1 1 23 3 1 1 2 1 0 1 1 8 5 1 1 3 4 1 1 2 1 3 5 3 2 3 0 1 2 2 3 1 1 0 37 5 3 6 2 2 1 0 0 2 2 1 1 1 1 0 0 2 1 0 7 2 0 5 12 5 6 8 1 11 0 3 1 6 5 1 6 1 0 2 2 1 4 6 16 1 4 4 4 4 1 3 1 0 1 1 1 1 1 0 3 0 0 0 1 1 1 1 0 0 5 2 5 12 6 4 1 6 0 2 1 1 5 0 1 1
"SPVC" 0 2 1 1 1 27 0 0 0 1 7 3 2 6 1 16 14 4 3 6 8 1 15 0 3 5 3 6 0 1 1 0 2 2 3 1 2 1 0 1 5 1 1 6 0 0 4 1 9 1 2 1 25 1 6 49 5 1 0 1 4 3 2 0 2 1 1 1 1 0 1 1 6 2 0 1 2 7 3 1 0 3 1 4 2 2 1 0 5 2 0 2 3 2 9 5 7 1 1 0 2 8 0 4 0 1 4 4 0 1 2 1 3 0 1 0 1 2 1 0 0 1 2 2 6 2 6 4 1 4 1 2 0 0 4 0 0 1
"SPVCV" 1 0 1 1 2 49 1 1 0 1 9 7 1 8 4 8 7 5 1 3 12 1 23 3 2 1 1 4 1 1 1 0 6 4 2 1 2 0 1 2 2 3 3 6 1 0 6 3 4 4 8 1 10 6 3 39 19 4 2 0 0 1 1 2 1 1 1 1 0 0 0 1 2 1 1 1 1 7 2 7 0 5 3 2 1 4 9 0 5 1 2 18 4 2 3 3 10 0 4 1 1 12 3 5 1 1 1 2 0 1 1 1 1 0 1 1 1 0 0 0 1 1 2 1 8 5 3 3 1 1 0 1 1 0 5 0 0 4
"SPVE" 0 0 1 0 1 17 1 2 1 1 2 1 1 11 2 5 6 6 2 2 8 1 4 0 1 3 1 5 0 1 6 1 1 6 5 2 2 1 2 1 3 3 8 4 1 0 2 3 6 1 5 1 10 5 19 37 5 2 1 0 0 1 1 5 2 1 1 1 0 0 0 0 6 2 1 1 1 13 6 4 1 20 3 1 3 3 8 2 16 11 0 2 1 0 10 2 6 1 4 0 0 1 3 1 0 1 1 1 0 1 3 1 2 2 1 1 1 3 0 0 0 5 19 2 10 2 3 3 0 3 0 0 2 1 6 0 0 1
"SPVF" 0 0 0 0 1 0 0 3 0 0 6 0 0 0 0 16 2 4 0 0 1 0 1 0 0 1 2 0 0 1 1 0 0 2 5 0 0 0 1 0 1 1 0 1 0 0 3 1 0 0 2 1 0 0 0 5 1 0 1 0 0 4 2 1 0 0 0 0 0 5 0 0 0 2 0 0 2 0 2 1 0 10 3 1 4 2 11 0 0 0 0 1 0 0 16 0 6 0 0 0 0 0 0 0 0 0 4 0 0 3 0 0 10 1 0 1 1 0 0 0 1 0 1 0 1 1 1 0 0 0 1 0 0 0 1 0 0 0
"SPVG" 0 1 1 1 5 98 6 0 1 1 14 9 3 45 2 6 3 2 3 1 5 1 17 0 0 0 3 2 0 2 1 0 2 2 5 2 1 5 2 1 2 6 2 3 0 1 16 5 8 1 2 1 5 3 6 6 21 5 2 0 0 0 1 2 2 0 1 0 1 2 0 0 2 0 0 2 1 3 4 7 1 8 2 1 1 1 5 1 3 6 1 2 3 2 6 7 13 1 6 0 1 2 1 3 1 1 1 1 0 1 2 1 5 2 0 2 4 2 0 0 1 2 2 0 3 18 4 2 0 4 0 0 0 0 4 0 0 1
"SPVY" 0 0 0 0 1 48 6 0 1 4 10 2 1 20 5 4 1 2 11 2 5 1 32 0 0 1 2 5 1 1 1 0 5 7 3 4 5 4 1 5 1 5 11 9 4 0 1 1 2 3 2 1 6 2 1 1 2 4 0 0 1 0 0 2 1 2 1 1 3 1 0 0 9 1 0 1 6 30 8 6 0 5 3 1 2 5 1 2 29 9 1 2 1 1 9 3 4 1 2 0 2 5 1 1 0 1 3 1 0 1 3 2 3 1 0 0 0 1 1 0 1 2 1 2 11 4 8 4 1 6 0 1 0 0 4 1 0 1
"SPYMV" 0 0 1 2 3 41 3 1 0 0 9 6 1 30 4 6 10 7 2 3 12 1 31 0 1 1 2 5 1 1 2 0 1 5 4 2 3 4 1 5 9 5 2 4 2 1 2 1 2 7 4 1 5 2 1 5 4 2 1 0 0 1 0 4 3 1 4 3 2 0 1 0 11 5 1 8 1 4 2 2 1 4 2 1 2 2 0 0 23 2 0 3 0 0 10 3 14 1 3 2 1 2 1 6 0 0 1 4 2 2 3 0 2 1 0 1 1 0 2 1 1 2 2 0 3 6 3 1 1 2 0 1 1 0 1 0 0 2
"ToBlV1" 0 0 0 0 5 11 1 0 1 1 0 1 4 7 2 7 1 1 2 2 20 1 3 3 1 1 3 4 0 1 1 0 11 9 6 1 1 2 1 5 1 1 9 6 1 0 1 1 4 3 4 0 9 1 3 14 11 2 0 0 0 2 0 1 2 2 2 1 1 0 0 0 12 3 0 4 2 2 5 3 1 13 2 2 6 2 3 0 7 9 2 1 1 1 9 6 9 2 13 1 1 10 4 4 1 0 5 1 0 0 1 5 4 0 0 2 0 0 0 1 1 1 3 0 1 16 3 2 2 12 1 0 1 0 4 1 1 9
"ToLCPaV" 0 0 0 1 1 18 0 0 1 0 1 2 0 14 1 1 0 0 1 4 1 0 1 0 0 2 0 0 1 0 12 0 1 0 0 2 0 0 2 0 0 0 0 0 0 0 5 0 0 1 0 1 0 0 3 2 0 1 1 0 0 5 0 12 2 0 1 0 1 0 0 0 7 0 4 6 2 3 0 0 0 6 1 0 0 2 8 0 0 2 0 0 0 0 1 3 0 1 3 1 1 1 0 1 38 0 3 0 0 0 3 7 4 2 1 2 0 0 0 0 1 1 1 0 0 1 2 1 1 88 0 1 1 1 1 0 0 8
"TuMV" 0 0 1 0 0 0 0 1 4 0 0 1 2 4 0 1 0 4 2 0 1 0 0 2 0 1 1 0 0 1 1 0 7 3 1 9 6 0 0 0 0 0 2 1 1 0 0 0 1 4 3 1 0 5 13 4 3 0 1 2 1 5 0 1 1 0 20 0 1 0 2 0 0 0 1 1 0 4 1 1 0 5 18 1 1 0 2 0 0 5 0 0 0 0 9 4 3 0 3 1 0 3 1 1 1 1 2 2 0 0 1 1 2 0 0 0 1 3 0 0 0 0 0 0 1 2 2 6 2 3 0 0 0 0 22 1 0 3
"UPV1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 15 1 0 0 0 0 0 1 0 0 0 0 0 3 0 0 5 0 0 1 0 0 0 0 2 0 1 0 1 1 0 0 0 0 0 0 2 0 4 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 4 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0
"WMV" 0 0 0 0 0 0 1 0 0 5 4 1 0 10 0 0 1 5 17 0 1 0 0 0 0 1 1 0 1 2 0 0 2 0 2 4 1 0 0 1 1 0 0 1 0 0 1 0 1 1 1 0 0 0 4 6 0 0 0 1 0 1 1 1 4 2 2 2 2 1 1 0 1 0 0 1 1 2 1 0 0 4 1 0 1 0 0 0 0 0 2 0 6 0 0 1 1 0 8 0 0 0 0 0 0 1 6 0 0 0 0 4 0 0 2 0 1 0 0 0 0 0 0 4 16 0 1 2 3 2 0 0 0 0 0 0 5 0
