"MO-AS003" "MO-CS019" "MO-CS025" "MO-CS085" "ZW-S001" "ZW-S002" "ZW-S006" "ZW-S007" "ZW-S008" "ZW-S009" "ZW-S010" "ZW-S011" "ZW-S012" "ZW-S025" "ZW-S026" "ZW-S027" "ZW-S028" "ZW-S029" "ZW-S030" "ZW-S031" "ZW-S032" "ZW-S033" "ZW-S034" "ZW-S035" "ZW-S036" "ZW-S037" "ZW-S038" "ZW-S039" "ZW-S040" "ZW-S041" "ZW-S042" "ZW-S043" "ZW-S044" "ZW-S045" "ZW-S046" "ZW-S047" "ZW-S048" "ZW-S049" "ZW-S050" "ZW-S051" "ZW-S052" "ZW-S053" "ZW-S054" "ZW-S055" "ZW-S056" "ZW-S057" "ZW-S058" "ZW-S059" "ZW-S060" "ZW-S061" "ZW-S062" "ZW-S063" "ZW-S064" "ZW-S065" "ZW-S066" "ZW-S067" "ZW-S068" "ZW-S069" "ZW-S070" "ZW-S071" "ZW-S072" "ZW-S073" "ZW-S074" "ZW-S075" "ZW-S076" "ZW-S077" "ZW-S078" "ZW-S079" "ZW-S080" "ZW-S081" "ZW-S082" "ZW-S083" "ZW-S084" "ZW-S085" "ZW-S086" "ZW-S087" "ZW-S089" "ZW-S090" "ZW-S091" "ZW-S092" "ZW-S093" "ZW-S094" "ZW-S095" "ZW-S096" "ZW-S097" "ZW-S098" "ZW-S099" "ZW-S100" "ZW-S101" "ZW-S102" "ZW-S103" "ZW-S104" "ZW-S105" "ZW-S106" "ZW-S107" "ZW-S108" "ZW-S109" "ZW-S110" "ZW-S111" "ZW-S112" "ZW-S113" "ZW-S114" "ZW-S115" "ZW-S116" "ZW-S117" "ZW-S118" "ZW-S119" "ZW-S120" "ZW-S121" "ZW-S122" "ZW-S123" "ZW-S124" "ZW-S125" "ZW-S126" "ZW-S127" "ZW-S128" "ZW-S129" "ZW-S130" "ZW-S131" "ZW-S132" "ZW-S133" "ZW-S134" "ZW-S135" "ZW-S136" "ZW-S137" "ZW-S138" "ZW-S139" "ZW-S140" "ZW-S141" "ZW-S142" "ZW-S143" "ZW-S144" "ZW-S145" "ZW-S146" "ZW-S147" "ZW-S148" "ZW-S149" "ZW-S150"
"CeMV" 0 1 0 0 0 0 3 0 0 0 0 26 4 2 0 8 0 1 1 0 0 0 0 0 0 7 0 0 0 3 1 0 4 2 1 1 3 10 0 0 0 0 3 0 0 0 0 0 0 0 3 0 0 2 1 1 0 0 1 1 0 0 0 1 1 5 2 0 1 0 10 0 2 0 0 1 0 3 1 0 4 8 0 0 1 0 0 0 0 0 0 1 0 0 0 2 1 0 1 0 1 0 15 1 0 0 0 0 0 0 1 3 1 1 0 0 2 0 0 5 0 0 4 0 0 2 0 7 3 1 0 0 0 0 4 0 1 5
"CHPV" 0 0 0 11 9 0 0 0 0 2 2 3 15 5 0 0 0 2 0 0 7 1 0 1 0 1 1 1 0 0 2 0 2 2 7 0 0 0 0 0 0 0 3 0 0 0 2 0 0 2 0 3 32 0 3 1 10 2 0 1 0 0 0 3 0 2 3 2 3 0 0 1 1 6 2 2 1 4 1 0 0 0 0 0 1 2 0 0 1 3 0 1 2 0 29 0 22 0 8 1 2 5 0 2 0 1 1 0 1 0 1 0 1 1 0 1 1 1 1 0 0 0 2 0 0 0 1 2 0 1 0 0 0 1 1 2 0 7
"CLNV" 0 1 0 0 4 0 274 1 1 0 4 9 1 3 3 2 1 5 1 0 1 1 12 2 0 1 0 7 0 2 2 0 0 0 10 1 1 0 0 1 2 2 1 4 5 1 2 0 3 2 1 1 47 1 0 3 6 5 2 0 1 2 0 2 3 1 1 0 3 1 0 0 1 4 1 1 2 5 2 0 1 1 2 4 1 1 1 1 35 1 1 29 1 0 12 0 16 25 3 2 0 4 1 2 1 0 1 1 0 0 0 0 4 1 0 1 1 0 0 0 1 0 8 2 1 2 1 15 0 1 0 1 7 1 3 0 0 2
"CmV" 0 1 0 0 2 17 7 1 1 1 1 9 5 12 10 33 7 1 4 1 22 5 18 6 0 1 1 1 1 1 2 0 2 1 0 1 2 2 1 4 1 1 5 6 2 0 2 3 3 1 1 3 11 1 3 19 52 9 1 0 1 2 0 2 1 0 6 1 4 1 0 0 2 3 1 1 1 3 1 6 1 2 1 0 1 6 1 0 22 5 1 4 2 0 2 0 15 3 1 3 1 3 4 3 1 3 4 1 1 0 1 1 2 2 1 1 1 0 1 1 1 1 6 2 2 8 6 8 1 1 1 1 0 0 1 2 1 2
"CMV" 0 1 0 1 1 11 2 2 0 1 2 3 3 14 2 19 4 1 2 4 13 1 21 2 1 1 1 1 1 3 2 0 2 1 2 2 1 8 1 4 2 0 5 18 0 1 6 3 4 5 1 4 48 1 35 3 6 3 0 1 0 1 0 2 0 0 1 1 1 0 1 0 1 2 0 5 3 4 5 2 0 3 6 1 1 3 5 3 57 9 0 4 3 0 4 1 3 4 14 3 1 3 0 1 0 1 2 2 0 0 26 1 1 1 0 0 1 0 1 2 2 3 3 1 1 1 0 3 2 1 0 0 0 2 2 1 1 3
"CoSMV" 0 0 0 0 1 0 0 0 1 2 1 0 0 4 8 8 0 2 1 0 0 3 0 2 0 0 2 0 0 5 1 0 13 0 5 0 0 1 6 0 2 0 0 2 0 0 0 1 2 1 89 7 0 1 2 6 0 11 0 6 0 0 0 0 0 2 1 0 4 0 0 0 0 2 0 0 4 0 2 0 1 1 0 5 0 5 0 0 0 0 1 0 0 0 6 1 0 0 3 0 0 63 0 0 3 1 0 0 1 1 1 0 0 1 0 0 1 1 1 2 1 0 0 0 0 1 1 0 5 10 1 0 0 2 1 0 2 0
"CSSV" 0 0 1 3 1 0 2 0 0 0 3 17 15 17 1 4 2 1 1 6 1 0 3 2 0 1 0 0 0 2 6 0 3 2 5 2 1 2 0 2 2 0 1 9 1 1 3 3 3 0 1 2 31 0 7 4 1 3 1 1 1 1 0 3 0 1 1 1 3 1 0 0 2 3 2 2 1 7 4 1 1 11 6 1 0 9 1 0 10 2 1 2 1 0 19 0 5 2 4 2 0 2 2 0 2 2 3 7 1 1 0 1 1 1 0 7 6 0 0 0 0 1 2 0 1 3 0 0 0 5 0 0 0 0 1 1 0 6
"CsVC" 0 0 0 0 1 126 4 3 1 7 0 4 1 4 7 2 1 1 2 0 0 0 2 2 0 3 0 2 2 2 4 0 1 3 4 1 2 2 1 2 2 1 7 31 2 0 2 2 0 2 2 0 93 10 59 3 3 1 0 0 1 0 1 1 1 1 3 0 0 0 0 1 1 1 1 4 1 4 2 1 0 0 5 2 0 7 4 0 9 3 0 11 1 0 7 1 10 0 2 2 2 1 1 0 0 2 2 1 0 1 0 1 5 2 0 0 2 0 0 0 0 63 3 1 0 6 0 2 1 1 0 0 1 0 0 1 1 2
"DBV" 0 1 0 1 1 3 3 0 0 3 2 2 1 3 10 8 1 1 3 1 1 1 1 3 0 1 0 0 1 3 3 0 10 4 1 7 0 7 2 10 8 0 1 2 0 1 2 3 3 3 0 0 5 2 13 8 8 1 0 1 1 1 1 1 4 1 1 0 4 0 0 0 2 14 1 7 0 3 4 1 1 3 1 6 2 17 1 0 0 1 1 2 2 1 12 4 8 1 1 0 0 1 1 0 0 2 2 2 1 1 1 0 0 1 1 0 3 1 0 2 1 0 10 1 1 22 0 2 1 2 0 1 0 0 1 0 1 2
"FBV-1" 0 0 1 0 0 13 2 1 0 5 2 3 5 6 5 6 3 2 3 0 7 1 1 1 1 1 1 3 0 3 3 0 5 6 1 3 2 7 1 1 13 1 1 5 1 3 2 1 1 3 1 1 12 2 3 8 7 3 0 2 1 1 2 16 1 0 6 0 4 0 1 3 0 2 0 1 3 5 3 1 2 1 0 0 2 6 1 1 5 0 2 5 3 0 4 6 4 0 1 2 0 3 1 2 3 5 7 1 0 1 0 4 2 1 1 2 5 0 0 0 0 18 2 0 2 4 1 5 1 1 0 0 0 1 1 0 1 6
