"MO-AS001" "MO-AS015" "MO-AS020" "MO-AS068" "MO-AS082" "MO-BS038" "MO-BS044" "MO-BS047" "MO-BS062" "MW-S001" "MW-S002" "MW-S003" "MW-S004" "MW-S008" "MW-S009" "MW-S010" "MW-S011" "MW-S012" "MW-S013" "MW-S014" "MW-S018" "MW-S019" "MW-S020" "MW-S021" "MW-S022" "MW-S023" "MW-S025" "MW-S027" "MW-S028" "MW-S029" "MW-S030" "MW-S031" "MW-S032" "MW-S033" "MW-S034" "MW-S037" "MW-S038" "MW-S039" "MW-S042" "MW-S044" "MW-S045" "MW-S046" "MW-S047" "MW-S048" "MW-S049" "MW-S050" "MW-S051" "MW-S052" "MW-S053" "MW-S054" "MW-S055" "MW-S056" "MW-S057" "MW-S058" "MW-S059" "MW-S060" "MW-S061" "MW-S062" "MW-S063" "MW-S064" "MW-S065" "MW-S066" "MW-S067" "MW-S068" "MW-S069" "MW-S071" "MW-S073" "MW-S074" "MW-S075" "MW-S076" "MW-S077" "MW-S078" "MW-S079" "MW-S080" "MW-S081" "MW-S082" "MW-S084" "MW-S085" "MW-S086" "MW-S087" "MW-S091" "MW-S093" "MW-S094" "MW-S095" "MW-S097" "MW-S098" "MW-S099" "MW-S100" "MW-S101" "MW-S102" "MW-S103" "MW-S104" "MW-S109" "MW-S115" "MW-S116" "MW-S117" "MW-S118" "MW-S119" "MW-S120" "MW-S121" "MW-S123" "MW-S124" "MW-S125" "MW-S126" "MW-S127" "MW-S128" "MW-S129" "TZ1" "TZ10" "TZ100" "TZ101" "TZ102" "TZ103" "TZ104" "TZ105" "TZ106" "TZ107" "TZ108" "TZ109" "TZ110" "TZ111" "TZ112" "TZ114" "TZ115" "TZ116" "TZ15" "TZ17" "TZ18" "TZ19" "TZ2" "TZ20" "TZ22" "TZ23" "TZ24" "TZ29" "TZ3" "TZ31" "TZ32" "TZ33" "TZ34" "TZ35" "TZ36" "TZ37" "TZ38" "TZ39" "TZ40" "TZ41" "TZ42" "TZ43" "TZ44" "TZ45" "TZ46" "TZ47" "TZ48" "TZ49" "TZ51" "TZ52" "TZ54" "TZ55" "TZ57" "TZ58" "TZ59" "TZ60" "TZ61" "TZ62" "TZ63" "TZ64" "TZ65" "TZ66" "TZ67" "TZ68" "TZ69" "TZ70" "TZ71" "TZ72" "TZ73" "TZ74" "TZ75" "TZ76" "TZ77" "TZ78" "TZ79" "TZ80" "TZ81" "TZ82" "TZ83" "TZ84" "TZ85" "TZ86" "TZ87" "TZ88" "TZ89" "TZ9" "TZ90" "TZ91" "TZ92" "TZ93" "TZ94" "TZ95" "TZ96" "TZ97" "TZ98" "TZ99" "ZW-S013" "ZW-S014" "ZW-S015" "ZW-S016" "ZW-S017" "ZW-S018" "ZW-S019" "ZW-S020" "ZW-S021" "ZW-S023" "ZW-S024"
"CeMV" 0 0 3 1 0 0 1 1 0 0 4 0 0 0 0 0 1 0 2 7 0 0 0 0 3 0 0 3 0 0 0 2 0 3 0 0 1 0 0 0 6 0 0 0 0 0 2 0 6 1 0 2 1 1 2 0 1 1 0 1 0 1 0 3 0 0 3 3 0 0 0 16 0 0 1 0 0 0 0 1 0 0 1 16 0 0 1 5 1 0 3 0 0 0 2 3 1 0 0 0 0 0 0 0 0 2 0 0 0 4 8 0 2 0 0 0 0 2 0 0 0 0 1 1 6 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 5 32 1 1 11 0 2 5 9 6 0 1 0 1 0 14 2 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 1 3 0 0 0 2 0 1 0 0 0 1 0 1 2 2 3 6 0 0 0 1 1 0 1 0 0 1 1 2 0 3 0 4 2 7 1 8 2 1 4
"CHPV" 22 4 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 6 2 0 0 3 1 3 1 1 0 0 0 0 0 0 0 7 0 1 5 0 0 0 5 4 1 1 6 0 0 0 3 1 2 0 1 8 1 0 0 0 0 1 0 23 1 0 1 0 20 0 0 1 7 0 1 0 0 0 1 0 0 0 1 0 0 1 2 0 1 12 0 4 0 0 0 1 0 0 0 0 1 0 2 3 0 0 0 0 0 3 1 0 1 0 0 0 0 0 0 1 0 3 10 2 0 0 0 8 0 0 0 0 1 0 0 0 1 0 5 0 2 1 25 1 5 0 3 0 0 3 3 3 1 8 0 0 0 0 0 8 0 0 5 2 1 1 0 9 0 2 1 0 1 2 0 0 0 0 0 4 0 1 0 2 0 0 2 0 1 0 0 0 2 0 0 1 0 1 1 9 7 2 0 2 0 0 5 0 0 6 15 14
"CLNV" 25 0 0 1 0 0 3 0 0 11 1 4 0 0 0 3 1 5 1 3 1 0 1 1 0 5 0 7 1 1 0 6 0 2 0 1 4 0 1 0 0 0 1 0 1 2 0 0 1 0 1 4 3 0 1 0 0 3 1 0 0 1 0 0 0 32 7 3 5 0 15 1 0 1 1 0 1 0 3 1 1 0 0 16 2 1 2 0 10 0 0 2 3 3 0 1 2 0 2 1 1 1 3 0 0 8 0 2 0 2 2 0 1 0 0 4 1 5 5 1 1 2 1 10 10 0 2 1 0 3 1 0 1 0 9 0 1 1 2 1 3 2 4 8 3 1 0 1 5 0 0 3 0 1 1 3 0 0 0 2 1 13 0 1 0 5 6 0 0 1 0 1 2 0 5 0 0 0 1 0 0 1 0 1 0 3 0 1 7 1 5 1 0 0 0 0 0 1 1 1 0 1 1 1 0 3 3 3 1 3 0 3 5 7
"CmV" 15 0 1 1 1 0 0 0 114 5 2 0 1 0 1 4 2 4 0 3 1 7 0 5 0 4 2 3 3 1 0 1 1 2 1 1 2 2 1 1 1 1 1 0 7 2 1 1 17 2 1 0 6 1 2 1 0 0 1 2 0 3 3 2 1 24 3 3 9 1 2 3 1 0 5 3 3 0 1 3 1 3 5 14 1 4 1 4 5 2 1 3 2 11 0 3 1 1 1 0 3 7 1 3 1 4 0 0 1 9 1 1 1 0 2 4 7 12 1 1 1 5 3 3 26 0 1 2 1 1 9 1 4 1 1 5 0 2 1 2 4 11 8 5 3 2 5 3 3 12 0 8 1 1 3 29 9 16 20 10 4 7 24 0 1 3 1 1 0 0 0 1 2 0 6 13 1 1 2 0 0 3 2 10 1 1 7 1 1 6 2 2 3 0 6 1 0 1 4 1 2 1 5 1 1 3 1 9 2 1 1 5 13 2
"CMV" 8 2 1 3 0 1 0 0 8 4 1 1 2 1 1 1 0 2 0 12 0 3 0 1 0 2 1 5 2 0 0 3 2 3 2 1 0 1 1 1 0 1 1 0 3 1 1 1 1 0 1 2 9 0 4 0 1 0 0 2 1 13 15 2 7 38 3 1 0 0 4 9 1 1 3 1 0 0 4 3 1 14 3 5 1 2 3 2 8 1 2 7 1 15 0 4 2 1 1 1 2 1 3 2 1 1 0 0 4 4 2 1 6 0 1 4 8 3 4 2 1 5 0 1 18 0 0 1 0 1 7 0 1 0 2 1 0 12 1 2 54 13 7 0 1 2 6 3 2 5 0 3 0 1 1 5 2 22 23 12 1 9 18 4 1 1 1 4 1 2 1 2 2 0 2 0 1 1 2 0 1 1 2 1 0 1 16 1 5 7 1 1 1 1 13 2 0 2 3 1 1 1 7 2 0 2 9 4 0 7 0 9 1 2
"CoSMV" 9 1 0 1 0 0 0 0 5 0 2 1 1 0 2 2 1 1 0 2 0 1 0 0 2 6 0 0 1 0 7 2 0 4 0 0 0 0 0 1 3 0 1 0 0 2 2 0 0 0 0 0 4 1 0 0 0 0 0 5 0 6 3 1 0 8 0 1 0 0 6 3 0 0 0 1 1 0 1 0 1 0 0 3 1 9 1 1 1 2 0 2 1 0 0 3 2 0 0 0 0 0 0 0 0 3 0 0 0 6 0 0 0 0 1 1 0 5 0 0 1 9 1 0 0 0 0 0 0 0 1 1 0 1 3 1 53 1 0 3 2 17 1 1 4 0 1 4 1 0 0 0 3 0 3 2 3 10 0 26 4 0 16 0 0 2 23 0 0 0 0 1 16 0 1 3 1 6 0 0 0 0 0 0 0 1 0 1 2 2 0 2 0 0 0 0 0 0 14 1 3 0 1 0 1 0 2 2 1 2 0 6 0 2
"CSSV" 41 5 0 1 0 1 1 0 0 0 2 1 0 0 1 1 1 1 1 2 0 6 2 0 0 3 1 1 2 2 1 1 0 0 0 0 1 3 1 0 1 0 0 1 2 3 0 1 2 1 0 2 8 0 1 0 1 2 1 3 0 4 6 1 0 3 1 3 1 2 3 1 0 3 0 0 2 1 2 7 2 0 0 3 0 0 3 1 6 2 1 6 1 1 1 11 1 3 1 0 0 0 5 2 2 2 0 1 1 2 3 1 1 2 1 0 6 3 1 0 1 9 0 1 3 1 0 0 0 2 0 1 0 0 1 1 0 4 1 1 1 6 4 1 4 2 1 2 1 3 1 1 4 1 1 6 127 7 18 7 0 2 0 1 2 1 2 1 1 0 0 1 1 0 9 6 2 1 4 0 4 0 0 3 1 2 1 1 17 2 1 6 0 1 1 0 0 1 2 3 1 0 3 25 4 2 2 3 2 5 1 5 6 2
"CsVC" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 17 3 2 0 0 4 13 0 1 0 1 0 0 0 5 16 2 0 1 0 0 2 17 14 0 1 1 1 2 7 4 1 1 0 18 2 2 9 0 0 2 0 1 4 0 0 0 6 4 0 1 1 3 1 5 2 14 1 1 2 1 7 6 3 7 2 8 1 3 6 21 0 1 1 3 0 1 9 1 3 2 0 1 0 1 1 1 1 3 3 3 2 0 1 1 1 5 0 2 2 0 9 4 1 1 0 4 11 0 0 0 0 4 3 1 3 1 3 0 2 1 3 6 0 3 4 1
"DBV" 21 1 2 6 0 1 1 0 5 17 1 0 1 0 1 3 6 3 3 31 1 1 0 1 2 2 1 10 2 3 0 3 1 1 0 4 1 2 1 1 1 1 1 1 3 1 6 4 2 1 1 1 3 0 2 1 0 2 0 0 0 3 15 1 0 9 3 5 2 2 4 0 2 1 2 3 2 0 2 0 0 0 1 1 1 5 36 1 2 0 1 1 0 7 3 8 2 2 1 1 1 1 0 1 0 4 0 0 1 11 2 0 1 1 3 19 4 11 1 0 0 0 1 0 15 1 1 2 0 1 5 0 1 1 4 1 1 2 5 1 1 3 12 1 2 3 7 1 5 8 1 4 3 6 4 17 5 3 15 4 1 7 16 1 3 0 1 1 0 2 0 1 2 1 3 4 2 1 0 1 1 1 0 7 0 2 0 0 1 1 0 1 2 10 1 1 0 2 3 1 3 9 9 2 1 3 1 2 1 0 1 2 5 2
"FBV-1" 2 1 2 2 0 0 0 0 2 6 0 0 2 0 0 1 0 0 0 0 2 1 0 3 0 1 3 1 2 0 0 5 1 1 0 0 1 0 0 0 1 0 0 1 7 7 1 1 4 2 0 2 2 1 0 1 0 0 1 1 1 5 7 4 2 12 6 4 4 0 4 2 1 0 6 1 7 1 1 3 1 7 0 7 1 4 5 2 1 3 1 1 9 43 0 19 1 0 0 3 0 15 1 4 1 1 0 0 1 13 3 1 5 0 1 1 3 2 1 1 1 2 2 0 3 1 2 3 0 0 6 1 1 1 3 2 5 0 1 1 2 5 3 1 4 1 3 1 2 5 1 12 4 1 2 33 11 5 46 2 4 5 11 1 1 1 3 3 2 0 1 1 1 3 2 8 1 1 1 0 1 4 0 7 1 0 20 0 5 1 1 1 3 7 6 0 0 2 2 2 7 1 7 1 1 9 4 2 0 1 1 7 1 2
