"MO-AS001" "MO-AS015" "MO-AS020" "MO-AS068" "MO-AS082" "MO-BS038" "MO-BS044" "MO-BS047" "MO-BS062" "MW-S001" "MW-S002" "MW-S003" "MW-S004" "MW-S008" "MW-S009" "MW-S010" "MW-S011" "MW-S012" "MW-S013" "MW-S014" "MW-S018" "MW-S019" "MW-S020" "MW-S021" "MW-S022" "MW-S023" "MW-S025" "MW-S027" "MW-S028" "MW-S029" "MW-S030" "MW-S031" "MW-S032" "MW-S033" "MW-S034" "MW-S037" "MW-S038" "MW-S039" "MW-S042" "MW-S044" "MW-S045" "MW-S046" "MW-S047" "MW-S048" "MW-S049" "MW-S050" "MW-S051" "MW-S052" "MW-S053" "MW-S054" "MW-S055" "MW-S056" "MW-S057" "MW-S058" "MW-S059" "MW-S060" "MW-S061" "MW-S062" "MW-S063" "MW-S064" "MW-S065" "MW-S066" "MW-S067" "MW-S068" "MW-S069" "MW-S071" "MW-S073" "MW-S074" "MW-S075" "MW-S076" "MW-S077" "MW-S078" "MW-S079" "MW-S080" "MW-S081" "MW-S082" "MW-S084" "MW-S085" "MW-S086" "MW-S087" "MW-S091" "MW-S093" "MW-S094" "MW-S095" "MW-S097" "MW-S098" "MW-S099" "MW-S100" "MW-S101" "MW-S102" "MW-S103" "MW-S104" "MW-S109" "MW-S115" "MW-S116" "MW-S117" "MW-S118" "MW-S119" "MW-S120" "MW-S121" "MW-S123" "MW-S124" "MW-S125" "MW-S126" "MW-S127" "MW-S128" "MW-S129" "TZ1" "TZ10" "TZ100" "TZ101" "TZ102" "TZ103" "TZ104" "TZ105" "TZ106" "TZ107" "TZ108" "TZ109" "TZ110" "TZ111" "TZ112" "TZ114" "TZ115" "TZ116" "TZ15" "TZ17" "TZ18" "TZ19" "TZ2" "TZ20" "TZ22" "TZ23" "TZ24" "TZ29" "TZ3" "TZ31" "TZ32" "TZ33" "TZ34" "TZ35" "TZ36" "TZ37" "TZ38" "TZ39" "TZ40" "TZ41" "TZ42" "TZ43" "TZ44" "TZ45" "TZ46" "TZ47" "TZ48" "TZ49" "TZ51" "TZ52" "TZ54" "TZ55" "TZ57" "TZ58" "TZ59" "TZ60" "TZ61" "TZ62" "TZ63" "TZ64" "TZ65" "TZ66" "TZ67" "TZ68" "TZ69" "TZ70" "TZ71" "TZ72" "TZ73" "TZ74" "TZ75" "TZ76" "TZ77" "TZ78" "TZ79" "TZ80" "TZ81" "TZ82" "TZ83" "TZ84" "TZ85" "TZ86" "TZ87" "TZ88" "TZ89" "TZ9" "TZ90" "TZ91" "TZ92" "TZ93" "TZ94" "TZ95" "TZ96" "TZ97" "TZ98" "TZ99" "ZW-S013" "ZW-S014" "ZW-S015" "ZW-S016" "ZW-S017" "ZW-S018" "ZW-S019" "ZW-S020" "ZW-S021" "ZW-S023" "ZW-S024"
"FreMV" 0 0 0 0 0 2 1 0 0 0 1 0 0 0 1 0 1 2 0 0 0 0 1 3 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 6 0 0 0 1 0 1 0 2 0 0 0 0 0 0 0 0 5 1 0 7 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 4 1 0 0 0 0 0 0 2 0 0 0 3 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 5 1 0 3 0
"GLRaV-1" 21 1 0 3 0 2 1 0 0 15 0 0 0 1 2 1 0 0 0 40 1 1 0 0 0 1 1 1 0 0 1 1 1 0 0 0 3 1 0 0 1 0 0 0 1 10 0 0 9 0 0 1 5 0 4 0 2 0 1 6 0 57 39 2 0 12 53 0 1 0 20 0 2 0 0 0 0 0 2 0 0 0 1 5 0 1 1 0 1 1 0 3 2 0 4 0 1 0 0 0 0 0 0 5 1 1 0 0 0 1 2 0 2 0 0 26 2 0 0 0 1 3 1 0 2 0 0 1 0 0 0 0 0 0 0 1 1 2 0 1 1 2 12 5 11 0 6 0 1 2 0 8 2 21 2 5 0 3 19 0 1 0 0 1 0 3 1 0 2 1 0 2 0 0 2 1 0 2 0 0 1 0 0 3 6 2 0 0 0 1 3 1 116 0 5 4 0 1 4 0 14 8 3 1 0 0 1 1 0 0 1 2 0 2
"GLRaV-10" 0 0 0 1 0 0 0 0 0 0 1 1 1 3 0 0 0 7 0 0 1 0 2 1 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 2 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 1 0 0 0 4 3 0 1 0 0 0 1 1 3 1 0 0 0 0 0 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 4 2 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 2 0 11 2 0 0 4 5 2 0 3 2 7 4 2 0 0 0 0 0 0 0 0 0 1 1 3 2 0 0 1 0 4 1 1 0 8 0 0 1 0 1 0 0 0 0 0 1 5 0 0 0 2 1 1 0 0 0 1 0 4 0 2 0 0 0 6 4 1 3 1 1 0 0
"HarMV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 1 0 0 1 2 0 0 0 4 0 1 11 1 0 0 0 0 1 1 0 0 0 5 3 0 0 1 0 0 0 2 0 3 7 3 2 5 0 0 0 0 3 0 0 16 0 82 0 1 0 2 0 1 0 5 0 0 2 0 0 1 0 5 0 3 1 0 0 1 0 6 3 0 0 3 1 7 2 0 0 10 5 0 0 4 0 1 1 6 4 1 2 3 2 0 0 4 1 0 0 2
"HBV-GD1" 0 0 0 3 0 1 0 1 0 0 0 4 0 0 0 1 0 1 7 1 2 0 0 2 0 0 0 0 0 0 0 3 4 1 0 0 0 0 0 1 0 0 1 0 3 0 0 4 33 0 0 0 1 0 0 0 0 0 0 0 1 1 0 3 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 1 3 0 1 0 0 0 2 3 0 0 0 0 0 0 1 6 6 2 0 1 0 0 0 1 2 0 0 0 1 1 11 0 2 0 3 0 1 4 3 2 0 11 1 0 4 0 0 0 0 0 0 0 0 0 0 0 1 4 1 0 0 1 28 6 7 0 0 1 0 12 10 9 0 0 4 12 1 0 0 0 0 0 0 1 0 1 2 6 0 3 3 0 0 0 1 0 2 5 0 0 1 1 0 0 4 0 9 5 0 5 11 0 0 5 11 0 0 1 3 1 1 1 22 0 0 2 1 8 0 0 0 6 0 0
"IYVV" 24 0 1 2 1 1 2 1 308 4 0 0 1 1 4 1 1 1 0 1 1 11 0 2 0 1 5 4 1 3 1 0 0 1 1 1 1 3 0 1 0 0 0 0 1 3 5 3 4 3 0 3 1 0 2 1 2 2 1 8 1 2 9 0 3 14 15 1 2 1 14 1 0 1 2 1 1 2 1 1 2 9 2 27 0 7 22 1 2 1 1 2 1 22 10 6 1 2 0 1 0 1 1 15 1 0 0 1 0 7 5 1 2 1 9 5 3 2 0 1 1 10 1 4 7 0 0 2 0 0 2 0 1 0 4 1 2 8 0 0 4 9 3 2 6 0 3 1 2 1 2 1 2 6 6 7 4 7 227 1 1 14 71 6 6 1 3 3 0 0 0 1 1 1 1 19 1 4 1 0 2 1 1 7 3 1 3 2 3 5 2 0 1 9 1 0 0 1 7 1 4 15 13 1 2 2 6 3 0 2 3 4 3 3
"LMV" 0 0 1 7 2 2 0 0 0 9 1 0 1 2 0 0 1 1 0 0 0 2 0 0 2 1 0 0 0 3 0 9 1 12 0 0 0 3 1 1 0 0 1 1 5 11 7 3 8 0 1 1 1 0 1 0 0 0 0 1 0 1 17 5 0 7 9 0 63 0 2 2 2 7 1 0 0 3 0 1 0 0 0 16 0 0 0 8 1 0 1 2 2 2 1 0 4 2 0 2 1 0 0 12 0 1 0 0 0 1 6 2 1 0 3 1 4 1 1 0 1 0 0 4 16 0 0 0 0 1 11 0 0 0 0 0 0 3 1 2 3 1 1 1 4 0 1 13 0 4 2 5 4 14 8 4 1 6 76 54 0 7 1 1 4 0 0 0 0 0 1 0 2 0 1 11 0 1 4 3 1 1 0 11 0 0 1 0 0 2 8 0 1 1 2 0 0 1 1 1 4 11 2 0 2 1 6 5 0 6 1 2 1 2
"LPV" 0 1 0 0 2 2 0 3 0 7 0 0 0 0 0 1 0 4 0 1 0 1 1 2 0 2 0 12 0 5 1 4 0 0 0 0 0 3 3 1 0 1 0 0 0 14 8 0 0 0 0 5 13 0 12 0 0 0 0 0 0 1 10 1 0 15 0 2 0 0 3 10 0 2 1 1 1 2 0 0 0 6 2 2 1 0 0 0 1 0 0 0 1 12 2 25 0 0 0 0 0 0 2 17 0 0 0 0 4 0 0 1 2 0 1 0 0 2 0 0 1 0 0 0 14 0 0 0 0 0 0 0 0 1 4 0 0 1 0 0 2 2 1 0 0 12 13 2 0 2 0 0 0 6 2 104 0 5 0 0 0 26 0 1 7 0 1 4 0 0 1 1 0 1 0 3 1 2 0 1 3 0 1 2 0 0 1 0 10 1 0 0 0 0 0 0 0 1 0 1 0 2 3 1 0 1 0 0 0 1 3 1 5 0
"MeLCV" 9 0 1 1 1 0 2 2 3 1 1 0 0 6 2 2 0 1 3 1 0 10 1 1 2 0 5 3 1 1 1 3 0 0 1 0 1 3 1 2 4 0 0 1 16 2 2 1 12 0 1 0 2 0 3 1 1 1 1 1 1 5 12 9 2 3 2 1 1 2 2 5 1 0 5 0 1 0 1 1 2 37 5 2 0 2 2 3 8 1 2 2 1 26 10 3 1 1 1 1 0 1 1 1 1 1 0 0 0 3 1 1 1 1 7 4 1 5 1 0 2 23 1 0 6 1 0 1 3 1 1 1 0 1 3 1 1 2 0 1 2 6 2 2 8 2 8 4 2 5 2 15 0 2 1 7 0 24 0 9 5 9 0 6 3 2 1 2 0 1 2 1 1 0 1 5 6 1 5 1 0 3 0 1 0 2 3 2 6 4 1 0 1 2 1 1 0 2 9 1 2 12 6 2 0 2 18 1 1 0 0 21 2 2
"MWMV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 16 0 7 0 0 1 1 3 0 0 1 12 0 0 30 2 0 0 0 0 0 1 0 0 5 1 0 7 0 2 3 1 0 1 7 9 99 2 6 4 0 19 0 2 2 4 0 0 0 1 0 10 0 1 4 0 0 0 1 0 1 0 0 0 4 0 0 4 1 0 1 0 0 2 0 0 0 1 7 1 1 0 0 0 1 0 0 0 0 0 1 0 2 2 1 4 1 22 0 7 0 2 3 6
"NoMV" 9 0 0 0 0 0 0 1 0 2 1 0 1 0 0 3 2 0 1 2 2 0 0 0 0 0 0 0 0 2 0 2 0 0 4 0 1 10 5 1 5 0 0 1 2 0 2 11 0 1 0 1 3 0 2 2 0 1 0 2 2 4 0 0 0 0 0 1 1 0 5 3 0 2 1 0 4 1 0 0 0 12 0 5 0 0 1 0 1 1 0 0 0 8 0 0 1 2 0 1 0 0 0 3 0 1 0 1 0 5 2 0 0 0 3 0 1 2 0 1 0 8 1 1 35 0 0 1 0 0 0 0 0 1 0 0 1 2 2 0 0 4 25 4 3 0 1 3 90 5 6 8 1 3 7 2 2 0 0 4 0 13 0 5 1 1 3 10 0 0 0 3 1 1 1 0 0 0 1 1 1 2 1 0 1 0 2 2 5 4 3 0 0 3 0 1 1 0 11 0 2 7 8 1 1 0 0 0 5 0 0 1 2 0
"OYDV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 2 3 1 2 0 5 6 6 3 0 1 1 7 2 1 21 0 0 2 2 1 2 0 1 1 2 1 0 1 6 1 1 4 1 2 2 3 1 4 9 2 1 4 1 1 8 13 31 1 8 11 1 3 58 4 4 3 0 6 1 0 0 2 1 0 1 5 0 2 2 1 2 1 1 4 16 3 1 1 3 3 0 0 0 1 1 1 1 3 1 3 2 3 10 3 6 2 1 1 0 2 5 2 5 4
"PapMV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 6 2 6 1 11 0 0 0 1 0 1 0 1 0 2 0 8 0 0 0 0 0 1 7 0 0 1 1 1 0 0 6 0 10 2 4 29 1 4 1 0 0 0 0 0 0 3 0 0 0 0 7 1 0 0 1 0 4 0 10 3 0 2 5 0 0 1 2 1 1 1 3 0 0 3 2 10 0 1 1 0 0 0 0 0 0 1 0 1 0 0 4 20 0 0 0 1 1 1 1 0 1 0 2 2 1
"PClSV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 1 6 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 1 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 4 1 2 0 2 0 0 0 0 2 0 0 0 0 0 0 1 1 0 13 1 0 0 0 3 0 1 5 0 2 2 4 2 3 6 2 0 0 0 0 0 1 0 1 1 0 1 0 1 2 1 6 2 0 0 0 5 2 3 15 10 4 1 0 1 0 1 0 0 0 0 2 1 1 2 7 1 0 1 0 1 2 2 1 0 1 0 2 0 0 0 4 4 0 3 0 1 1 23 1 0 0 0 0 5 0 0 6 2 0 2 2 10 0 1 0 27 0 1 2 0 0 2 6
"PeAV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 5 2 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 3 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"PeMoV" 0 1 0 0 0 4 1 3 0 0 0 0 0 0 0 5 3 1 1 0 1 0 0 0 0 2 0 45 1 2 1 0 0 2 1 0 0 0 0 0 0 0 0 3 1 0 0 0 0 0 0 1 1 0 0 2 0 0 0 0 1 2 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 2 0 0 0 0 0 0 0 0 0 0 17 0 1 0 0 1 2 1 0 3 1 0 0 0 0 0 5 0 2 1 2 122 1 0 0 0 2 1 1 0 0 0 0 1 2 0 0 3 0 2 0 0 13 0 0 1 0 1 0 0 1 1 4 32 0 0 1 3 0 8 18 0 1 1 5 1 0 0 0 0 2 0 0 0 5 3 1 4 0 0 0 0 0 1 0 0 4 0 0 1 1 0 0 6 1 0 0 0 0 0 2 0 0 0 3 0 0 2 0 2 5 0 6 0 0 0 0 1 1 0 11 0 1 0 1
"PenMV" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 4 2 0 0 1 0 0 0 1 3 2 0 0 0 0 1 0 0 0 1 1 2 8 2 1 0 0 0 0 3 0 0 51 2 0 0 0 0 0 0 0 0 0 0 0 3 0 14 0 0 0 1 1 3 0 2 0 1 0 0 1 0 0 0 0 0 1 0 0 2 2 1 3 0 1 1 0 0 10 4 0 0 0 0 1 0 0 0 0 2 0 1 0 10 0 1 1 0 0 2 25 0 0 2 0 5 0 0 9 0 8 0 0 0 0 10 5 1 0 0 0 1 1 1 2 3 2 0 0 11 2 3 0 14 1 0 1 10 1 0 2 0 0 0 0 0 0 1 0 6 11 0 0 0 1 1 0 1 3 21 1 0 3 0 0 0 0 24 1 1 2 8 4 2 0 0 2 2 3 0 2 0 1 0 1 5 7 0 0 3 0 1 1 3 1 1 4 13
"PiCV-1" 0 0 0 0 0 4 1 2 0 0 0 0 1 1 1 0 0 2 0 0 1 0 0 0 0 2 0 0 0 1 0 0 0 1 0 0 0 3 4 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 4 0 0 0 3 1 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 4 0 0 0 0 3 0 1 0 13 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 12 0 3 0 1 0 1 0 7 0 0 0 0 8 0 3 2 3 2 0 0 1 0 1 0 1 0 44 0 0 0 8 0 4 14 13 0 0 0 11 0 1 0 1 0 2 2 0 0 1 1 0 2 2 8 1 5 1 2 0 0 3 1 8 5 0
"PkMV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 5 0 1 2 0 0 2 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 2 0 14 1 0 0 7 1 2 0 2 0 3 1 1 0 0 0 0 0 0 0 0 0 1 4 1 0 0 0 0 1 1 2 2 0 8 0 0 0 0 1 0 0 0 0 0 0 3 0 0 0 3 0 0 0 0 0 1 0 6 0 2 0 0 0 8 2 0 1 0 3 1 0
"PMNV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 3 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 8 0 0 0 0 0 0 2 10 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 0 0 3 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 5 0 0 0 0
"PPV" 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 2 0 0 0 0 0 0 0 4 0 6 0 0 0 1 0 4 4 0 3 0 2 0 2 0 4 0 2 0 0 0 0 2 0 1 4 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 9 1 1 0 1 0 6 0 0 0 0 0 0 3 0 0 0 0 0 1 9 0 0 0 13 7 0 0 0 0 5 8 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 5 0 9 1 0 7 0 1 0 0 0 1 0 10 1 0 2 0 0 4 0 0 0 0 0 1 1 4 0 0 0 1 0 1 0 2 0 5 1 5 0 0 0 0 0 0 0 0 16 0 0 0 1 0 0 0 0 1 1 0 7 0 3 0 2 1 1 1 0 9 0 1 1 0
"PRSV" 0 0 4 2 0 9 0 1 0 0 0 0 1 0 0 2 0 1 0 0 0 0 1 0 0 2 0 0 0 0 0 4 4 11 0 1 2 4 0 0 1 0 1 1 0 0 0 0 2 1 1 0 2 0 0 8 2 0 0 0 1 0 0 0 0 0 0 4 0 1 0 1 0 0 1 1 0 0 1 1 4 0 0 0 1 5 2 0 1 0 10 1 4 0 1 0 2 0 0 0 5 0 0 0 0 0 0 0 1 82 5 1 1 0 5 0 0 4 13 4 0 8 18 2 12 0 0 0 1 3 1 28 7 20 0 0 0 3 1 1 7 4 2 5 2 7 4 0 5 18 1 2 1 1 1 0 0 0 0 2 0 4 0 4 2 1 30 14 0 0 1 0 0 0 1 4 2 5 4 3 0 0 0 0 1 0 2 1 32 1 0 0 0 2 0 0 0 3 1 4 4 2 0 0 14 1 1 3 0 3 0 0 1 2
"PSbMV" 0 0 0 3 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 2 0 9 1 0 0 0 6 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 1 0 0 0 2 0 0 0 2 0 0 3 2 2 3 0 10 0 0 2 0 0 18 0 0 0 0 0 0 0 0 0 3 0 5 1 0 0 0 0 0 0 0 0 0 0 1 31 0 0 0 23 0 2 0 0 0 0 0 0 0 0 0 0 0 0 4 3 0 0 1 1 1 0 8 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 1 0 0 4 1 0 1 0 0 1 0 0 0 3 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 2 0 1 0 0 0 46 0 4 0 0 2 0 5 0
"PtV" 28 1 0 3 0 0 1 0 0 3 0 0 0 0 1 0 0 0 1 52 2 2 0 0 0 1 1 2 0 0 2 4 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 3 7 0 1 0 5 0 3 1 2 0 3 18 0 15 6 6 0 6 21 0 3 0 30 1 8 1 0 0 1 0 0 0 0 0 1 2 0 0 3 2 4 1 0 0 7 0 6 0 0 1 0 0 0 0 0 4 0 1 2 0 0 3 2 0 0 0 0 21 0 0 0 0 0 1 0 0 2 1 0 2 0 0 0 0 0 0 1 1 1 5 1 1 3 6 3 0 4 0 19 0 3 13 0 1 0 16 23 4 0 12 15 0 4 0 0 2 0 13 3 0 1 0 0 3 0 0 16 2 0 3 0 0 1 0 0 6 4 0 0 0 0 1 2 1 48 0 15 13 0 1 0 0 8 11 4 0 0 0 1 0 0 0 0 0 0 10
"PVA" 0 1 0 2 0 0 0 0 0 3 1 0 1 3 0 1 0 2 1 14 0 0 0 0 0 2 1 17 1 2 0 2 1 0 0 0 0 6 0 1 0 0 0 0 2 0 1 0 2 0 0 0 3 1 1 1 1 0 0 1 5 0 1 5 0 5 0 0 2 0 25 0 10 1 0 0 1 0 1 0 1 0 2 2 0 0 4 1 1 2 1 1 1 5 2 0 0 1 0 3 0 0 3 1 1 2 0 2 2 9 0 0 0 0 5 4 0 17 1 0 4 0 0 0 4 0 6 0 0 0 1 4 0 0 2 0 1 2 0 1 0 0 3 0 6 0 1 0 1 0 0 4 0 1 1 3 1 7 0 0 0 0 0 3 1 0 0 0 1 0 2 0 2 0 0 2 1 0 0 2 0 1 3 0 0 0 0 0 4 0 0 1 9 0 0 0 0 17 1 2 2 0 0 0 0 0 1 4 0 7 0 0 0 1
"PVY" 7 0 2 2 1 0 1 0 4 2 1 0 0 1 0 1 3 2 1 4 1 1 0 0 1 2 2 3 0 1 0 1 0 1 0 1 3 9 1 1 0 3 0 1 2 10 8 1 8 2 0 1 2 0 2 1 2 1 2 3 3 3 1 5 6 25 12 5 2 1 12 1 3 2 0 1 5 0 2 0 2 13 1 8 2 4 3 4 2 8 0 1 1 43 2 1 1 2 0 1 1 1 2 6 1 2 0 0 0 11 4 3 3 0 1 2 1 3 1 1 1 1 1 8 19 2 3 4 0 0 1 1 1 0 2 0 1 1 0 0 5 2 3 9 11 1 3 1 19 1 1 3 3 9 3 10 32 10 15 6 0 11 32 5 1 3 2 7 0 0 1 2 2 1 9 3 1 5 2 2 3 0 3 18 7 1 1 2 4 1 1 2 2 2 4 0 2 0 3 1 9 2 2 1 1 0 3 2 1 2 2 11 7 5
"PYMAV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 1 0 3 3 0 0 0 1 5 0 0 4 0 4 0 0 2 0 0 7 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 3 2 20 0 0 0 0 1 1 1 1 0 0 10 1 0 0 0 0 2 0 3 0 0 3 3 0 5 0 1 0 1 2 0 0 0 3 5 5
"RuFDV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 1 0 1 0 0 0 15 0 0 0 2 1 0 0 3 0 0 0 0 2 3 0 0 0 1 0 4 0 0 0 0 0 0 0 0 0 0 0 2 8 0 0 4 1 2 0 4 0 1 0 2 0 0 0 0 0 0 0 0 1 0 1 0 0 0 2 1 0 0 0 0 0 0 8 0 0 0 0 3 0 0 0 0 0 0 0
