ID,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,resource.range,species.specificity.index,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.generality,proportional.similarity,d
BE-S001,28,0.466666667,0.186214802,-0.029063757,0.598540146,0.894915254,0.542372881,0.226751743,0.00970036,1,0.008021981,0,0.00726829,0.004420088,10.36801457,2.973074801,19.5519456,0.43308781,0.508719145,0.131235088
BE-S003,29,0.483333333,0.153533666,-0.029188494,0.583941606,0.962962963,0.525423729,0.331814318,0.0244229,1,0.008021981,0,0.00726829,0.002827491,15.37640881,2.744606535,15.558491,0.344630296,0.490684508,0.198146898
BE-S004,26,0.433333333,0.135571556,-0.033247248,0.642335766,0.9,0.576271186,0.236407308,0.01006291,1,0.008021981,0,0.00726829,0.002146404,15.17662506,2.913136625,18.41446735,0.407891956,0.45092709,0.166338164
BE-S005,31,0.516666667,0.524184406,-0.01534889,0.496350365,0.924097273,0.491525424,0.221423292,0.06818197,1,0.008021981,0,0.00726829,0.003293459,13.13449311,3.083926016,21.84399413,0.483858117,0.504221343,0.223008707
BE-S006,19,0.316666667,0.188793952,-0.042695055,0.781021898,0.959183673,0.694915254,0.348366808,0.024325304,1.00729927,0.006002267,0,0.007241763,0.005617813,5.519762786,2.402281691,11.04835658,0.244728,0.401953901,0.236630416
BE-S007,37,0.616666667,0.580152352,-0.011347234,0.270072993,0.960314179,0.389830508,0.329778678,0.078438926,1,0.008021981,0,0.00726829,0.006808058,11.52807914,2.75379592,15.70212291,0.347811832,0.394940371,0.304508993
BE-S008,26,0.433333333,0.109659644,-0.03424386,0.649635036,0.847457627,0.576271186,0.193802276,0.00653441,1,0.008021981,0,0.00726829,0.001667066,21.83019799,3.087400452,21.92002169,0.485542174,0.474055385,0.137446609
BE-S009,36,0.6,0.257078273,-0.020636715,0.328467153,0.844279661,0.406779661,0.201062774,0.011133906,1,0.008021981,0,0.00726829,0.004548605,14.29909812,3.149641402,23.32769782,0.51672308,0.523766003,0.120317219
BE-S010,29,0.483333333,0.271500465,-0.025120674,0.576642336,0.838212635,0.525423729,0.182713954,0.01229759,1,0.008021981,0,0.00726829,0.003529345,12.41088152,3.17085044,23.82773981,0.527799323,0.502536021,0.146137929
BE-S011,27,0.45,0.140419278,-0.031836323,0.635036496,0.919876733,0.559322034,0.268254048,0.011378019,1,0.008021981,0,0.00726829,0.002062529,17.89917817,2.849069972,17.2717112,0.382579193,0.427702466,0.175335045
BE-S012,28,0.466666667,0.221185136,-0.027814817,0.605839416,0.946610169,0.542372881,0.272813445,0.020503594,1,0.008021981,0,0.00726829,0.002484798,14.85123175,2.89903243,18.15656911,0.402179349,0.441863355,0.223009204
BE-S014,17,0.283333333,0.170346866,-0.048803126,0.810218978,0.976518362,0.728813559,0.453790716,0.032718979,1.00729927,0.006002267,0,0.007241763,0.007639812,4.242705685,1.999330807,7.384113051,0.163562717,0.325372066,0.264908163
BE-S016,15,0.25,0.111753823,-0.059216412,0.868613139,0.987334699,0.762711864,0.585551771,0.034700336,1,0.008021981,0,0.00726829,0.005648594,4.062449066,1.627550829,5.091389753,0.112777464,0.293921316,0.305284188
BE-S017,24,0.4,0.859999819,-0.005833341,0.686131387,0.947533803,0.610169492,0.325434684,0.075453661,1,0.008021981,0.002643143,0.00726829,0.02073148,4.764807685,2.460803872,11.71422449,0.259477391,0.373972084,0.28360689
