ID,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,resource.range,species.specificity.index,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.generality,proportional.similarity,d
ET1,30,0.461538462,0.134641454,-0.028845285,0.680851064,0.965856481,0.546875,0.334378151,0.016837134,1,0.005347594,0,0.005291303,0.002146377,16.3613822,2.751495716,15.66604633,0.290880506,0.3847776,0.231876071
ET10,21,0.323076923,0.12803573,-0.041522108,0.824468085,0.970788043,0.6875,0.389590285,0.025839143,1,0.005347594,0,0.005291303,0.001464967,10.63219581,2.364466613,10.63836294,0.197528613,0.280616386,0.30707126
ET102,43,0.661538462,0.213384886,-0.018293375,0.228723404,0.787109375,0.34375,0.13630067,0.00677262,1,0.005347594,0,0.005291303,0.002689807,24.53902767,3.551868201,34.87841655,0.647607651,0.577212898,0.101801273
ET104,24,0.369230769,0.550043965,-0.018748168,0.781914894,0.994472789,0.640625,0.737428625,0.330798554,1,0.005347594,0.000382702,0.005291303,0.00404304,7.135538616,1.324791469,3.761400903,0.069840097,0.184458566,0.637368877
ET105,35,0.538461538,0.158771093,-0.024035112,0.563829787,0.892708333,0.46875,0.208463165,0.007799425,1,0.005347594,0,0.005291303,0.002869589,16.81280061,3.158485866,23.53493389,0.436986675,0.506025806,0.127875911
ET107,35,0.538461538,0.154624332,-0.024153591,0.579787234,0.96412037,0.46875,0.322098059,0.019726523,1,0.005347594,0,0.005291303,0.002144784,21.26685067,2.900893921,18.19039888,0.337751614,0.452497624,0.218289387
ET108,11,0.169230769,0.019262931,-0.089157915,1,0.9140625,0.84375,0.294174203,0.001699323,1,0.005347594,0,0.005291303,0.000355539,33.81517754,2.351673302,10.50312994,0.195017664,0.233192005,0.091905627
ET109,18,0.276923077,0.044236437,-0.053097976,0.893617021,0.957386364,0.734375,0.310077613,0.004205771,1.005319149,0.002673797,0,0.005277231,0.001194683,12.24852709,2.579628963,13.19224244,0.244947965,0.358049219,0.16391123
ET11,33,0.507692308,0.27072849,-0.022099137,0.617021277,0.888020833,0.5,0.218689563,0.023443124,1,0.005347594,0,0.005291303,0.001896593,17.47716192,3.090657804,21.99153934,0.408329579,0.478065441,0.203481474
ET110,14,0.215384615,0.062135543,-0.066990318,0.968085106,0.944196429,0.796875,0.330672772,0.00751954,1,0.005347594,0,0.005291303,0.000889157,9.49030596,2.341188062,10.39357745,0.19298354,0.257974761,0.228254288
ET111,24,0.369230769,0.057259916,-0.039280837,0.803191489,0.934895833,0.640625,0.234911478,0.00374359,1,0.005347594,0,0.005291303,0.00081345,48.80477985,2.980877731,19.70510484,0.365876032,0.446689201,0.124250337
ET112,24,0.369230769,0.235520235,-0.031853324,0.787234043,0.978966346,0.640625,0.468525712,0.066396188,1,0.005347594,0,0.005291303,0.002795635,8.941841555,2.147683217,8.564992167,0.159031143,0.348007281,0.380615585
ET113,21,0.323076923,0.036560572,-0.045878068,0.835106383,0.930803571,0.6875,0.245633615,0.002423921,1,0.005347594,0,0.005291303,0.001093573,19.29488272,2.836524227,17.05637829,0.316695601,0.441462138,0.105959473
