"ET1" "ET10" "ET102" "ET104" "ET105" "ET107" "ET108" "ET109" "ET11" "ET110" "ET111" "ET112" "ET113" "ET114" "ET115" "ET116" "ET117" "ET118" "ET119" "ET12" "ET120" "ET121" "ET126" "ET130" "ET131" "ET132" "ET133" "ET134" "ET135" "ET136" "ET137" "ET138" "ET14" "ET140" "ET142" "ET143" "ET145" "ET146" "ET149" "ET15" "ET152" "ET154" "ET155" "ET156" "ET157" "ET158" "ET159" "ET16" "ET160" "ET161" "ET163" "ET164" "ET167" "ET168" "ET169" "ET17" "ET170" "ET171" "ET173" "ET174" "ET175" "ET177" "ET178" "ET179" "ET18" "ET180" "ET181" "ET182" "ET183" "ET184" "ET185" "ET186" "ET187" "ET188" "ET189" "ET19" "ET190" "ET191" "ET192" "ET194" "ET195" "ET196" "ET197" "ET199" "ET20" "ET200" "ET201" "ET202" "ET203" "ET204" "ET205" "ET206" "ET207" "ET208" "ET209" "ET21" "ET210" "ET211" "ET212" "ET213" "ET214" "ET215" "ET216" "ET217" "ET218" "ET219" "ET22" "ET220" "ET221" "ET222" "ET224" "ET225" "ET226" "ET227" "ET228" "ET229" "ET23" "ET230" "ET232" "ET233" "ET234" "ET235" "ET236" "ET237" "ET238" "ET24" "ET240" "ET241" "ET242" "ET243" "ET248" "ET25" "ET252" "ET253" "ET254" "ET255" "ET256" "ET257" "ET260" "ET261" "ET3" "ET30" "ET32" "ET33" "ET34" "ET39" "ET4" "ET41" "ET45" "ET47" "ET48" "ET49" "ET53" "ET54" "ET55" "ET57" "ET58" "ET59" "ET6" "ET60" "ET61" "ET62" "ET64" "ET66" "ET68" "ET69" "ET70" "ET71" "ET72" "ET73" "ET74" "ET75" "ET77" "ET78" "ET79" "ET81" "ET82" "ET83" "ET84" "ET85" "ET86" "ET87" "ET88" "ET90" "ET94" "ET95" "ET96" "ET97" "ET99"
"CLNV" 4 0 3 1 1 0 0 0 1 0 0 3 0 2 0 2 0 0 0 3 0 6 16 0 0 6 0 1 0 1 2 0 0 1 0 1 2 0 0 6 18 0 0 1 0 0 2 0 2 1 1 0 1 0 4 0 3 1 0 1 0 0 5 0 0 32 0 0 1 11 0 0 0 1 0 6 6 8 0 31 0 7 0 7 0 0 0 2 0 3 0 0 3 0 1 1 10 11 0 100 3 0 6 3 5 1 2 0 4 0 17 9 1 0 25 0 0 0 2 2 6 16 2 5 3 0 1 8 1 0 222 0 2 8 0 3 1 1 0 0 0 0 0 1 0 1 0 1 8 0 0 0 0 1 0 1 2 0 0 4 3 0 1 0 1 1 0 1 2 0 0 0 3 0 1 21 2 9 0 1 0 1 2 2 4 1 0 2 0
"CmV" 1 0 1 3 1 1 1 1 6 1 0 1 0 2 1 0 2 1 4 2 6 4 32 0 86 2 0 4 0 2 4 1 1 1 1 4 3 0 1 0 6 1 17 2 7 1 2 1 2 2 0 5 0 1 5 1 1 2 0 3 2 1 20 0 1 15 0 169 2 5 1 7 21 3 9 1 9 2 45 1 14 10 3 4 3 2 1 3 6 26 1 1 12 1 2 3 2 18 1 36 6 11 14 5 1 25 1 3 10 1 7 24 5 14 37 25 5 7 1 8 1 16 2 4 9 1 6 9 3 5 21 0 19 1 1 3 1 2 1 0 0 1 1 10 2 1 1 0 7 2 0 2 1 5 2 5 2 13 0 7 1 1 1 0 1 1 0 1 8 3 3 3 11 3 0 8 3 4 1 7 119 1 11 1 9 0 8 2 0
"CMV" 1 1 1 3 1 1 1 0 3 1 1 3 1 1 2 0 6 1 15 2 6 3 2 0 0 8 0 5 0 1 4 0 0 1 0 2 2 0 1 1 1 1 7 3 11 4 2 1 2 0 0 1 5 1 7 0 0 3 0 2 1 0 16 0 2 21 0 43 4 1 2 57 63 5 6 1 0 2 8 6 38 22 2 2 3 0 0 5 1 10 0 1 32 4 0 2 1 19 5 81 8 13 10 0 1 4 5 6 23 1 2 72 2 16 20 8 3 5 2 11 5 11 5 2 15 3 32 15 3 3 2 0 4 7 3 3 0 0 1 0 0 1 0 4 1 3 1 1 3 1 0 3 2 20 4 6 2 1 0 2 9 1 3 0 0 2 0 0 7 1 1 3 13 3 1 4 4 2 1 48 348 0 5 1 1 0 1 102 2
"CoSMV" 5 0 1 0 2 0 0 0 0 0 0 0 0 1 2 0 0 3 1 0 0 0 0 0 12 1 0 0 0 0 33 0 0 0 0 1 1 1 0 0 0 0 15 2 2 0 0 0 0 2 0 2 1 0 6 0 0 0 0 0 3 0 6 0 0 0 0 0 6 0 0 0 17 1 0 0 2 0 29 4 0 18 0 0 0 0 0 3 0 1 0 1 8 0 0 0 0 0 0 19 72 2 0 2 0 8 1 6 3 0 11 0 5 12 0 2 1 1 0 3 0 5 4 1 10 0 5 5 0 15 11 0 0 8 1 0 1 1 0 1 0 1 0 1 0 0 0 0 0 26 0 1 0 0 2 1 3 1 0 0 10 5 1 0 0 0 0 0 0 0 3 2 6 1 0 0 15 0 0 3 0 0 1 6 6 0 5 0 0
"CSSV" 1 0 0 3 0 1 0 1 0 0 0 3 0 0 1 0 1 1 1 0 10 29 4 0 0 2 0 0 3 5 18 0 0 0 1 1 1 0 0 0 4 1 0 2 1 12 16 0 3 0 0 0 0 1 2 1 0 2 0 1 1 0 4 0 0 2 0 0 2 1 0 3 39 31 11 2 1 1 0 1 0 9 0 1 0 2 0 2 0 1 1 1 3 0 4 1 2 13 1 20 0 3 51 0 0 5 1 5 8 6 6 57 2 5 20 6 0 5 2 4 0 0 2 3 37 0 11 89 1 42 4 0 3 1 2 1 2 0 0 0 0 2 0 2 4 1 0 1 3 1 0 0 0 10 22 1 3 1 0 3 1 5 1 1 0 2 0 1 6 1 1 4 0 0 0 10 4 1 0 3 0 2 4 8 0 0 46 0 3
"DBV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 9 3 2 2 0 0 1 0 8 0 0 7 0 0 19 0 0 0 0 2 0 7 2 26 9 11 0 86 14 123 0 4 2 4 1 1 0 1 21 0 3 13 2 0 0 2 0 0 3 1 49 8 5 1 0 41 9 7 0 3 0 2 11 14 0 0 1 7 16 0 1 10 0 13 1 3 1 6 8 28 0 48 15 17 2 1 1 1 0 0 0 0 6 0 11 1 0 1 13 0 1 0 2 1 4 6 19 0 2 3 2 1 1 0 2 1 1 5 0 1 0 15 92 1 1 10 5 0 2 8 0 5 6 13 0 7 12 1
"FBV-1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 4 0 0 0 16 9 0 16 1 0 7 0 7 0 0 1 2 11 0 2 4 0 6 3 1 1 0 1 2 0 0 0 19 0 0 0 4 0 3 11 0 0 0 0 1 0 0 2 0 18 0 0 1 0 0 1 1 0 0 0 0 3 0 0 2 11 2 1 0 0 0 1 0 0 0 1 11 0 0 0 1 0
"GLRaV-1" 0 0 0 0 0 0 0 11 0 0 1 1 0 3 0 0 1 0 1 1 1 0 7 0 0 0 0 0 0 0 1 0 0 1 3 2 0 0 1 0 3 1 0 0 10 0 7 0 2 3 0 1 1 0 1 0 1 0 0 0 0 0 26 0 0 28 0 0 2 0 1 8 8 2 0 0 5 0 0 3 697 2 0 0 0 1 0 1 1 25 0 0 27 9 2 0 1 7 1 9 0 3 0 7 1 4 1 36 7 0 2 6 1 1 0 33 2 4 2 19 8 1 3 1 0 1 3 10 0 0 27 0 2 0 5 0 1 1 0 0 0 1 2 4 1 0 2 0 1 2 0 4 3 0 2 2 0 98 0 0 0 3 0 0 0 0 0 0 0 1 1 2 2 0 2 0 4 0 1 21 10 2 1 0 1 0 0 2 4
"GLRaV-10" 0 1 4 0 0 0 1 0 0 4 0 0 0 0 0 0 2 0 0 7 1 0 0 0 0 0 0 1 0 2 0 0 0 0 0 1 3 1 1 2 1 0 0 11 0 1 4 0 9 1 0 0 0 3 1 0 2 0 0 1 1 0 2 1 1 0 0 0 0 0 7 0 0 0 0 1 1 0 0 1 0 0 6 1 0 1 0 0 0 10 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 3 1 0 1 6 0 0 0 0 0 1 3 2 0 0 0 0 0 1 3 1 0 0 1 0 2 6 3 3 0 0 0 0 0 0 0 3 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 2 0 0
"GRSPaV" 0 3 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 558 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
