"ET1" "ET10" "ET102" "ET104" "ET105" "ET107" "ET108" "ET109" "ET11" "ET110" "ET111" "ET112" "ET113" "ET114" "ET115" "ET116" "ET117" "ET118" "ET119" "ET12" "ET120" "ET121" "ET126" "ET130" "ET131" "ET132" "ET133" "ET134" "ET135" "ET136" "ET137" "ET138" "ET14" "ET140" "ET142" "ET143" "ET145" "ET146" "ET149" "ET15" "ET152" "ET154" "ET155" "ET156" "ET157" "ET158" "ET159" "ET16" "ET160" "ET161" "ET163" "ET164" "ET167" "ET168" "ET169" "ET17" "ET170" "ET171" "ET173" "ET174" "ET175" "ET177" "ET178" "ET179" "ET18" "ET180" "ET181" "ET182" "ET183" "ET184" "ET185" "ET186" "ET187" "ET188" "ET189" "ET19" "ET190" "ET191" "ET192" "ET194" "ET195" "ET196" "ET197" "ET199" "ET20" "ET200" "ET201" "ET202" "ET203" "ET204" "ET205" "ET206" "ET207" "ET208" "ET209" "ET21" "ET210" "ET211" "ET212" "ET213" "ET214" "ET215" "ET216" "ET217" "ET218" "ET219" "ET22" "ET220" "ET221" "ET222" "ET224" "ET225" "ET226" "ET227" "ET228" "ET229" "ET23" "ET230" "ET232" "ET233" "ET234" "ET235" "ET236" "ET237" "ET238" "ET24" "ET240" "ET241" "ET242" "ET243" "ET248" "ET25" "ET252" "ET253" "ET254" "ET255" "ET256" "ET257" "ET260" "ET261" "ET3" "ET30" "ET32" "ET33" "ET34" "ET39" "ET4" "ET41" "ET45" "ET47" "ET48" "ET49" "ET53" "ET54" "ET55" "ET57" "ET58" "ET59" "ET6" "ET60" "ET61" "ET62" "ET64" "ET66" "ET68" "ET69" "ET70" "ET71" "ET72" "ET73" "ET74" "ET75" "ET77" "ET78" "ET79" "ET81" "ET82" "ET83" "ET84" "ET85" "ET86" "ET87" "ET88" "ET90" "ET94" "ET95" "ET96" "ET97" "ET99"
"HBV-GD1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 8 2 15 0 2 0 0 0 26 1 0 1 4 0 0 1 0 0 1 1 1 3 0 0 0 0 1 5 0 0 0 0 1 0 0 27 0 1 0 0 0 0 2 0 0 0 1 0 1 0 0 1 0 0 4 1 0 0 0 1 0 1 18 0 2 0 1
"IYVV" 0 0 3 0 1 1 0 0 1 1 0 2 0 0 2 0 3 0 1 2 0 6 18 0 5 1 3 5 1 9 0 0 1 0 1 1 34 0 3 0 0 2 17 6 1 0 2 0 5 1 0 3 0 3 6 1 4 0 0 1 0 1 6 2 1 11 0 0 6 4 2 5 2 4 2 2 2 2 11 1 0 23 13 9 1 0 0 0 2 7 2 1 18 1 0 10 2 22 2 7 3 1 29 2 1 16 0 58 18 1 28 2 2 7 0 31 1 31 2 17 5 6 5 10 12 1 2 11 0 18 8 0 11 1 2 8 0 4 0 0 0 0 0 14 20 1 3 0 1 4 1 4 1 1 2 0 5 3 0 2 0 6 2 1 3 0 0 0 2 3 1 17 3 4 0 1 8 5 2 9 15 0 1 7 4 0 3 1 3
"LMV" 0 0 7 0 0 1 0 0 0 0 0 0 1 0 1 0 2 0 1 14 1 0 16 0 0 0 0 0 1 14 1 3 0 0 0 0 2 0 1 0 0 5 0 2 1 1 5 0 0 1 0 0 0 12 1 0 2 2 1 4 0 0 1 2 1 0 0 0 6 0 2 5 5 11 0 0 2 3 0 1 0 1 7 28 0 23 0 0 0 4 1 1 5 4 0 0 0 0 1 7 5 2 2 3 1 6 0 0 1 1 42 0 30 0 17 0 0 18 4 17 6 0 3 1 0 1 1 14 0 0 8 0 5 0 0 1 1 4 0 0 0 0 0 0 1 0 2 1 0 1 0 1 0 1 14 0 0 8 0 1 0 1 0 2 2 0 1 0 0 0 0 0 0 0 3 0 5 0 0 4 0 0 1 0 7 0 1 1 0
"LPV" 0 0 3 10 0 1 0 0 0 6 0 0 0 0 2 2 13 0 0 3 3 1 63 0 0 2 2 2 0 1 1 0 0 0 3 0 1 0 0 0 0 5 0 0 2 0 4 0 0 0 0 3 0 2 1 13 11 2 0 1 0 1 1 1 6 8 0 0 5 0 0 0 0 31 1 0 1 1 0 0 0 11 5 0 0 1 0 1 1 4 0 0 12 0 0 0 10 21 0 0 16 8 11 4 0 21 0 19 2 1 27 0 3 0 0 0 2 0 0 11 2 0 6 8 21 0 0 81 1 1 14 0 26 1 2 0 1 4 0 0 0 0 0 2 0 0 6 0 1 19 0 0 3 5 3 2 2 1 0 0 1 18 0 2 0 1 0 1 5 0 1 4 2 1 0 0 1 7 2 10 0 1 8 1 12 0 0 10 0
"MeLCV" 3 1 1 1 0 3 1 3 0 0 0 0 0 0 2 1 8 0 0 6 1 3 11 1 61 1 1 1 4 1 2 0 0 9 4 0 8 0 0 0 1 1 0 4 0 0 16 0 2 2 0 5 0 1 2 0 0 1 0 19 2 1 2 0 0 0 0 2 7 1 4 4 2 21 1 0 5 5 125 1 52 15 5 3 3 0 1 3 15 2 0 1 1 1 1 1 0 0 1 0 11 1 11 2 1 0 0 15 2 3 0 13 2 24 162 66 0 0 2 2 2 1 5 4 15 0 1 0 0 7 25 0 8 1 2 3 1 1 1 0 0 1 9 1 5 3 0 0 1 2 0 3 0 1 17 0 10 6 0 5 0 2 1 0 0 1 0 1 4 7 0 8 3 0 1 2 10 0 3 0 0 3 1 1 13 0 7 3 2
"NoMV" 0 0 0 0 0 1 0 2 12 0 1 0 0 0 0 2 1 0 1 2 0 1 3 2 0 2 0 0 0 0 0 0 0 0 1 1 1 2 0 0 0 0 0 0 9 1 0 0 0 1 0 3 1 2 1 0 2 0 0 0 0 10 7 0 12 1 0 0 0 2 0 61 3 0 1 0 4 2 0 1 0 4 0 7 0 0 1 0 1 3 0 4 3 1 1 0 1 10 4 1 0 0 0 9 0 19 3 2 3 0 0 6 0 28 0 0 1 3 1 1 3 2 1 5 10 0 2 0 0 2 21 0 16 0 0 0 0 7 0 0 0 0 1 5 2 6 0 0 1 0 1 0 9 0 30 1 0 9 4 1 0 0 0 0 0 0 0 1 0 2 1 4 0 0 0 1 1 1 3 19 0 3 1 0 18 0 0 1 3
"PeAV" 0 0 0 2 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 103 0 0 1 0 0 8 0 0 0 0 1 0 0 0 1 0 1 0 0 15 0 0 0 0 0 0 0 3 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 2 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 15
"PeMoV" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 20 0 0 3 1 0 1 0 0 1 0 0 1 0 1 1 3 0 2 0 22 1 0 0 0 9 0 0 0 0 5 0 0 2 0 2 0 0 0 0 0 0 0 0 0 7 0 0 2 0 1 0 1 18 0 3 0 0 0 0 0 2 1 0 8 0 0 1 0 0 1 0 19 0 2 0 0 0 0 0 0 6 2 0 4 0 6 1 0 1 0 0 0 0 0 0 0 1 0 0 0 2 1 0 2 3 0 0 2 8 0 15 0 0 2 0
"PenMV" 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 5 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 5 2 0 8 8 0 0 12 9 0 2 0 1 1 1 0 5 2 1 0 1 0 0 0 0 1 0 0 0 0 5 0 0 0 0 0 1 0 0 1 0 0 0 0 0 11 18 0 0 3 0 0 0 2 0 1 1 0 0 0 3 1 0 0 0 2 0 1 0 0 0 1 2 0 0 1 0 3 1 1 0 2 1 3 11 0 0 0 0 5 0 0 0 0 0 2 3 1 3 0 1 1 0 8 11 0 0 7 0 0 0 0 1 2 1 0
"PiCV-1" 2 1 2 1 7 3 0 0 0 0 1 0 0 0 0 1 0 0 1 17 1 0 0 0 0 0 0 32 0 2 9 0 22 0 0 0 0 1 0 7 1 0 0 1 0 0 4 0 0 0 1 0 0 0 5 0 0 1 0 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 0 0 0 0 0 0 0 0 1 3 4 1 0 0 0 6 0 0 0 6 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 10 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 2 1 0
"PRSV" 0 0 2 3 2 2 0 0 5 0 0 1 0 4 1 7 0 0 1 0 1 0 0 0 0 1 1 3 0 2 2 1 4 0 2 1 0 0 4 0 4 1 0 1 0 0 0 0 0 2 0 2 0 0 3 0 1 1 0 14 0 1 15 0 0 0 0 0 6 171 0 0 0 0 0 0 11 5 0 0 0 0 0 2 1 1 1 1 4 11 0 1 0 0 0 0 0 0 0 0 0 0 0 6 1 0 0 0 0 0 0 0 0 0 0 0 4 0 3 0 0 24 0 17 0 3 0 0 0 1 0 0 0 0 1 0 0 1 1 0 1 0 1 10 3 2 1 1 6 1 1 1 1 0 0 1 1 0 0 2 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 4 1 1
"PSbMV" 1 0 1 147 0 1 0 0 0 0 0 25 0 0 0 7 0 0 4 7 0 0 0 0 0 5 0 1 2 0 2 0 1 0 0 1 0 2 4 0 2 0 0 0 0 5 1 0 4 3 0 5 0 1 2 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 3 4 0 0 0 0 1 0 5 0 0 7 0 0 0 1 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 3 0 0 0 0 2 0 0 0 0 11 0 0 1 0 0 0 2 1 1 2 0 0 0 0 0 0 0 1 2 6 0 6 0 2 0 0 8 0 0 6 0 0 9 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0
"PtV" 1 0 0 0 2 0 0 3 0 0 6 0 0 4 0 2 2 0 3 0 0 0 1 0 0 0 0 2 0 0 3 0 5 0 1 0 0 2 0 0 5 0 0 1 6 0 2 0 0 0 0 4 3 0 8 0 1 1 0 7 0 0 4 0 0 9 0 0 1 0 1 5 31 0 0 0 1 0 0 9 102 13 0 0 0 4 0 0 0 4 0 1 8 3 3 0 16 14 0 32 0 1 0 1 3 11 2 5 39 0 2 18 5 17 0 9 0 1 11 6 3 2 1 16 0 0 11 3 0 0 3 0 6 0 1 0 0 1 1 0 0 0 1 1 0 0 1 0 1 0 6 8 2 1 1 0 0 9 0 0 0 0 1 0 0 1 0 1 0 0 0 0 14 0 1 1 1 0 1 12 37 1 0 0 0 1 1 5 1
"PVA" 27 10 6 0 1 10 0 1 0 0 0 0 0 0 0 0 0 0 1 5 1 6 0 0 0 7 0 4 0 1 1 0 0 0 0 1 1 0 1 0 24 0 0 0 6 0 24 0 2 0 0 4 0 1 3 0 2 0 0 4 0 0 1 1 0 0 0 0 1 8 0 0 0 12 5 8 19 9 0 3 0 13 2 0 1 2 0 0 4 1 0 0 5 2 0 0 0 1 6 0 22 0 21 10 1 0 0 4 9 0 11 0 0 60 1 31 0 1 1 11 0 5 1 0 3 3 3 20 1 26 9 0 20 0 0 2 0 0 0 0 0 0 0 8 1 1 2 0 1 0 0 0 0 0 17 0 0 42 0 2 0 0 3 0 1 0 0 1 1 1 0 1 4 0 3 0 1 3 0 0 0 1 0 1 29 0 0 2 0
"PVY" 0 0 0 4 0 2 0 0 1 0 0 0 0 2 0 0 0 0 3 1 7 1 0 0 0 7 4 2 0 0 0 0 2 0 6 0 0 0 1 0 1 0 0 11 0 1 0 0 1 0 0 1 1 2 3 0 0 1 0 2 1 2 22 0 0 0 0 0 0 0 0 0 19 2 85 1 0 2 0 1 0 9 7 0 1 1 0 1 1 16 0 0 0 1 0 0 0 87 2 0 7 15 0 0 0 18 1 8 8 2 2 14 1 0 0 0 0 0 0 5 0 0 0 12 5 1 16 0 4 3 0 0 0 3 2 3 1 1 1 0 1 0 0 1 0 0 0 0 3 0 0 0 1 1 1 4 0 1 0 2 2 1 1 1 0 1 0 2 1 7 0 1 0 3 0 1 0 7 1 0 0 0 0 2 1 2 1 4 10
"RCCVA" 0 6 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 406 0 0 11 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SCBV" 0 0 2 0 0 2 0 1 2 0 0 0 2 10 0 0 7 0 18 18 0 11 3 2 0 7 2 1 0 1 1 0 0 1 0 1 2 0 0 0 12 0 0 0 0 0 4 0 3 0 1 1 3 3 0 0 2 0 0 16 1 1 2 0 0 0 2 0 1 3 0 2 31 6 1 1 1 6 0 4 0 19 1 5 1 0 0 1 0 10 1 2 15 6 2 0 0 0 0 20 9 6 38 2 0 2 0 9 3 1 7 3 2 5 0 0 2 9 4 12 0 46 0 6 0 0 23 12 2 0 0 3 5 7 31 2 0 4 0 0 0 0 1 7 10 2 0 1 47 1 0 2 0 15 2 3 3 2 0 1 0 2 2 0 6 0 0 1 1 0 0 1 5 0 1 41 1 13 1 2 0 0 3 2 1 0 0 4 1
"SCMV" 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 1 7 0 2 0 0 8 20 0 0 6 0 0 0 0 4 0 3 0 0 10 0 0 0 0 4 0 0 9 1 1 2 0 8 0 0 2 1 0 0 0 1 1 0 0 1 0 0 0 2 5 0 0 1 3 6 7 4 4 0 0 3 33 0 3 0 1 0 3 0 0 0 0 1 3 0 0 22 1 3 0 6 52 3 4 0 0 23 5 18 9 0 0 0 0 2 42 0 316 0 0 1 1 1 1 3 3 0 5 16 1 1 0 0 2 0 0 10 4 0 0 0 0 0 0 0 0 0 2 0 3 0 0 32 0 0 3 1 0 11 0 0 7 1 1 4 0 0 0 0 0 0 6 0 0 1 0 5 2 0 14 0 3 5 0 0 2 0 1 3 2 1 11 0
"SPBgV" 0 0 2 1 1 2 1 0 1 2 1 2 0 0 0 0 2 0 1 0 0 3 0 2 0 1 25 1 0 3 1 0 2 0 0 0 2 0 1 0 5 0 0 1 1 0 9 0 2 0 1 1 0 4 1 0 0 2 1 8 0 1 3 0 1 0 0 0 0 2 1 2 15 20 1 2 1 21 0 1 0 9 1 3 2 2 4 1 2 1 0 0 17 1 1 1 2 15 1 0 0 2 0 0 13 0 2 19 2 0 9 9 8 0 3 11 1 14 1 12 1 4 1 3 4 0 3 66 1 6 1 0 2 0 3 1 0 2 1 0 0 0 0 1 1 0 1 0 2 0 0 2 0 6 15 1 3 1 3 0 1 7 0 0 0 1 0 1 1 0 0 2 2 2 0 3 1 2 1 1 170 3 1 1 1 2 0 0 4
"SPC6V" 0 0 1 0 2 2 2 0 6 0 0 4 1 2 1 0 1 0 13 3 1 3 2 2 0 3 3 0 0 1 0 1 2 2 0 2 1 0 1 2 8 1 14 1 1 2 3 0 6 0 2 8 0 10 1 0 0 0 1 4 3 0 19 0 1 26 1 135 1 2 0 1 37 10 1 1 2 20 75 2 242 2 1 2 0 6 2 4 1 14 0 1 23 5 2 1 1 5 0 110 9 2 37 1 13 56 1 25 1 0 4 2 11 16 104 6 3 3 1 13 5 8 2 5 3 0 10 19 1 6 5 3 48 1 4 0 0 2 0 1 0 2 0 6 1 1 1 1 4 1 1 1 0 12 5 1 3 2 3 30 1 8 0 0 1 0 0 1 7 1 2 1 42 3 2 4 2 2 1 1 135 1 2 3 1 1 9 1 7
"SPCFV" 0 0 4 1 4 1 0 0 1 0 1 1 0 3 0 2 1 0 0 1 1 2 0 0 0 14 2 3 0 4 6 1 0 1 0 2 1 1 0 0 9 0 0 3 2 0 2 2 2 1 0 0 3 2 4 0 1 2 1 3 1 0 3 0 3 1 0 0 0 8 5 3 3 19 8 1 1 3 0 3 0 10 1 17 17 10 0 1 20 7 2 2 4 4 2 0 0 0 1 7 6 6 0 0 7 2 16 21 15 1 18 30 15 13 9 0 1 2 5 4 3 19 0 41 17 0 1 0 1 3 3 1 4 7 3 5 0 2 1 1 0 0 0 9 1 4 0 0 9 0 1 2 1 1 17 3 2 1 0 0 5 4 1 0 1 2 0 1 2 1 2 2 0 1 0 15 0 10 2 4 0 2 5 1 1 0 0 4 5
"SPCSV" 0 3 1 0 1 1 0 1 3 1 0 2 0 2 0 1 3 0 0 4 1 4 4 0 19 6 4 1 3 1 0 0 1 0 2 2 6 0 2 0 3 0 36 3 3 0 3 0 2 0 0 1 1 8 2 4 0 0 0 3 1 1 8 1 0 24 0 100 1 12 1 3 1 7 2 2 1 4 10 4 249 3 15 2 0 1 1 1 8 11 2 0 19 1 1 1 4 23 1 2 12 2 14 1 3 5 4 46 3 4 4 1 3 16 11 36 2 16 1 14 1 9 1 10 12 0 0 19 1 4 3 0 4 3 9 1 3 1 0 0 0 0 1 4 5 0 3 0 4 1 1 2 1 0 4 1 3 2 1 1 3 9 0 2 0 0 0 1 3 5 1 6 5 5 0 5 1 8 1 3 5 1 2 1 1 0 2 5 6
"SPCV" 1 0 1 1 15 0 0 0 1 0 0 4 2 4 0 0 6 1 1 4 1 13 9 0 0 3 4 5 0 1 2 4 1 0 0 1 1 0 2 2 6 0 12 6 22 0 2 0 7 1 1 2 1 7 5 1 0 1 4 2 0 0 4 0 0 31 1 0 1 7 3 16 11 5 2 2 3 7 24 2 119 12 1 1 1 10 1 0 1 8 0 0 33 13 3 2 2 74 3 22 9 2 27 2 4 12 1 31 9 0 5 16 33 10 5 6 1 3 0 30 13 12 1 3 28 1 4 22 1 10 11 1 9 3 10 4 0 1 1 2 0 0 0 2 2 0 2 3 9 0 0 8 5 3 5 1 7 8 2 3 2 6 2 0 0 1 2 1 2 1 0 1 6 5 7 12 2 3 2 9 51 1 3 3 4 1 2 4 6
"SPFMV" 1 1 2 0 7 0 1 0 3 0 1 0 0 2 0 0 4 1 2 8 7 22 9 0 45 1 3 2 1 3 1 2 1 1 1 2 1 1 0 0 5 0 17 4 7 0 7 3 13 1 0 2 0 5 2 1 1 0 2 2 2 1 8 0 4 5 0 137 1 6 2 8 9 17 9 10 3 3 23 1 156 5 4 6 1 6 0 3 3 11 0 5 4 1 2 1 2 34 1 17 27 12 78 1 2 13 1 29 5 1 11 5 18 7 27 13 2 3 7 3 2 12 1 5 18 1 3 42 4 25 6 0 10 0 5 2 1 3 0 1 0 1 0 4 1 6 1 0 6 1 1 4 1 2 10 5 14 4 1 3 0 6 1 0 1 0 2 0 6 2 1 1 62 1 1 7 2 4 2 8 55 2 12 8 2 0 4 1 4
"SPGVaV" 2 1 4 2 13 0 0 0 0 0 0 2 1 2 0 0 3 0 1 4 2 15 2 1 49 4 0 1 0 12 7 10 0 1 0 0 0 0 2 0 6 1 14 5 1 0 8 0 17 0 1 3 0 1 3 0 2 2 6 2 2 0 1 0 0 16 0 177 1 4 2 3 4 10 3 2 1 8 23 2 0 11 2 6 2 17 0 1 0 1 1 1 59 2 3 0 1 20 1 18 14 3 100 1 8 30 0 3 10 0 24 21 79 10 11 9 0 4 1 16 3 7 1 3 22 0 2 34 2 15 6 1 17 2 1 3 0 2 1 20 1 0 0 0 1 1 7 1 7 1 0 4 0 2 11 2 8 1 1 8 2 1 1 0 2 2 6 1 4 1 0 1 74 25 1 10 1 1 1 3 0 1 3 3 1 1 3 8 2
"SPLCV" 2 0 2 0 9 0 0 2 1 0 1 1 0 3 0 0 1 1 1 8 1 6 1 0 20 0 1 5 0 3 0 4 0 0 3 1 1 1 1 1 6 0 15 1 15 0 7 0 4 0 0 1 0 3 6 0 1 0 4 1 0 2 4 0 1 12 0 144 1 8 0 22 4 17 1 3 1 5 14 0 87 18 2 4 0 12 0 0 4 3 0 3 13 3 2 1 1 7 2 12 25 1 23 0 2 8 0 13 15 0 9 2 29 4 5 44 1 2 3 10 4 14 1 3 5 1 2 42 0 8 2 0 6 0 2 5 0 2 0 4 0 0 2 2 1 3 1 1 8 1 0 1 1 1 9 0 4 1 0 1 0 7 2 0 1 0 2 0 1 6 1 1 50 2 1 9 2 3 0 14 29 2 1 3 1 0 2 1 2
"SPLV" 2 0 1 0 7 4 0 0 0 0 0 0 1 0 2 0 0 4 0 0 0 0 0 0 5 0 1 0 0 1 16 1 0 0 2 0 0 0 0 0 0 0 25 5 2 0 0 0 0 1 0 1 0 0 2 0 0 0 1 0 1 3 1 0 0 0 0 0 6 1 1 0 2 13 1 0 1 0 13 0 0 7 0 0 0 1 1 1 8 0 0 1 3 0 0 0 0 0 0 2 825 6 0 1 1 3 0 29 1 0 24 0 17 100 0 45 0 1 0 1 0 4 4 1 33 0 0 61 1 8 8 1 0 1 4 0 0 1 0 2 0 0 3 0 0 0 0 0 0 26 0 3 0 0 18 2 1 1 0 0 1 22 0 0 1 0 0 2 0 8 0 1 4 0 0 0 15 0 1 4 0 0 3 4 4 0 2 0 1
"SPMMV" 1 1 1 0 3 0 1 2 4 0 1 3 1 1 0 0 6 0 5 3 2 10 0 1 89 4 0 5 0 2 0 1 0 1 2 3 1 3 4 2 4 1 9 5 25 1 2 1 28 0 1 4 1 1 2 1 1 0 0 0 3 2 7 0 2 21 0 0 2 1 2 7 36 8 2 7 0 12 39 1 12 8 4 3 1 2 0 2 29 11 0 5 37 9 1 2 0 20 1 29 15 3 62 0 12 18 1 4 8 1 13 2 9 2 23 36 2 3 6 18 10 4 2 2 26 1 5 9 1 20 0 2 21 1 0 3 1 5 0 0 0 1 1 4 1 10 3 2 3 2 0 7 1 5 3 1 6 0 4 9 0 1 1 0 0 0 0 0 29 8 1 1 1018 6 4 4 3 1 2 4 0 0 8 10 0 1 3 1 1
"SPMV" 1 0 1 0 1 0 0 3 0 1 0 0 0 1 0 1 5 1 0 6 1 3 4 1 78 1 0 2 0 2 1 0 0 0 3 1 12 0 0 0 2 1 61 6 14 0 7 0 3 1 1 4 0 0 3 0 1 0 0 2 2 3 4 2 0 1 0 27 1 8 2 33 1 15 1 1 1 12 29 0 6 6 1 4 0 2 0 1 4 3 4 1 1 2 1 0 7 23 3 2 44 1 20 1 6 19 0 1 5 0 6 2 5 8 25 63 0 36 2 1 3 9 1 16 16 1 0 35 0 7 4 1 11 1 0 1 0 1 0 0 0 1 1 1 8 1 0 0 3 1 2 1 5 0 9 0 5 2 1 4 0 0 0 0 1 0 0 1 4 7 0 16 5 0 1 4 2 10 1 33 5 1 1 2 2 1 3 1 0
"SPPV" 0 0 3 1 3 1 0 2 3 0 0 1 3 1 0 0 2 0 0 12 9 14 5 0 136 4 1 2 0 5 2 1 1 0 2 2 1 0 1 5 2 0 8 2 4 0 12 3 8 0 0 7 1 2 2 0 2 1 1 4 1 2 12 0 1 14 2 42 1 3 1 4 1 24 13 5 2 3 68 3 50 5 1 10 1 2 1 1 11 16 0 1 11 20 1 1 1 11 1 2 43 17 49 1 2 37 3 10 4 0 18 9 8 17 15 51 3 3 1 8 28 4 1 2 6 0 0 67 5 15 4 0 29 2 2 2 0 4 0 1 0 0 2 6 1 1 1 6 2 1 0 1 1 0 15 7 8 3 1 10 2 2 1 0 2 1 1 1 3 7 2 1 12 3 9 2 1 2 1 4 6 3 16 5 2 0 10 4 1
"SPSMV-1" 1 1 8 1 1 1 0 1 1 1 1 1 2 0 1 1 4 0 4 2 1 9 7 0 90 3 1 4 2 11 1 0 1 0 2 1 3 1 0 3 1 1 20 4 3 1 1 0 5 1 0 5 0 2 5 2 5 1 0 4 0 1 4 0 2 6 1 31 3 7 2 4 24 3 1 4 2 5 46 2 56 10 9 24 1 1 1 0 7 5 1 2 4 10 0 5 3 30 1 43 5 2 32 1 4 26 2 11 10 2 42 6 4 19 3 37 1 9 4 3 14 3 3 5 16 0 8 8 1 10 5 1 20 1 2 4 2 10 0 0 0 0 1 2 3 3 0 3 1 3 1 3 1 6 2 1 6 3 1 7 1 2 1 1 4 0 0 1 1 5 1 3 34 1 5 1 5 4 2 4 142 0 2 3 2 0 8 2 1
"SPV2" 1 1 5 0 8 1 0 0 2 0 1 4 7 1 1 0 0 0 0 12 2 27 12 0 283 1 1 3 1 9 1 1 2 0 0 1 1 1 2 7 1 1 22 0 3 0 8 0 18 1 0 5 0 1 4 1 4 0 1 7 1 0 6 0 3 22 5 0 3 6 0 11 5 20 4 14 1 4 47 2 22 7 7 15 0 3 4 1 1 6 1 3 29 46 0 3 2 2 1 5 25 5 40 1 2 44 0 11 6 1 44 3 11 47 7 11 2 3 10 14 90 3 2 4 1 1 2 95 2 25 4 0 20 1 4 6 1 12 0 0 1 0 0 7 3 8 1 11 2 1 1 0 3 1 9 2 6 2 1 11 1 1 1 0 3 0 0 2 4 1 1 1 0 3 16 3 5 3 0 2 7 2 3 6 2 0 33 1 1
"SPVC" 1 0 3 0 2 1 0 1 5 0 1 0 3 0 0 2 2 0 2 6 2 13 10 0 24 5 1 3 0 4 0 1 1 0 1 3 2 1 0 7 0 0 77 2 1 1 4 1 7 1 0 1 1 1 6 0 2 0 0 2 0 1 13 0 2 2 2 23 1 25 1 2 12 12 4 6 3 4 10 3 37 11 1 8 0 2 1 0 3 18 0 1 2 18 0 1 9 14 0 22 19 5 45 1 3 6 3 6 11 0 17 2 6 12 2 20 3 4 3 1 27 1 1 19 7 0 3 29 2 15 6 0 5 2 1 4 0 3 0 0 0 0 0 6 1 3 0 6 1 0 2 1 0 3 7 2 8 4 1 2 2 1 1 0 2 0 1 1 1 3 2 2 28 0 9 1 1 16 1 2 72 2 5 5 2 0 2 4 1
