Samples,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,resource.range,species.specificity.index,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.generality,proportional.similarity,d
TZ269,61,0.792207792,0.364646623,-0.010415629,0.116564417,0.760964912,0.210526316,0.101789774,0.008081517,1,0.00617284,0,0.006097789,0.00395083,52.69263343,3.936583079,51.24320783,0.731665066,0.653813599,0.074404061
TZ270,57,0.74025974,0.432731262,-0.009952083,0.288343558,0.815789474,0.263157895,0.124190033,0.012198276,1,0.00617284,0,0.006097789,0.00633399,28.75280007,3.804110794,44.88532005,0.64088534,0.660127803,0.081726885
UG101,27,0.350649351,0.108534385,-0.033017245,0.883435583,0.923684211,0.657894737,0.198565242,0.005494551,1,0.00617284,0,0.006097789,0.001380711,60.72850013,3.167358388,23.74467721,0.339033241,0.361890597,0.121753698
UG102,36,0.467532468,0.15588622,-0.023447605,0.803680982,0.780701754,0.539473684,0.142778159,0.005284173,1,0.00617284,0,0.006097789,0.002015678,49.35530269,3.496013639,32.98370457,0.470950696,0.519449459,0.098795202
UG103,27,0.350649351,0.08192342,-0.034002836,0.895705521,0.868421053,0.657894737,0.180082089,0.003921801,1,0.00617284,0,0.006097789,0.001474931,69.45115172,3.212742033,24.84712452,0.354774296,0.410742026,0.084690408
UG104,27,0.350649351,0.088858713,-0.033745974,0.889570552,0.864035088,0.657894737,0.184850075,0.004235582,1,0.00617284,0,0.006097789,0.001378293,60.72850013,3.194778026,24.40475587,0.348458031,0.412493803,0.086634124
UG105,23,0.298701299,0.087078733,-0.039692229,0.938650307,0.956578947,0.710526316,0.281860788,0.00844693,1,0.00617284,0,0.006097789,0.001909129,20.11204611,2.800726879,16.45660439,0.234972068,0.402578086,0.152843872
UG107,51,0.662337662,1.434483102,0.008519277,0.472392638,0.84159919,0.342105263,0.146095894,0.046634386,1,0.00617284,0.016633663,0.006097789,0.021270191,12.78285306,3.603430483,36.72399966,0.524355691,0.597751414,0.13562547
UG110,21,0.272727273,0.05540796,-0.044980573,0.975460123,0.907894737,0.736842105,0.207674397,0.00303974,1.006134969,0,0,0.006079084,0.00105046,80.3449372,2.982965029,19.74627822,0.281942965,0.343711783,0.063154984
UG112,39,0.506493506,0.177382852,-0.021092747,0.742331288,0.86622807,0.5,0.149253731,0.006219555,1,0.00617284,0,0.006097789,0.00250894,39.0129974,3.516414798,33.66352132,0.480657312,0.534956354,0.11524069
UG114,21,0.272727273,0.060747001,-0.044726333,0.981595092,0.861842105,0.736842105,0.196350141,0.003074747,1,0.00617284,0,0.006097789,0.001028037,117.1441977,3.01494688,20.3880079,0.291105764,0.310394976,0.070573743
UG116,64,0.831168831,0.609255298,-0.006105386,0.042944785,0.850146199,0.171052632,0.12807878,0.018107921,1,0.00617284,0,0.006097789,0.007127184,30.02735895,3.818626543,45.54161588,0.650256118,0.637394108,0.095287886
UG117,29,0.376623377,0.117290971,-0.030438242,0.865030675,0.809210526,0.631578947,0.154083472,0.004109948,1,0.00617284,0,0.006097789,0.00118762,219.8094636,3.344548859,28.34778392,0.404757705,0.368401917,0.09140655
UG118,61,0.792207792,0.845941132,-0.002525555,0.085889571,0.95255745,0.210526316,0.228413206,0.040483816,1,0.00617284,0.011233123,0.006097789,0.010590049,22.10483196,3.48103257,32.49325632,0.463947936,0.56083201,0.165254961
UG119,59,0.766233766,0.312845366,-0.011646689,0.171779141,0.804511278,0.236842105,0.1206386,0.008451365,1,0.00617284,0,0.006097789,0.003859765,51.11846186,3.839036691,46.48067761,0.663664308,0.631347957,0.081127036
UG122,57,0.74025974,1.352478507,0.006183833,0.251533742,0.888492417,0.263157895,0.164409378,0.056245399,1,0.00617284,0.044932493,0.006097789,0.016840486,15.88194249,3.573906626,35.65561457,0.509100985,0.551727904,0.16859518
UG123,22,0.285714286,0.079283291,-0.041850759,0.957055215,0.923684211,0.723684211,0.227372455,0.005108739,1,0.00617284,0,0.006097789,0.00150499,26.97673635,2.932712268,18.77849379,0.268124664,0.352999504,0.120805005
UG124,61,0.792207792,0.981337773,-0.000305938,0.079754601,0.787828947,0.210526316,0.125863295,0.026197156,1,0.00617284,0.036723672,0.006097789,0.012880763,19.80789352,3.791146601,44.30717379,0.632630403,0.648664696,0.097564353
UG125,26,0.337662338,0.086008371,-0.035153524,0.90797546,0.842105263,0.671052632,0.181118478,0.003861543,1,0.00617284,0,0.006097789,0.001667764,34.08993524,3.174630288,23.91797546,0.341507642,0.414377789,0.092013695
UG126,40,0.519480519,0.162471667,-0.020938208,0.711656442,0.809210526,0.486842105,0.141604221,0.005333462,1,0.00617284,0,0.006097789,0.002405889,48.73927366,3.556746365,35.04897486,0.500439211,0.541527127,0.102127313
UG127,23,0.298701299,0.0982384,-0.039207026,0.932515337,0.947368421,0.710526316,0.259604337,0.008870766,1,0.00617284,0,0.006097789,0.001992634,18.85495197,2.857070253,17.41044395,0.24859126,0.389599515,0.15868164
UG128,33,0.428571429,0.259115146,-0.022451056,0.81595092,0.962993421,0.578947368,0.290845341,0.039725274,1,0.00617284,0,0.006097789,0.002303933,29.34756338,2.992675515,19.93895818,0.284694104,0.455126507,0.25196808
UG129,58,0.753246753,0.581000899,-0.007224122,0.208588957,0.863038278,0.25,0.13413499,0.016880542,1,0.00617284,7.20E-05,0.006097789,0.008700509,23.65456413,3.739506767,42.07723116,0.600790649,0.63245863,0.094801955
UG13,38,0.493506494,0.33676793,-0.017453476,0.754601227,0.936090226,0.513157895,0.240613975,0.031180406,1,0.00617284,0,0.006097789,0.004495492,18.81165235,3.166749589,23.73022587,0.3388269,0.498012423,0.205985973
UG134,61,0.792207792,0.585892581,-0.006788646,0.104294479,0.863408521,0.210526316,0.1315166,0.017816353,1,0.00617284,0,0.006097789,0.007981736,26.45124608,3.791522942,44.32385156,0.632868533,0.63354278,0.095203005
UG135,42,0.545454545,1.29430595,0.007007285,0.674846626,0.840425532,0.460526316,0.154860117,0.045633254,1,0.00617284,0.007344734,0.006097789,0.02091032,10.19600204,3.490518168,32.80294075,0.468369699,0.548730764,0.16305247
UG136,25,0.324675325,0.134262689,-0.034629492,0.914110429,0.891447368,0.684210526,0.205785005,0.007860384,1,0.00617284,0,0.006097789,0.001419837,33.8385064,3.072232259,21.59004348,0.308268769,0.331581557,0.157104828
UG137,8,0.103896104,0.025394194,-0.121825726,1,0.953947368,0.907894737,0.352748422,0.003153252,1.006134969,0,0,0.006079084,0.000425665,34.61453212,2.043191871,7.715195846,0.110159756,0.120806478,0.093937152
UG139,21,0.272727273,0.061229461,-0.044703359,0.969325153,0.924342105,0.736842105,0.222222222,0.003773745,1,0.00617284,0,0.006097789,0.001224519,43.45945634,2.936427217,18.84838468,0.269122586,0.323748141,0.089971141
UG140,12,0.155844156,0.026911398,-0.081090717,0.993865031,0.927631579,0.855263158,0.277069237,0.002299729,1,0.00617284,0,0.006097789,0.000612103,75.94679383,2.45831133,11.68506265,0.166842641,0.214377789,0.052021856
UG141,28,0.363636364,0.124955913,-0.031251575,0.871165644,0.865131579,0.644736842,0.190720395,0.006476855,1,0.00617284,0,0.006097789,0.00182806,31.66753381,3.178903926,24.02041097,0.342970246,0.43109128,0.131673172
UG143,44,0.571428571,0.186217001,-0.018495068,0.644171779,0.769736842,0.434210526,0.12967267,0.004952893,1,0.00617284,0,0.006097789,0.00288499,45.68812624,3.648019084,38.39852639,0.548265059,0.597863654,0.083996304
UG144,38,0.493506494,0.134426679,-0.022778245,0.766871166,0.873684211,0.513157895,0.150165573,0.004958618,1,0.00617284,0,0.006097789,0.002045785,60.1062409,3.510991464,33.48144699,0.478057603,0.544942829,0.0932095
UG145,63,0.818181818,0.677434733,-0.005120084,0.067484663,0.867690058,0.184210526,0.129619227,0.028289734,1,0.00617284,0.001728173,0.006097789,0.006406674,31.77293366,3.803625399,44.86353827,0.640574333,0.613109175,0.117138534
UG146,49,0.636363636,0.271865364,-0.014859891,0.54601227,0.8125,0.368421053,0.128533042,0.007836991,1,0.00617284,0,0.006097789,0.004802771,30.39161265,3.692729547,40.15430056,0.573334501,0.625277491,0.081671452
UG147,51,0.662337662,0.301274522,-0.0137005,0.515337423,0.763157895,0.342105263,0.118834305,0.007948079,1,0.00617284,0,0.006097789,0.003311334,44.83792306,3.765781181,43.1974377,0.616785276,0.613944629,0.096156665
UG148,27,0.350649351,0.097065121,-0.033442033,0.877300613,0.918421053,0.657894737,0.200004061,0.005242452,1,0.00617284,0,0.006097789,0.001514002,49.07297587,3.152910341,23.40407941,0.334170089,0.397355809,0.113176139
UG149,31,0.402597403,0.114843443,-0.028553437,0.840490798,0.837719298,0.605263158,0.157592913,0.004551202,1,0.00617284,0,0.006097789,0.001603667,63.28727824,3.363882019,28.90116828,0.412659084,0.461093208,0.093504904
UG15,36,0.467532468,0.196954073,-0.022306831,0.791411043,0.860526316,0.539473684,0.166739663,0.009015552,1,0.00617284,0,0.006097789,0.002067743,40.51814213,3.40322334,30.06084036,0.429217211,0.46660683,0.153301465
UG150,46,0.597402597,0.392052473,-0.013216251,0.625766871,0.972587719,0.407894737,0.329832448,0.066825125,1,0.00617284,0,0.006097789,0.003584544,29.44281976,3.074652751,21.64236531,0.309015835,0.507855302,0.258623042
UG155,24,0.311688312,0.062985819,-0.039042258,0.926380368,0.835526316,0.697368421,0.180845846,0.002793644,1,0.00617284,0,0.006097789,0.001191585,103.8436113,3.141804159,23.14558754,0.330479268,0.363807635,0.061458162
UG158,25,0.324675325,0.079776317,-0.036808947,0.920245399,0.868421053,0.684210526,0.185176324,0.003730818,1,0.00617284,0,0.006097789,0.001416437,47.01412189,3.144580197,23.20992983,0.331397966,0.378350686,0.089020106
UG161,56,0.727272727,0.303727355,-0.01243344,0.325153374,0.856907895,0.276315789,0.127932863,0.009837797,1,0.00617284,0,0.006097789,0.003192352,57.26125071,3.800285726,44.71395862,0.638438593,0.630128121,0.100335924
UG162,54,0.701298701,0.48084483,-0.009613985,0.398773006,0.868421053,0.302631579,0.154993064,0.01748271,1,0.00617284,0,0.006097789,0.007631308,23.60105413,3.606793604,36.84771484,0.526122131,0.57861637,0.117085869
UG164,56,0.727272727,1.261915722,0.004677066,0.294478528,0.796826625,0.276315789,0.133403022,0.036277164,1,0.00617284,0.03189919,0.006097789,0.017515894,15.50142982,3.709864457,40.84826946,0.583243185,0.609494905,0.115606661
UG165,58,0.753246753,0.472964752,-0.009086815,0.233128834,0.851503759,0.25,0.149862594,0.017313151,1,0.00617284,0,0.006097789,0.005680516,30.75281992,3.686531639,39.90619755,0.569792015,0.596868478,0.125163372
UG166,53,0.688311688,1.449508126,0.008481285,0.417177914,0.833755061,0.315789474,0.152142901,0.047508164,1,0.00617284,0.073231323,0.006097789,0.022317396,13.25714835,3.570768807,35.54390905,0.507506022,0.580669994,0.137818105
UG168,57,0.74025974,0.913082035,-0.001524877,0.26993865,0.963283208,0.263157895,0.279488028,0.077650578,1,0.00617284,0.003744374,0.006097789,0.011925667,18.21778781,3.256364508,25.95500618,0.370592945,0.521860252,0.218639388
UG171,53,0.688311688,0.346934337,-0.012321994,0.441717791,0.834795322,0.315789474,0.143544276,0.013582838,1,0.00617284,0,0.006097789,0.004288088,35.65238978,3.677498186,39.54733012,0.564668004,0.614303015,0.10971341
UG172,39,0.506493506,0.646045176,-0.009075765,0.717791411,0.991286162,0.5,0.607789166,0.199037478,1,0.00617284,0,0.006097789,0.008585014,12.93067364,1.859825808,6.422617903,0.091703961,0.252610842,0.494747741
UG173,29,0.376623377,0.096843865,-0.031143315,0.846625767,0.815789474,0.631578947,0.168431205,0.003839781,1,0.00617284,0,0.006097789,0.001920762,35.25186002,3.278874618,26.54588164,0.379029633,0.474698397,0.086591416
UG174,22,0.285714286,0.085531564,-0.041566747,0.950920245,0.950657895,0.723684211,0.281882328,0.007435222,1,0.00617284,0,0.006097789,0.001688617,21.80458773,2.770973881,15.97418339,0.228083924,0.333829119,0.157123918
UG176,54,0.701298701,0.94886558,-0.000946934,0.380368098,0.89502924,0.302631579,0.157305109,0.038680737,1,0.00617284,0.00489649,0.006097789,0.013029943,16.75176716,3.597472865,36.50586252,0.521241067,0.590013843,0.139478701
