Samples,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,resource.range,species.specificity.index,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.generality,proportional.similarity,d
UG30,52,0.675324675,0.305591023,-0.013354019,0.466257669,0.898026316,0.328947368,0.158047823,0.012507757,1,0.00617284,0,0.006097789,0.003524978,40.87054546,3.663662502,39.00393357,0.556909234,0.586830984,0.122663803
UG31,29,0.376623377,0.086357079,-0.031504928,0.858895706,0.846491228,0.631578947,0.165942198,0.003476596,1,0.00617284,0,0.006097789,0.00164323,55.95768744,3.295483597,26.99046341,0.385377497,0.447959015,0.074552896
UG34,66,0.857142857,0.78235501,-0.003297651,0.006134969,0.807275542,0.144736842,0.112195083,0.020201795,1,0.00617284,0.005040504,0.006097789,0.008079224,28.11174977,3.911361105,49.96691591,0.713441808,0.633653047,0.097135394
UG36,55,0.714285714,0.516748869,-0.008786384,0.349693252,0.896929825,0.289473684,0.172288139,0.027022322,1,0.00617284,0,0.006097789,0.004875281,29.78390793,3.601181831,36.64151296,0.523177922,0.545757289,0.164706177
UG40,36,0.467532468,0.134892314,-0.024030769,0.785276074,0.872807018,0.539473684,0.174287789,0.005626407,1,0.00617284,0,0.006097789,0.002656988,34.01816295,3.368330112,29.0300097,0.414498718,0.556935321,0.105984991
UG42,31,0.402597403,0.156223743,-0.027218589,0.834355828,0.947368421,0.605263158,0.246700718,0.01260422,1,0.00617284,0,0.006097789,0.002087546,29.3889884,3.070722338,21.55746884,0.307803659,0.413869984,0.187552703
UG45,37,0.480519481,0.197352774,-0.021693168,0.773006135,0.912955466,0.526315789,0.19229656,0.009457005,1,0.00617284,0,0.006097789,0.004179968,21.43651123,3.289619668,26.8326564,0.383124284,0.507682677,0.13088902
UG49,59,0.766233766,0.778312927,-0.003757408,0.141104294,0.772807018,0.236842105,0.11703567,0.019697985,1,0.00617284,0,0.006097789,0.008997001,23.09825038,3.813715755,45.31851891,0.647070676,0.630941016,0.104638701
UG5,48,0.623376623,0.616599812,-0.007987504,0.564417178,0.91622807,0.381578947,0.186163998,0.025058645,1,0.00617284,0,0.006097789,0.007218753,18.88392876,3.427869535,30.81093115,0.43992722,0.512322633,0.166944006
UG55,43,0.558441558,0.28955617,-0.01652195,0.668711656,0.877819549,0.447368421,0.151006478,0.013884406,1,0.00617284,0,0.006097789,0.002482949,45.00583641,3.568830115,35.47506713,0.506523077,0.553426431,0.151848715
UG65,61,0.792207792,0.738103451,-0.004293386,0.09202454,0.828375286,0.210526316,0.135551882,0.020855066,1,0.00617284,0,0.006097789,0.010530417,22.24562555,3.72668671,41.54124173,0.59313764,0.60824611,0.099200935
UG68,54,0.701298701,0.425325971,-0.010642112,0.404907975,0.809210526,0.302631579,0.126068345,0.011904517,1,0.00617284,0,0.006097789,0.006622083,25.54335392,3.754532028,42.71422606,0.609885843,0.664686722,0.082810137
UG73,60,0.779220779,1.341733536,0.005695559,0.122699387,0.864878543,0.223684211,0.142166122,0.044700207,1,0.00617284,0.166876688,0.006097789,0.018180427,16.74349237,3.692523407,40.146024,0.573216325,0.623631555,0.127192145
UG77,19,0.246753247,0.07172111,-0.048856784,0.987730061,0.868421053,0.763157895,0.213200716,0.004651264,1,0.00617284,0,0.006097789,0.000926214,66.34601405,2.902002313,18.21057216,0.260015718,0.273673773,0.103892838
UG81,58,0.753246753,0.469557881,-0.009145554,0.239263804,0.81937799,0.25,0.12629534,0.012854206,1,0.00617284,0,0.006097789,0.005164368,32.3447281,3.78909311,44.21628279,0.631332636,0.610283577,0.103604484
UG84,45,0.584415584,1.71519208,0.015893157,0.63803681,0.847368421,0.421052632,0.157195338,0.067642456,1,0.00617284,0.022754275,0.006097789,0.023754194,10.48492999,3.529204393,34.09682915,0.486844204,0.582201027,0.180282101
UG89,31,0.402597403,0.158801256,-0.027135443,0.828220859,0.963157895,0.605263158,0.281882328,0.017870287,1,0.00617284,0,0.006097789,0.002252376,27.79049294,3.01423408,20.37348051,0.290898337,0.448698345,0.192583037
UG92,64,0.831168831,0.563787409,-0.006815822,0.055214724,0.819736842,0.171052632,0.111752874,0.020319518,1,0.00617284,0,0.006097789,0.004650888,43.15411389,3.921080159,50.45491467,0.720409592,0.670016425,0.101107373
UG94,58,0.753246753,0.454296782,-0.009408676,0.226993865,0.80372807,0.25,0.121004482,0.011970778,1,0.00617284,0,0.006097789,0.006732973,28.34550832,3.795537713,44.50215937,0.635414463,0.628186073,0.083372705
UG97,33,0.428571429,0.164543058,-0.025316877,0.82208589,0.949760766,0.578947368,0.23144852,0.012053784,1,0.00617284,0,0.006097789,0.001994067,37.37216434,3.201177956,24.56144546,0.35069529,0.439132157,0.166600157
UG99,57,0.74025974,1.016010021,0.000280878,0.263803681,0.926065163,0.263157895,0.182664763,0.053420784,1,0.00617284,0.004320432,0.006097789,0.013136467,17.85222931,3.553643118,34.94037783,0.498888632,0.57864245,0.161887902
