Virus,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,species.specificity.index,resource.range,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.similarity,proportional.generality,
CmV,164,0.867724868,3.921895412,0.017816435,0,0.964685887,0.183270775,0.132978723,1,1,0.016507937,0.00465707,0.015403129,0.013112935,49.80354758,4.092173984,59.86990652,0.637547465,0.56062856,0.108305116
SPSMV-1,164,0.867724868,3.823279341,0.017215118,0.015625,0.95988163,0.166701239,0.132978723,1,1,0.016507937,0.00381033,0.015403129,0.012974224,51.12413966,4.153388338,63.64930069,0.671975813,0.596019233,0.090387454
SPVG,160,0.846560847,4.201979668,0.020012373,0.03125,0.92900982,0.137205977,0.154255319,1,1,0.016507937,0,0.015403129,0.012876289,51.10130204,4.294527556,73.29757724,0.63704719,0.686366783,0.104944593
SPFMV,158,0.835978836,4.097198821,0.019602524,0.046875,0.958094654,0.177150292,0.164893617,1,1,0.016507937,0.00338696,0.015403129,0.013564127,45.94963079,4.080019282,59.14661029,0.698730921,0.553855532,0.081668341
SPPV,157,0.830687831,4.107809339,0.019794964,0.0625,0.955569462,0.156882346,0.170212766,1,1,0.016507937,0.008467401,0.015403129,0.013514539,47.11792874,4.169642608,64.69232747,0.638999612,0.605786254,0.102061609
SPV2,153,0.80952381,5.128262784,0.02698211,0.078125,0.976749868,0.215995949,0.191489362,1,1,0.016507937,0.089331075,0.015403129,0.014794911,42.4267353,3.911898394,49.99376982,0.542629512,0.468147301,0.200575384
BSV,151,0.798941799,5.436510532,0.029380864,0.140625,0.936114805,0.148884672,0.20212766,1,1,0.016507937,0.033022862,0.015403129,0.014283295,44.93843819,4.217603391,67.87062988,0.565866014,0.635548236,0.161066142
CMV,151,0.798941799,4.753411946,0.024857033,0.125,0.981749817,0.25326576,0.20212766,1,1,0.016507937,0.100338696,0.015403129,0.014924632,41.45108834,3.71435572,41.0321424,0.494360304,0.384229611,0.240634662
SPC6V,151,0.798941799,4.452731205,0.02286577,0.09375,0.969491823,0.218610013,0.20212766,1,1,0.016507937,0.020321761,0.015403129,0.014508324,40.63024618,3.691167719,40.0916354,0.536312219,0.375422597,0.167730221
SPCV,151,0.798941799,4.152111133,0.020874908,0.15625,0.954496692,0.148686638,0.20212766,1,1,0.016507937,0.00592718,0.015403129,0.013238163,46.71538479,4.258667718,70.71570742,0.633572691,0.662189863,0.110032044
SPVCV,151,0.798941799,4.311058143,0.021927537,0.109375,0.981536711,0.250961259,0.20212766,1,1,0.016507937,0.00084674,0.015403129,0.013647719,41.40219241,3.740634586,42.12471344,0.532470115,0.39446057,0.193709667
SPMMV,150,0.793650794,5.071661786,0.027144412,0.171875,0.99435167,0.487329074,0.207446809,1,1,0.016507937,0.246824725,0.015403129,0.016409331,36.97933615,2.890760065,18.00699088,0.454942258,0.168619494,0.384226008
YMV,148,0.783068783,4.39303282,0.022925897,0.1875,0.936903888,0.124056482,0.218085106,1,1,0.016507937,0.047417443,0.015403129,0.011267976,55.390441,4.406736265,82.00139545,0.573638933,0.767870319,0.172047358
SPCSV,147,0.777777778,3.389233469,0.016253289,0.203125,0.982461762,0.25886036,0.223404255,1,1,0.016507937,0,0.015403129,0.012251544,46.14010944,3.787886148,44.16294762,0.561676162,0.413546824,0.145374569
SPVC,147,0.777777778,3.505464941,0.017043979,0.21875,0.936515612,0.139370997,0.223404255,1,1,0.016507937,0,0.015403129,0.012155693,47.61420407,4.257129231,70.60699583,0.66276493,0.661171875,0.099358406
SPGVaV,146,0.772486772,4.649071928,0.024993643,0.234375,0.965680971,0.186567048,0.228723404,1,1,0.016507937,0.00169348,0.015403129,0.013571876,41.96460605,3.970738563,53.02367769,0.580411144,0.496519701,0.170082067
SPVE,144,0.761904762,4.876218817,0.026918186,0.25,0.986086226,0.297471193,0.239361702,1,1,0.016507937,0.17442845,0.015403129,0.016277363,35.24618324,3.49754489,33.0342496,0.544477178,0.30933644,0.207063473
SPLCV,139,0.735449735,3.093847683,0.015063652,0.265625,0.967087766,0.185912004,0.265957447,1,1,0.016507937,0,0.015403129,0.01204969,43.20736609,4.001087052,54.65753333,0.649862593,0.511819309,0.105482192
IYVV,137,0.724867725,3.652353357,0.019360243,0.28125,0.926632428,0.122021609,0.276595745,1,1,0.016507937,0,0.015403129,0.012021508,46.00165789,4.330559821,75.98681368,0.545498063,0.711549097,0.164479037
