"AO-S001" "AO-S002" "AO-S003" "AO-S006" "AO-S007" "AO-S008" "AO-S009" "AO-S010" "AO-S011" "AO-S012" "AO-S013" "AO-S014" "AO-S015" "AO-S016" "AO-S017" "AO-S019" "AO-S020" "AO-S021" "AO-S022" "AO-S023" "AO-S024" "AO-S026" "AO-S027" "AO-S031" "AO-S032" "AO-S033" "AO-S034" "AO-S035" "AO-S036" "AO-S037" "AO-S038" "AO-S039" "AO-S040" "AO-S041" "AO-S042" "AO-S043" "AO-S044" "AO-S045" "AO-S046" "AO-S047" "AO-S048" "AO-S051" "AO-S052" "AO-S053" "AO-S056" "AO-S057" "AO-S058" "AO-S060" "AO-S061" "AO-S062" "AO-S063" "AO-S064" "AO-S065" "AO-S066" "AO-S067" "AO-S068" "AO-S069" "AO-S070" "AO-S071" "AO-S072" "AO-S073" "AO-S075" "AO-S076" "AO-S077" "AO-S078" "AO-S079" "AO-S080" "AO-S081" "AO-S082" "AO-S083" "AO-S084" "AO-S085" "AO-S086" "AO-S087" "AO-S088" "AO-S089" "AO-S090" "AO-S091" "AO-S092" "AO-S093" "AO-S094" "AO-S095" "AO-S096" "AO-S097" "AO-S098" "AO-S099" "AO-S100" "AO-S101" "AO-S102" "AO-S103" "AO-S104" "AO-S105" "AO-S107" "AO-S109" "AO-S110" "AO-S111" "AO-S112" "AO-S113" "AO-S118" "AO-S119" "AO-S120" "AO-S121" "AO-S122" "AO-S124" "AO-S125" "AO-S126" "AO-S127" "AO-S128" "AO-S129" "AO-S130" "AO-S131" "AO-S132" "AO-S133" "AO-S134" "AO-S135" "AO-S136" "AO-S137" "AO-S138" "AO-S139" "AO-S140" "AO-S141" "AO-S142" "AO-S143" "AO-S144" "AO-S145" "AO-S148" "AO-S149" "AO-S150" "AO-S151" "AO-S152" "AO-S153" "AO-S154" "AO-S156" "AO-S157" "AO-S158" "AO-S159" "AO-S160" "AO-S161" "AO-S162" "AO-S163" "AO-S164" "AO-S165" "AO-S166" "AO-S167" "AO-S168" "AO-S172" "AO-S178" "AO-S186" "AO-S187"
"SPC6V" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 14 5 0 0 8 6 3 1 0 2 1 18 0 0 0 3 2 0 0 0 2 37 2 6 5 0 2 0 2 12 1 1 53 0 3 28 1 6 4 0 5 0 1 0 10 11 12 2 4 0 7 19 6 21 0 0 1 0 3 5 5 3 0 1 0 0 1 0 0 34 0 2 43 0 0 4 0 117 9 4 50 1 1 1 9 15 0 2 101 1 0 11 5 0 3 2 132 0 0 12 1 3 4 1 124 2 8 0 0 0 7 4
"SPCFV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 5 1 11 0 0 5 1 0 13 1 20 1 1 10 0 0 2 2 13 1 4 2 3 2 1 4 2 0 2 1 0 6 5 1 10 16 4 11 1 2 9 4 18 12 2 11 2 0 1 5 46 2 3 44 4 1 7 0 45 4 3 1 0 2 9 17 51 9 7 33 0 1 14 2 3 1 2 11 1 15 6 5 4 4 3 4 0 0 3 1 5 3 2 0 14 6 0 3 0 4 4
"SPCSV" 0 0 0 3 1 4 6 25 4 3 1 1 1 24 8 7 6 6 37 4 2 18 9 1 3 3 35 7 1 1 7 0 2 1 6 5 3 5 11 2 6 1 6 6 3 7 3 1 12 2 18 3 10 45 4 1 2 2 6 4 1 5 2 1 6 5 8 8 2 12 1 3 4 2 22 3 2 2 0 3 6 3 45 15 2 20 9 0 16 5 50 4 2 26 3 0 3 3 52 7 2 27 2 1 9 5 19 7 4 22 4 1 9 1 2 2 2 46 1 8 14 4 8 4 1 20 2 3 3 3 3 4 2 21 3 2 6 3 6 8 7 157 4 5 1 4 18 5 2
"SPCV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 4 3 8 0 2 4 3 20 5 1 18 1 0 8 3 92 13 3 17 11 0 3 3 24 7 2 4 1 3 4 25 28 3 2 103 2 1 17 0 2 5 2 23 2 11 20 2 9 4 3 10 3 2 2 2 5 3 1 66 4 3 5 4 6 7 2 7 2 2 7 4 6 4 4 38 7 3 2 2 10 6 4
"SPFMV" 8 4 41 2 1 4 6 4 6 4 9 2 1 21 9 8 9 5 15 6 2 9 18 1 3 2 18 6 0 4 3 1 1 1 9 3 3 23 4 1 4 2 4 6 4 3 4 1 5 4 3 3 8 14 2 2 3 1 10 2 1 3 0 1 7 2 36 4 1 43 2 1 4 3 70 2 2 16 2 0 4 2 64 18 3 5 4 1 11 10 14 9 3 27 2 1 7 3 3 5 1 224 1 9 26 2 9 5 3 5 2 3 2 2 3 3 2 22 4 2 4 4 11 5 1 14 2 3 6 5 10 3 1 3 4 1 13 3 5 5 14 105 15 26 2 3 15 8 4
"SPGVaV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 3 4 77 2 1 7 1 3 4 1 3 4 3 111 3 2 3 3 7 3 2 5 2 2 6 3 15 3 1 7 5 2 10 3 5 2 7 5 4 13 14 2 7 3 7 44 8 76 1 2 12 6 1
"SPLCV" 0 0 0 0 0 0 0 0 0 1 4 2 2 17 3 6 7 2 28 4 2 42 5 1 2 6 13 6 1 3 5 0 1 2 1 5 3 5 1 2 4 1 5 4 5 3 1 1 6 4 10 2 7 64 8 0 3 2 28 1 1 29 3 0 6 2 37 8 1 13 2 1 3 9 15 4 3 20 1 2 9 1 5 13 4 30 4 8 31 4 6 7 4 7 1 1 1 7 9 4 2 62 3 1 15 1 11 5 2 3 2 7 3 3 13 3 1 3 6 1 9 3 8 3 2 9 7 19 10 4 7 5 5 4 3 32 10 2 6 6 3 70 5 74 1 3 6 9 4
"SPMMV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 6 3 2 7 1 2 4 2 8 3 2 21 2 0 4 1 29 1 15 43 16 0 1 1 7 2 1 5 1 1 6 6 11 10 3 54 2 1 7 1 2 2 1 19 0 17 14 2 11 20 2 7 3 1 3 2 3 5 1 10 3 2 3 6 15 15 1 56 3 1 13 1 8 4 1 2 5 2 6 3 4 4 3 5 7 6 9 4 7 4 2 31 4 85 5 2 6 3 1 5 2 18 8 3 3 6 11 114 7 45 1 2 7 9 3
"SPMV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 2 0 5 5 1 19 1 6 4 3 3 6 13 11 2 12 5 2 5 8 19 10 3 12 3 1 9 2 59 8 4 3 4 4 9 2 17 9 3 6 51 6 236 4 45 1 2 18 4 4
"SPPV" 6 1 4 2 2 3 5 7 2 1 1 2 1 24 2 8 5 1 14 3 2 8 2 1 2 2 26 3 0 9 3 0 1 1 14 2 3 35 4 0 3 1 12 4 4 4 2 1 6 7 9 4 12 75 3 0 4 1 1 2 1 46 1 5 19 2 15 6 2 17 1 2 1 2 4 3 1 11 2 2 3 3 20 25 2 6 6 1 11 5 10 5 1 3 4 1 5 5 13 7 3 21 8 8 15 1 11 5 3 3 6 64 6 2 8 3 1 7 3 27 7 4 5 5 1 21 4 35 9 4 4 9 3 5 1 13 10 3 8 3 13 176 3 90 1 3 39 5 2
"SPSMV-1" 4 1 2 2 1 3 2 5 4 0 4 1 1 16 1 6 7 2 16 2 2 54 7 0 2 3 60 3 1 13 5 0 1 0 10 3 4 6 2 1 3 4 6 6 8 28 4 0 13 2 1 1 5 122 1 5 5 2 5 2 1 10 1 1 3 2 6 4 1 45 2 2 2 3 13 4 1 3 1 2 5 3 24 15 2 3 12 1 18 4 7 5 2 4 6 11 6 6 16 10 2 21 5 41 11 1 11 4 1 4 3 44 7 3 4 5 3 9 4 18 7 4 5 9 1 12 2 25 8 3 11 2 3 8 1 29 7 4 16 5 6 86 5 27 1 3 9 5 3
"SPV2" 0 0 0 5 1 1 1 2 3 1 1 0 1 103 1 1 2 2 72 3 1 138 14 0 1 3 30 7 1 0 1 0 1 6 2 4 6 21 4 1 0 1 0 4 1 57 1 3 12 1 3 2 0 11 0 1 1 1 2 2 1 48 2 1 3 2 56 6 1 14 1 2 2 3 13 2 1 3 2 2 7 3 16 17 3 4 15 7 6 5 8 7 1 2 3 47 5 2 18 1 1 22 3 29 11 11 4 6 2 4 6 25 14 2 4 7 3 6 2 12 6 3 11 3 2 12 2 60 8 4 16 3 1 4 2 8 12 3 3 4 4 21 13 11 2 3 9 2 6
"SPVC" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 130 8 3 0 0 1 1 5 19 5 1 0 1 0 1 0 1 2 2 44 1 7 8 2 2 3 3 7 2 1 2 1 1 2 10 28 5 1 1 2 4 3 1 6 2 1 5 2 15 3 1 6 3 1 2 2 12 2 3 2 3 8 9 4 17 22 2 3 19 37 6 3 8 5 1 4 2 24 4 7 5 11 3 69 3 17 12 1 5 13 2 3 2 18 4 2 9 2 4 7 2 29 5 4 24 3 1 7 3 15 9 3 4 3 2 3 4 5 10 3 5 3 14 195 3 55 1 2 6 1 3
"SPVCV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 4 0 3 13 4 7 5 9 2 1 2 2 3 4 1 4 3 1 9 4 19 4 2 8 4 8 3 3 8 3 2 3 3 48 6 3 13 13 1 7 7 23 9 4 3 7 2 4 2 23 3 6 7 11 2 28 2 14 13 1 17 2 3 6 2 48 5 4 22 2 2 4 3 8 7 3 6 3 1 7 4 9 9 4 5 2 4 5 1 15 8 3 3 1 9 86 4 64 1 2 45 5 1
"SPVE" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 4 2 4 0 0 0 0 0 0 1 0 1 31 3 0 0 0 0 1 1 0 0 0 0 0 0 11 0 13 8 4 0 9 1 2 0 6 4 9 13 2 1 12 4 20 5 1 117 4 7 4 2 11 3 2 3 1 5 3 6 14 6 6 0 1 1 5 1 38 14 4 4 1 1 15 2 13 7 1 37 3 3 0 3 178 1 2 150 6 1
"SPVG" 0 0 0 2 0 31 4 1 7 1 1 1 2 1522 2 9 13 1 9 3 2 48 2 1 1 3 5 3 1 8 3 0 0 1 3 4 3 9 2 1 3 2 4 3 1 2 5 1 10 5 4 1 9 9 5 5 3 2 4 3 1 6 3 21 6 2 15 4 1 18 2 24 3 2 5 4 2 5 2 24 7 3 10 37 2 5 5 12 24 4 13 4 2 4 1 42 4 8 36 3 1 27 3 9 14 4 6 5 2 2 5 6 6 2 6 1 4 5 2 12 5 4 4 1 1 10 2 43 5 3 18 3 1 5 3 51 4 3 29 7 1 100 3 89 1 3 11 2 2
"TuMV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 3 12 1 0 1 3 5 0 0 0 0 0 0 6 5 0 1 0 4 2 0 10 1 1 0 1 7 5 2 4 3 2 7 1 11 1 2 4 4 4 3 1 22 0 1 0 12 5 20 2 15 4 6 15 4 2 1 1 28 0 5 4 1 1 0 8 5 28 1 0 2 3 2 0 33 9 3 0 0 3 4 1 20 5 1 30 1 0 16 2 64 1 3 41 3 0 2 1 14 0 2 5 1 0 0 43 34 1 6 0 8 2
"UPV1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 0 0 0 0 0 47 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"WMV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 12 0 0 6 0 1 0 0 0 0 4 0 0 4 1 3 4 0 32 1 1 111 2 54 11 1 0 1 0 4 1 0 2 5 5 2 0 4 0 0 5 7 17 0 17 3 2 0 5 4 38 0 0 0 1 8 0 3 13 3 1
"WTMV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 1 0 0 14 0 0 0 0 0 0 0 14 0 0 16 0 0 1 0 0 0 4 0 0 0 0 13 0 0 0 0 0 1 0 0 0 0 0 37 0 17 0 3 0 0 0 0 0 0 0 0 0 2 0 0 0 0
"YMV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 5 1 1 4 1 2 10 7 8 4 1 4 4 5 3 3 3 2 2 3 1 9 4 1 5 3 1 4 6 17 8 2 8 5 1 2 1 32 3 2 69 1 0 9 1 20 41 1 6 2 1 1 6 19 5 16 37 2 1 6 2 2 3 1 96 2 8 20 2 13 8 5 9 1 2 2 1 4 3 1 21 3 15 0 4 16 1 2 11 2 2
"ZTMV" 0 0 0 4 5 0 0 10 4 1 0 1 1 0 5 69 3 0 5 3 2 36 0 3 0 0 3 3 3 0 0 5 1 0 0 4 2 8 1 0 0 1 22 4 2 7 0 36 3 0 5 0 0 8 0 8 1 1 0 2 0 0 5 4 0 1 0 0 1 4 0 25 1 1 3 0 0 1 0 11 0 0 0 0 0 0 0 0 0 5 118 8 0 2 0 53 5 0 0 0 0 0 3 30 0 2 952 3 1 3 0 0 2 2 0 0 37 0 0 33 1 1 8 0 0 3 1 0 0 0 11 4 1 1 1 3 0 0 0 0 0 0 7 0 0 2 0 0 0
