Virus,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,species.specificity.index,resource.range,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.similarity,proportional.generality,d
CeMV,92,0.429906542,1.892950135,0.00970598,0.705128205,0.960680751,0.159378029,0.572769953,1,1,0,0,0.012658228,0.007053058,45.29214824,4.015679223,55.46095294,0.388097132,0.413299143,0.242607679
HBV-GD1,92,0.429906542,2.472692681,0.016007529,0.692307692,0.95134443,0.157722021,0.572769953,1,1,0,0,0.012658228,0.008333612,38.9108965,3.983702452,53.71554575,0.339439729,0.400292238,0.27161138
OYDV,91,0.425233645,1.670338995,0.007366363,0.730769231,0.974016513,0.198261116,0.577464789,1,1,0,0,0.012658228,0.008193174,37.98049804,3.841292171,46.58563216,0.439301516,0.347159593,0.201092946
WMV,91,0.425233645,2.838882106,0.020207496,0.717948718,0.97571205,0.200638543,0.577464789,1,1,0,0,0.012658228,0.009262264,33.88824551,3.793940296,44.43112762,0.361900963,0.331104065,0.305328522
PeMoV,84,0.392523364,2.364380321,0.016242623,0.743589744,0.988686216,0.327984695,0.610328638,1,1,0,0,0.012658228,0.009732273,31.73756048,3.200620008,24.54774529,0.256419966,0.182931622,0.423042351
PClSV,83,0.387850467,1.684398077,0.00824576,0.756410256,0.958789776,0.173005563,0.615023474,1,1,0,0,0.012658228,0.006553259,41.63738886,3.886730407,48.75122898,0.346125953,0.363297781,0.265800705
BBrMV,79,0.369158879,2.16609288,0.014760669,0.769230769,0.959552185,0.176410107,0.633802817,1,1,0,0,0.012658228,0.006080661,39.78585008,3.840246137,46.53692751,0.263014645,0.346796642,0.332446121
PiCV-1,71,0.331775701,1.913127108,0.012860945,0.782051282,0.97759283,0.216523166,0.671361502,1,1,0,0,0.012658228,0.006265098,32.70492365,3.613557022,37.09777599,0.246623435,0.276455383,0.352806046
PPV,71,0.331775701,1.941045908,0.013254168,0.794871795,0.938086854,0.153229503,0.671361502,1,1,0,0,0.012658228,0.005735863,35.47758237,3.867294024,47.81283049,0.276026033,0.356304766,0.299049111
GLRaV-10,68,0.317757009,1.397720986,0.005848838,0.820512821,0.933418694,0.140847553,0.685446009,1,1,0,0,0.012658228,0.004518417,42.75519082,3.953385078,52.11146998,0.262010298,0.388338547,0.280427503
ZTMV,68,0.317757009,1.482488307,0.007095416,0.807692308,0.964278424,0.182862432,0.685446009,1,1,0,0,0.012658228,0.00523134,36.60321855,3.722072321,41.34999584,0.251818234,0.308143242,0.320238221
PapMV,56,0.261682243,1.351122665,0.006270048,0.833333333,0.971021531,0.211257159,0.741784038,1,1,0,0,0.012658228,0.005501823,25.14651532,3.477211115,32.36932175,0.256774813,0.241218591,0.335816071
MWMV,55,0.257009346,1.343569349,0.006246715,0.846153846,0.987954664,0.314079295,0.746478873,1,1,0,0,0.012658228,0.009052649,18.25874609,3.077471011,21.70344516,0.289602234,0.161735686,0.3684763
PSbMV,54,0.252336449,2.099082435,0.020353378,0.858974359,0.980200041,0.269852111,0.751173709,1,1,0,0,0.012658228,0.005868341,21.68058832,3.189552767,24.27756729,0.188484887,0.180918235,0.474290471
HarMV,53,0.247663551,1.079085789,0.001492185,0.871794872,0.99049582,0.347742275,0.755868545,1,1,0,0,0.012658228,0.006529119,20.66121388,3.067843066,21.49548829,0.270387684,0.160185976,0.359180666
CarVY,51,0.238317757,1.152259032,0.002985471,0.884615385,0.971048513,0.241394101,0.765258216,1,1,0,0,0.012658228,0.005789158,21.12917404,3.275027324,26.44394801,0.264107726,0.197062266,0.32757403
FreMV,40,0.186915888,0.714982344,-0.007125441,0.897435897,0.951710262,0.190672039,0.816901408,1,1,0,0,0.012658228,0.002417183,32.37529993,3.437166269,31.09870781,0.123286389,0.231749881,0.327940232
PkMV,36,0.168224299,0.585864324,-0.011503769,0.91025641,0.971830986,0.227126588,0.835680751,1,1,0,0,0.012658228,0.003101388,20.53560726,3.219231164,25.00888505,0.181658721,0.18636807,0.307634156
PYMAV,34,0.158878505,0.584689908,-0.012215003,0.923076923,0.977934272,0.240032116,0.845070423,1,1,0,0,0.012658228,0.003564269,16.39788008,3.159005093,23.54715704,0.184017218,0.175475164,0.312256931
UPV1,31,0.144859813,0.907576012,-0.002981419,0.935897436,0.990930431,0.381229868,0.85915493,1,1,0,0,0.012658228,0.003919924,12.94515923,2.591516999,13.35000821,0.095985589,0.099485253,0.490985639
RuFDV,26,0.121495327,0.460492467,-0.02075029,0.948717949,0.980907668,0.276337851,0.882629108,1,1,0,0,0.012658228,0.002500787,13.95033998,2.881800167,17.84637073,0.107939924,0.132992481,0.3556788
BBWV-1,25,0.11682243,0.519887454,-0.019204502,0.961538462,0.986731986,0.336314897,0.887323944,1,1,0,0,0.012658228,0.002842607,11.6459877,2.632953787,13.91481064,0.111495812,0.103694203,0.40185734
PMNV,23,0.107476636,0.455598882,-0.023669614,0.974358974,0.976995305,0.270082599,0.896713615,1,1,0,0,0.012658228,0.00201687,13.85867747,2.839761656,17.11168659,0.082066158,0.12751756,0.375522278
WTMV,22,0.102803738,0.818373855,-0.008255734,0.987179487,0.994799567,0.503359508,0.901408451,1,1,0,0,0.012658228,0.004110456,7.406829025,2.021350625,7.548513263,0.071749403,0.056252082,0.587095079
PeAV,18,0.08411215,0.759572536,-0.013357081,1,0.992349157,0.432246401,0.920187793,1,1,0,0,0.012658228,0.002327161,7.77186872,2.17380986,8.791715517,0.041758293,0.065516517,0.558208575
