Virus,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,species.specificity.index,resource.range,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.similarity,proportional.generality,
SPCFV,119,0.862318841,2.50514185,0.012648251,0,0.931265207,0.149867874,0.138686131,1,1,0,0.038550058,0.012987013,0.01538294,49.40100346,4.101197807,60.41260689,0.655487347,0.62538643,0.087800642
CmV,118,0.855072464,2.495579842,0.012674405,0.013157895,0.938517687,0.153961798,0.145985401,1,1,0,0.0287687,0.012987013,0.015334057,49.33858733,4.079702024,59.12784855,0.644129813,0.612086715,0.108642867
SPFMV,117,0.847826087,2.378362422,0.011780875,0.026315789,0.965736368,0.200645602,0.153284672,1,1,0,0.02589183,0.012987013,0.01481236,49.03492634,3.956020731,52.24899893,0.621203756,0.540877419,0.109476072
SPCSV,116,0.84057971,2.240249588,0.010691807,0.052631579,0.956536165,0.19207545,0.160583942,1,1,0,0,0.012987013,0.013780971,49.98502193,3.990940986,54.10577819,0.65863681,0.560098648,0.084430907
SPVCV,116,0.84057971,2.335656975,0.011514284,0.039473684,0.935796216,0.151363682,0.160583942,1,1,0,0.02013809,0.012987013,0.015163135,48.60730731,4.117506495,61.4059352,0.657341061,0.635669285,0.085383415
SPGVaV,115,0.833333333,2.310543414,0.01139603,0.065789474,0.96262132,0.224264872,0.167883212,1,1,0,0.04027618,0.012987013,0.016677927,43.97995439,3.768585151,43.31873201,0.614766429,0.448432017,0.117242044
SPLCV,114,0.826086957,2.079899799,0.009472805,0.078947368,0.96350365,0.186435426,0.175182482,1,1,0,0.001150748,0.012987013,0.01404127,50.06185604,4.037390412,56.6782428,0.690347815,0.586728594,0.075122363
BgV,113,0.81884058,2.126922289,0.009972764,0.092105263,0.891780387,0.113211808,0.182481752,1,1,0,0,0.012987013,0.012355463,56.14422099,4.297382527,73.50713874,0.671293979,0.760939967,0.083705783
PVY,112,0.811594203,2.505038553,0.013437844,0.144736842,0.914620659,0.124806057,0.189781022,1,1,0,0.001150748,0.012987013,0.013678351,50.05280353,4.228853684,68.63850565,0.65828845,0.71054027,0.090764371
SPMV,112,0.811594203,2.202682436,0.010738236,0.157894737,0.915085158,0.113472587,0.189781022,1,1,0,0,0.012987013,0.012507519,53.65696359,4.321718728,75.31796818,0.670388292,0.779685527,0.0809053
SPV2,112,0.811594203,2.28407693,0.011464973,0.105263158,0.969136782,0.214283023,0.189781022,1,1,0,0.032220944,0.012987013,0.014679214,45.88622477,3.895061835,49.15909303,0.627078699,0.508890963,0.11049006
SPVE,112,0.811594203,2.256005357,0.011214334,0.131578947,0.918721641,0.128526427,0.189781022,1,1,0,0.00863061,0.012987013,0.014852273,47.86436856,4.198558461,66.59026938,0.683466178,0.689337093,0.076449319
SPYMV,112,0.811594203,2.395562226,0.012460377,0.118421053,0.926651237,0.145620272,0.189781022,1,1,0,0,0.012987013,0.014297474,47.59890845,4.141983326,62.92750352,0.633023994,0.651420437,0.096801812
SPCV,111,0.804347826,2.240884551,0.01117914,0.184210526,0.842851009,0.095207993,0.197080292,1,1,0,0,0.012987013,0.012658411,52.44072194,4.386178312,80.33282458,0.700438556,0.831598916,0.07266005
SPMMV,111,0.804347826,2.15057733,0.010365562,0.171052632,0.944585133,0.158288632,0.197080292,1,1,0,0.015535098,0.012987013,0.014071587,49.15784496,4.095604958,60.0756714,0.661209569,0.621898501,0.097050396
BCMV,110,0.797101449,2.460104227,0.013273675,0.236842105,0.920750782,0.135582255,0.204379562,1,1,0,0.019562716,0.012987013,0.014110278,48.8854508,4.166144409,64.46641619,0.606401124,0.667351137,0.108968839
