Virus,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,species.specificity.index,resource.range,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.similarity,proportional.generality,
CMV,110,0.797101449,2.483986254,0.013490784,0.197368421,0.942118069,0.178483837,0.204379562,1,1,0,0.004027618,0.012987013,0.015532109,43.15290316,3.917748458,50.28709372,0.600497362,0.520567935,0.126204335
IYVV,110,0.797101449,2.173178425,0.010665258,0.223684211,0.921167883,0.147312918,0.204379562,1,1,0,0.021576525,0.012987013,0.015072786,45.09026208,4.056685,57.78244444,0.665636296,0.598159201,0.083879694
SPPV,110,0.797101449,2.177176597,0.010701605,0.25,0.883211679,0.113522593,0.204379562,1,1,0,0,0.012987013,0.013786001,49.44122658,4.283205894,72.47240686,0.690282759,0.750228506,0.073309186
SPVY,110,0.797101449,2.232439075,0.011203992,0.210526316,0.933698297,0.153960004,0.204379562,1,1,0,0,0.012987013,0.015005021,44.42456683,4.06334791,58.16872912,0.641109444,0.602157988,0.098800497
SPSMV-1,109,0.789855072,2.198657293,0.010996856,0.263157895,0.889728884,0.123524807,0.211678832,1,1,0,0,0.012987013,0.014565054,45.67626844,4.204354571,66.97735456,0.712321568,0.693344168,0.061859907
SPVC,109,0.789855072,2.301734778,0.011942521,0.276315789,0.943393416,0.153898349,0.211678832,1,1,0,0.000575374,0.012987013,0.014032807,47.12902453,4.101266004,60.41672704,0.66476473,0.625429081,0.090264648
SPVG,108,0.782608696,2.193335997,0.011049407,0.289473684,0.968791896,0.217147194,0.218978102,1,1,0,0.036823936,0.012987013,0.015890697,41.57065202,3.847811149,46.89031493,0.601203555,0.485404755,0.125371762
ToBlV1,108,0.782608696,2.172443279,0.010855956,0.315789474,0.854014599,0.106753434,0.218978102,1,1,0,0,0.012987013,0.014145984,47.05690778,4.274926853,71.87488167,0.662636678,0.744042973,0.084623327
YMV,108,0.782608696,2.375070767,0.012732137,0.302631579,0.927381621,0.141492043,0.218978102,1,1,0,0,0.012987013,0.013729035,46.56166872,4.101646247,60.43970443,0.619176814,0.625666942,0.125645208
BSV,107,0.775362319,2.15358619,0.010781179,0.342105263,0.964258747,0.232953397,0.226277372,1,1,0,0.068469505,0.012987013,0.016440887,41.15077494,3.628903479,37.67148638,0.557208446,0.389972186,0.17633695
FBV-1,107,0.775362319,2.15289745,0.010774743,0.355263158,0.864963504,0.103105957,0.226277372,1,1,0,0,0.012987013,0.011730422,52.44307205,4.332301648,76.11928487,0.663034038,0.787980693,0.09448942
SPBgV,107,0.775362319,2.736603131,0.016229936,0.328947368,0.966306048,0.243288595,0.226277372,1,1,0,0.144994246,0.012987013,0.017838596,37.02890917,3.538115877,34.4020404,0.516187113,0.356127145,0.206127681
SPC6V,106,0.768115942,2.053732842,0.009940876,0.368421053,0.875182482,0.118616302,0.233576642,1,1,0,0,0.012987013,0.012315522,50.44826596,4.237274204,69.21891784,0.624463829,0.71654865,0.092646031
MeLCV,104,0.753623188,2.232944915,0.01185524,0.381578947,0.950553332,0.175656905,0.248175182,1,1,0,0.005178366,0.012987013,0.015256102,40.76249764,3.899078502,49.3569458,0.628760262,0.510939119,0.110939387
DBV,103,0.746376812,1.955935668,0.009280929,0.407894737,0.896483079,0.12475385,0.255474453,1,1,0,0,0.012987013,0.011794811,50.92004092,4.168461001,64.6159317,0.564799157,0.668898909,0.128888304
OYDV,103,0.746376812,1.979491319,0.009509624,0.394736842,0.90486618,0.135374889,0.255474453,1,1,0,0.006904488,0.012987013,0.014279868,43.48855925,4.082516138,59.29447542,0.635145757,0.613811623,0.098983236
MWMV,102,0.739130435,2.161093014,0.011383265,0.421052632,0.970114309,0.234794406,0.262773723,1,1,0,0.020425777,0.012987013,0.016652989,37.20114145,3.636423739,37.95585369,0.552800488,0.392915934,0.163163347
CLNV,99,0.717391304,2.826783462,0.018452358,0.434210526,0.989503969,0.420410884,0.284671533,1,1,0,0.292865362,0.012987013,0.017642055,32.1263246,2.930522277,18.73741406,0.430772186,0.193968198,0.400014724
CSSV,97,0.702898551,1.921042814,0.009495287,0.447368421,0.925594537,0.141472858,0.299270073,1,1,0,0,0.012987013,0.012063849,44.68259225,4.073516152,58.76322018,0.618237634,0.608312112,0.113818076
BYMV,94,0.68115942,1.971112702,0.010330986,0.473684211,0.955766423,0.179999117,0.321167883,1,1,0,0,0.012987013,0.012206367,41.90279716,3.889504049,48.88663516,0.543535361,0.506070501,0.160404561
CsVC,94,0.68115942,2.078245085,0.011470692,0.460526316,0.972135326,0.29271673,0.321167883,1,1,0,0.01438435,0.012987013,0.016456564,31.11834461,3.22193489,25.07659372,0.485368731,0.259590874,0.221254553
SCBV,93,0.673913043,2.081462259,0.011628626,0.486842105,0.902773723,0.157276416,0.328467153,1,1,0,0,0.012987013,0.012537535,40.78919348,3.909206972,49.8593964,0.491470475,0.516140447,0.205051313
PiCV-1,92,0.666666667,1.465408545,0.005058789,0.5,0.920703384,0.150676393,0.335766423,1,1,0,0,0.012987013,0.009752604,50.62130191,4.018355332,55.6095713,0.556950385,0.575665793,0.138239968
PRSV,81,0.586956522,1.858852248,0.010603114,0.513157895,0.972568872,0.246801909,0.416058394,1,1,0,0,0.012987013,0.011288703,36.85769624,3.538284209,34.40783185,0.414260753,0.356187098,0.283349019
PClSV,80,0.579710145,2.046319768,0.013078997,0.526315789,0.968471208,0.246826701,0.423357664,1,1,0,0,0.012987013,0.012758679,30.79143263,3.460474434,31.83207514,0.470689705,0.329523072,0.263007065
LMV,77,0.557971014,1.431004106,0.005597456,0.539473684,0.977866729,0.257531006,0.445255474,1,1,0,0,0.012987013,0.009272993,38.03093602,3.646065301,38.32357725,0.481693685,0.396722578,0.168739088
TuMV,77,0.557971014,1.585019838,0.00759766,0.552631579,0.925680159,0.163269355,0.445255474,1,1,0,0,0.012987013,0.009555236,38.49747127,3.852280728,47.10036396,0.476166195,0.487579166,0.219332377
CABMV,76,0.550724638,1.545867004,0.007182461,0.565789474,0.922952149,0.142690162,0.452554745,1,1,0,0,0.012987013,0.008116283,43.14676401,3.977505933,53.38372548,0.439393429,0.552624017,0.202683352
PhlVB,73,0.528985507,1.569648427,0.007803403,0.578947368,0.96841662,0.224612682,0.474452555,1,1,0,0,0.012987013,0.01029989,32.31938517,3.575353199,35.70723035,0.439329914,0.369638366,0.241264125
CHPV,72,0.52173913,1.625567698,0.00868844,0.605263158,0.945711679,0.19815617,0.481751825,1,1,0,0,0.012987013,0.009867437,32.12594686,3.634203899,37.87169122,0.460390874,0.39204469,0.203635728
PVA,72,0.52173913,2.199421163,0.016658627,0.592105263,0.983978721,0.328357152,0.481751825,1,1,0,0.050057537,0.012987013,0.012619987,26.41044472,3.216498857,24.94064638,0.371456156,0.258183558,0.354121214
ToLCPaV,70,0.507246377,2.067958316,0.015256547,0.618421053,0.980507631,0.307178295,0.496350365,1,1,0,0.00287687,0.012987013,0.011542592,27.50476199,3.201799218,24.5767093,0.367712688,0.254416111,0.365253621
CarVY,67,0.485507246,1.238999884,0.003567162,0.631578947,0.984857897,0.338127458,0.518248175,1,1,0,0.001726122,0.012987013,0.011675952,27.37837839,3.186653171,24.20727412,0.431853201,0.250591748,0.273872503
NoMV,66,0.47826087,1.472418346,0.007157854,0.644736842,0.949530761,0.186060404,0.525547445,1,1,0,0,0.012987013,0.010392789,27.41754131,3.635684364,37.92780043,0.437022401,0.392625529,0.22957468
PtV,66,0.47826087,1.261226305,0.003957974,0.657894737,0.946472019,0.174569335,0.525547445,1,1,0,0,0.012987013,0.007843509,34.38811247,3.751108888,42.56825927,0.452215215,0.440663184,0.190487363
CoSMV,64,0.463768116,2.015985218,0.015874769,0.671052632,0.979906504,0.330207984,0.540145985,1,1,0,0.00863061,0.012987013,0.012766344,23.51665805,3.058701053,21.29987178,0.338686327,0.220494553,0.389269992
GLRaV-1,64,0.463768116,1.368653836,0.005760216,0.684210526,0.985326978,0.347861583,0.540145985,1,1,0,0,0.012987013,0.011168843,25.16238817,3.101245957,22.22562622,0.397620282,0.230077889,0.300926046
CatMV,63,0.456521739,1.240056906,0.003810427,0.697368421,0.920476373,0.167927272,0.547445255,1,1,0,0,0.012987013,0.008794965,28.96499436,3.703624264,40.59416204,0.483171853,0.420227489,0.190970352
HBV-GD1,63,0.456521739,1.198129053,0.003144906,0.710526316,0.927866037,0.1548761,0.547445255,1,1,0,0,0.012987013,0.007424133,33.6747748,3.796546962,44.54709578,0.424871052,0.46114794,0.195998877
SPLV,62,0.449275362,1.458937509,0.007402218,0.723684211,0.9661239,0.233300296,0.554744526,1,1,0,0,0.012987013,0.00867158,28.72088983,3.442165079,31.25455356,0.376230065,0.323544616,0.268437025
WMV,62,0.449275362,1.184232177,0.002971487,0.736842105,0.933877201,0.174219953,0.554744526,1,1,0,0,0.012987013,0.00687619,34.95918286,3.695299345,40.25762172,0.403660401,0.41674365,0.229414744
HarMV,61,0.442028986,1.777634183,0.012748101,0.75,0.981107772,0.314376776,0.562043796,1,1,0,0,0.012987013,0.011758413,20.9026015,3.05382512,21.19626782,0.366793546,0.219422053,0.362602698
PenMV,61,0.442028986,1.179397945,0.00294095,0.763157895,0.940145985,0.180962815,0.562043796,1,1,0,0,0.012987013,0.007508007,31.9004929,3.67520814,39.45686855,0.399172786,0.408454318,0.234442948
CeMV,58,0.420289855,1.430720382,0.007426213,0.776315789,0.953396968,0.191698235,0.583941606,1,1,0,0,0.012987013,0.007545799,28.23631942,3.584467886,36.03417832,0.354869871,0.373022905,0.288323646
LPV,58,0.420289855,1.174135521,0.003002337,0.789473684,0.899270073,0.145645702,0.583941606,1,1,0,0,0.012987013,0.006007035,35.12457086,3.794052539,44.43611495,0.402198274,0.459999075,0.214085274
CaYMV,57,0.413043478,2.267955442,0.022244832,0.815789474,0.98540146,0.381047442,0.591240876,1,1,0,0.079401611,0.012987013,0.011384649,20.53720007,2.821770782,16.80658513,0.334289617,0.173980413,0.482824577
PapMV,57,0.413043478,1.811524204,0.014237267,0.802631579,0.987605937,0.409697175,0.591240876,1,1,0,0.009205984,0.012987013,0.013819563,18.13799634,2.604379932,13.52283762,0.308578574,0.139987323,0.456751373
SCMV,55,0.398550725,1.358797921,0.006523599,0.828947368,0.97323601,0.268399694,0.605839416,1,1,0,0,0.012987013,0.008732669,23.27386967,3.229921535,25.27767348,0.333621845,0.261672435,0.314242917
SPVF,55,0.398550725,0.967308861,-0.000594384,0.842105263,0.932481752,0.188534889,0.605839416,1,1,0,0,0.012987013,0.006907472,29.03211048,3.547215344,34.71650922,0.38729079,0.359382501,0.221227727
PeMoV,52,0.376811594,0.800855513,-0.003829702,0.868421053,0.917883212,0.156126514,0.627737226,1,1,0,0,0.012987013,0.004246834,44.94012936,3.712873568,40.97137154,0.334408325,0.424132331,0.220424683
PYMAV,52,0.376811594,1.268082499,0.005155433,0.855263158,0.960800216,0.236565791,0.627737226,1,1,0,0,0.012987013,0.00706859,25.33029394,3.331775752,27.98799735,0.282503001,0.289729489,0.33987116
BBWV-1,49,0.355072464,0.969466281,-0.000623137,0.881578947,0.965241571,0.236199564,0.649635036,1,1,0,0,0.012987013,0.005216418,30.6405264,3.372150212,29.14111932,0.27338332,0.301666515,0.309550887
BBrMV,47,0.34057971,1.308549469,0.006564882,0.894736842,0.980121137,0.298174594,0.664233577,1,1,0,0,0.012987013,0.007109999,21.07057428,3.112691721,22.48147689,0.277993793,0.232726434,0.3492956
PSbMV,46,0.333333333,1.027872122,0.000605916,0.921052632,0.877128954,0.162473424,0.671532847,1,1,0,0,0.012987013,0.004599576,30.59650304,3.589073907,36.20053533,0.250804649,0.37474502,0.276647849
ZTMV,46,0.333333333,1.50387509,0.010953806,0.907894737,0.980249034,0.331803394,0.671532847,1,1,0,0,0.012987013,0.007816841,19.35966771,2.847069963,17.23720214,0.221625269,0.178438125,0.470102917
PPV,43,0.311594203,0.986377002,-0.000316814,0.934210526,0.944974733,0.192171813,0.693430657,1,1,0,0,0.012987013,0.004761851,25.75549574,3.436286483,31.07135963,0.253197135,0.321648207,0.31179528
GLRaV-10,37,0.268115942,0.765029312,-0.006350559,0.947368421,0.970455335,0.287902591,0.737226277,1,1,0,0,0.012987013,0.004762589,20.18979829,3.015178873,20.39273833,0.22383091,0.211103981,0.336882038
PkMV,37,0.268115942,0.641940778,-0.009677276,0.960526316,0.963047445,0.242394093,0.737226277,1,1,0,0,0.012987013,0.004492997,21.84259508,3.149598372,23.32669404,0.237320101,0.241476054,0.297161948
RuFDV,24,0.173913043,0.537408521,-0.019274645,0.973684211,0.95620438,0.258735853,0.832116788,1,1,0,0,0.012987013,0.003688362,11.96076225,2.853297811,17.34488779,0.15448104,0.179552878,0.347446976
PMNV,22,0.15942029,0.392528657,-0.027612334,0.986842105,0.959854015,0.266327492,0.846715328,1,1,0,0,0.012987013,0.002598296,14.38665639,2.803032544,16.49459158,0.129214358,0.170750681,0.331019936
UPV1,20,0.144927536,0.416592839,-0.029170358,1,0.982481752,0.343205743,0.861313869,1,1,0,0,0.012987013,0.002534403,12.11977436,2.549299078,12.79813015,0.107062213,0.13248521,0.367676716
