"degree" "normalised.degree" "species.strength" "interaction.push.pull" "nestedrank" "PDI" "resource.range" "species.specificity.index" "PSI" "node.specialisation.index.NSI" "betweenness" "weighted.betweenness" "closeness" "weighted.closeness" "Fisher.alpha" "partner.diversity" "effective.partners" "proportional.generality" "proportional.similarity" "d"
"NI-S007" 26 0.412698412698413 7.78218720036442 0.26085335386017 0.75 0.901209677419355 0.596774193548387 0.219054760132563 0.362912824281573 1 0 0 0.111111111111111 0.0182986246758641 18.4728425430069 2.99999320599704 20.0854004624538 0.722623590096523 0.268622375611159 0.525505124500582
"NI-S008" 25 0.396825396825397 5.36275652875642 0.174510261150257 0.875 0.920161290322581 0.612903225806452 0.279695180910367 0.223489061799995 1 0 0 0.111111111111111 0.128197947166803 7.04361267183634 2.68065853273984 14.594701220549 0.525081658794607 0.602308567948318 0.24471510042254
"NI-S010" 34 0.53968253968254 5.34953579189699 0.127927523291088 0.375 0.92741935483871 0.467741935483871 0.242386055154591 0.17520733123689 1 0 0 0.111111111111111 0.0592263555159887 14.8302984556718 3.00298021582434 20.1454854435607 0.724785300779837 0.577437446074202 0.223416080120239
"NI-S029" 11 0.174603174603175 1.89863152690781 0.0816937751734371 1 0.943548387096774 0.838709677419355 0.349089958725762 0.336147393902785 1 0 0 0.111111111111111 0.00853001588683909 12.0142731583614 2.19722457733622 9 0.323797990636337 0.228022241395839 0.533900746303667
"NI-S030" 31 0.492063492063492 10.1009475103468 0.293578951946672 0.5 0.894038383013475 0.516129032258065 0.243051238260114 0.484046093610596 1 0 0.5 0.111111111111111 0.253633546520356 6.9380728308585 2.90207740995812 18.2119397636472 0.655221055673217 0.615156648131101 0.30667531986507
"NI-S033" 28 0.444444444444444 9.5243060973281 0.304439503476004 0.625 0.950937341665259 0.564516129032258 0.362648184790603 0.567297383710641 1 0 0 0.111111111111111 0.29131786775606 5.69478223107918 2.40671616326728 11.0974590008195 0.399259436181609 0.606232145810888 0.403073561034679
"NI-S034" 39 0.619047619047619 7.30832628701654 0.161751956077347 0.125 0.879032258064516 0.387096774193548 0.19552134651138 0.235917406369827 1 0 0.147058823529412 0.111111111111111 0.0784217308384011 15.8376850060095 3.24159543631825 25.5744916886417 0.920107668925321 0.474095315434198 0.305255634358382
"NI-S035" 37 0.587301587301587 8.76696659661216 0.209918016124653 0.25 0.875576036866359 0.419354838709677 0.166843568792862 0.197740920229474 1 0 0.176470588235294 0.111111111111111 0.0269441913719903 39.8463002100454 3.40731644290973 30.1841346284173 1.08595134908647 0.506471095772217 0.260465561608791
"NI-S036" 40 0.634920634920635 6.90634246077073 0.147658561519268 0 0.931761786600496 0.370967741935484 0.258509194366133 0.230504932366172 1 0 0.176470588235294 0.111111111111111 0.122937389287009 12.9353675290699 2.98362316588574 19.759278250846 0.7108905104498 0.659296807592752 0.188286489156474
