"degree" "normalised.degree" "species.strength" "interaction.push.pull" "nestedrank" "PDI" "species.specificity.index" "resource.range" "PSI" "node.specialisation.index.NSI" "betweenness" "weighted.betweenness" "closeness" "weighted.closeness" "Fisher.alpha" "partner.diversity" "effective.partners" "proportional.similarity" "proportional.generality" "d"
"BBMV" 1 0.0526315789473684 0.0317460317460317 -0.968253968253968 0.962962962962963 1 1 1 1 1.48148148148148 0 0 0.014936247723133 0.00100779998296794 0.795904853480872 0 1 0.014813073124853 0.074593175923693 0.456066841405594
"BCMV" 11 0.578947368421053 0.294939353023671 -0.0640964224523935 0.351851851851852 0.975783475783476 0.684239071214122 0.444444444444444 1 1.01851851851852 0.0321627996499325 0 0.0194899817850638 0.00821812855898395 4.09507119143795 1.28196845833471 3.60372653376902 0.288884316952739 0.268813407314313 0.355296272883619
"BgV" 12 0.631578947368421 0.33353403929936 -0.0555388300583867 0.296296296296296 0.929539295392954 0.49179754678036 0.388888888888889 1 1.07407407407407 0.0156408502391895 0 0.0189435336976321 0.00923228865616822 3.66784460197544 1.64791285155443 5.19612342073439 0.462896525918454 0.387595348444062 0.209689537004424
"BSV" 13 0.684210526315789 0.73061928315462 -0.0207215936034908 0.259259259259259 0.853801169590643 0.358726149096367 0.333333333333333 1 1.07407407407407 0.0156408502391895 0.000670241286863271 0.0189435336976321 0.00973209487990745 3.5189396628914 2.05321706208422 7.79293116647125 0.458205120341311 0.58129948546182 0.263936947708602
"BYMV" 6 0.315789473684211 0.332909624760913 -0.111181729206515 0.518518518518518 0.91358024691358 0.435747721112258 0.722222222222222 1 1.03703703703704 0.0273411135171353 0.060656836461126 0.0193078324225865 0.0062298964177947 2.63875832963782 1.62747416833115 5.09099945735518 0.117799200564308 0.379753818149921 0.452148591606981
"CABMV" 5 0.263157894736842 0.150352568393806 -0.169929486321239 0.611111111111111 0.916666666666667 0.46785562825394 0.777777777777778 1 1.12962962962963 0.00850106609551215 0 0.0183970856102004 0.00371390220979701 3.97952156244536 1.47080847632211 4.35275281648062 0.086056901011051 0.324685656592089 0.412339179831224
"CamV" 17 0.894736842105263 0.782802468538094 -0.0127763253801121 0 0.967728758169935 0.62550790611834 0.111111111111111 1 1.03703703703704 0.0294534953239907 0.185656836461126 0.0193078324225865 0.0105683445187709 4.3316001707178 1.46801257710838 4.34059995530757 0.403459117777328 0.323779136080632 0.373439640676031
"CatMV" 8 0.421052631578947 1.00099858276182 0.000124822845227816 0.388888888888889 0.997892201144234 0.961509693344129 0.611111111111111 1 1.01851851851852 0.0396638848676698 0.0619973190348525 0.0194899817850638 0.0116534932408364 1.43009904000035 0.222976073557465 1.24979067033359 0.152941956499451 0.0932258553399837 0.833010955822126
"CaYMV" 2 0.105263157894737 0.348376623376623 -0.325811688311688 0.851851851851852 0.984848484848485 0.802843585718446 0.944444444444444 1 1.31481481481481 0.00329681657228381 0 0.0165755919854281 0.00478467736366434 0.638489689526669 0.519579839130515 1.68132107594681 0.0289207618151893 0.125415078802313 0.705360920941117
"CHPV" 3 0.157894736842105 0.0452905744783084 -0.318236475173897 0.796296296296296 0.962962962962963 0.639444203108363 0.888888888888889 1 1.2037037037037 0.00418767010941302 0 0.0176684881602914 0.00219068098620538 3.16655491100451 0.950270539233235 2.58640928985893 0.0745356219139431 0.192928483169121 0.336022815118773
"CMV" 16 0.842105263157895 0.634443098372163 -0.0228473063517398 0.0555555555555556 0.914351851851852 0.401815878827317 0.166666666666667 1 1.05555555555556 0.0248217427144603 0.0154155495978552 0.0191256830601093 0.00971828422221862 4.92383540530978 2.0389778503523 7.68275226156267 0.529105780683259 0.573080891024895 0.228352815061989
